idx ctrl metric lw q1 med q3 uw n reached
1 threshold t_target 3.6500 4.4500 5.9500 11.2000 18.1500 200 0.965
2 schedule t_target 4.5500 7.0625 9.1500 10.9875 19.3000 200 0.870
3 gspid t_target 3.9000 5.3500 10.1250 13.3000 19.2500 200 0.950
4 mpc t_target 10.5000 11.4750 15.7000 18.1000 19.7500 40 0.500
7 hot_nofilter t_target 3.5000 4.3000 4.6500 5.0000 15.3500 200 0.980
8 ppo t_target 6.5500 7.3375 8.1000 8.9500 11.6500 200 0.500
9 sac t_target 3.9000 4.7500 5.2000 6.1000 14.0500 200 0.870
10 hot t_target 3.6500 4.4500 4.7500 5.2000 17.4000 200 0.885
1 threshold energy_Wh 0.3140 2.9177 3.2736 3.5854 4.0848 200 0.965
2 schedule energy_Wh 2.2899 3.3018 3.6130 3.8920 4.6569 200 0.870
3 gspid energy_Wh 2.7943 3.2337 3.4992 3.7703 4.1555 200 0.950
4 mpc energy_Wh 2.9830 3.3132 3.4353 3.6188 3.8049 40 0.500
7 hot_nofilter energy_Wh 3.6172 4.2350 4.4513 4.5821 5.2020 200 0.980
8 ppo energy_Wh 3.6636 4.0371 6.0077 9.0158 10.1108 200 0.500
9 sac energy_Wh 2.5287 2.9746 3.8050 4.2993 4.4965 200 0.870
10 hot energy_Wh 3.6172 4.2331 4.4404 4.5443 4.9844 200 0.885
1 threshold lf_min 0.7338 0.8203 0.8897 0.9362 0.9632 200 0.965
2 schedule lf_min 0.8388 0.9619 0.9798 0.9886 0.9975 200 0.870
3 gspid lf_min 0.8318 0.9582 0.9733 0.9816 0.9924 200 0.950
4 mpc lf_min 0.8598 0.9373 0.9807 0.9887 0.9992 40 0.500
7 hot_nofilter lf_min 0.5499 0.9281 0.9432 0.9528 0.9820 200 0.980
8 ppo lf_min -0.0277 0.3256 0.6007 0.9109 0.9645 200 0.500
9 sac lf_min 0.8221 0.8959 0.9172 0.9300 0.9485 200 0.870
10 hot lf_min 0.8264 0.9278 0.9430 0.9534 0.9820 200 0.885
1 threshold al_max_deg -0.1145 0.1397 0.7948 2.7405 7.7314 200 0.965
2 schedule al_max_deg -1.8580 -0.0492 0.7796 2.0594 7.6893 200 0.870
3 gspid al_max_deg -0.6432 -0.0446 -0.0325 0.0391 0.8764 200 0.950
4 mpc al_max_deg -0.1588 0.2203 0.3548 0.6352 4.3732 40 0.500
7 hot_nofilter al_max_deg -3.6651 -0.3336 -0.1822 0.1801 2.8674 200 0.980
8 ppo al_max_deg -0.5957 2.4785 3.1579 3.9996 10.9229 200 0.500
9 sac al_max_deg -0.9213 -0.1772 3.2627 4.3301 5.9870 200 0.870
10 hot al_max_deg -3.6651 -0.3336 -0.1822 0.1400 2.8674 200 0.885
1 threshold viol_pct 0.0000 0.0000 0.0000 0.0000 80.7500 200 0.965
2 schedule viol_pct 0.0000 0.0000 0.0000 0.0000 60.5000 200 0.870
3 gspid viol_pct 0.0000 0.0000 0.0000 0.0000 0.0000 200 0.950
4 mpc viol_pct 0.0000 0.0000 0.0000 0.0000 0.0000 40 0.500
7 hot_nofilter viol_pct 0.0000 0.0000 0.0000 0.0000 23.2500 200 0.980
8 ppo viol_pct 0.0000 0.0000 34.1250 72.7500 79.7500 200 0.500
9 sac viol_pct 0.0000 0.0000 0.0000 0.0000 5.5000 200 0.870
10 hot viol_pct 0.0000 0.0000 0.0000 0.0000 0.0000 200 0.885
