idx ctrl metric lw q1 med q3 uw n reached
1 threshold t_target 3.4000 4.3000 5.9000 10.9500 18.9000 100 0.890
2 schedule t_target 3.8500 6.4500 9.2250 12.2875 19.2000 100 0.780
3 gspid t_target 3.6500 4.7500 9.1000 13.7500 20.0000 100 0.780
8 ppo t_target 6.1500 7.0875 8.4000 9.6500 15.8500 100 0.480
9 sac t_target 3.8000 4.6500 5.3500 6.2250 19.5500 100 0.840
10 hot t_target 3.2500 4.3625 5.1000 6.4750 18.9500 100 0.660
1 threshold energy_Wh 0.3107 2.7762 3.2161 3.7143 4.7414 100 0.890
2 schedule energy_Wh 0.9293 3.1400 3.5243 4.0629 4.9770 100 0.780
3 gspid energy_Wh 2.3240 3.0953 3.5222 3.9223 4.5530 100 0.780
8 ppo energy_Wh 1.2496 3.9642 4.3171 8.8429 10.6046 100 0.480
9 sac energy_Wh 2.5535 2.9689 3.8010 4.3114 4.6496 100 0.840
10 hot energy_Wh 3.0365 4.0950 4.3794 4.5473 5.4164 100 0.660
1 threshold lf_min 0.6924 0.8265 0.8796 0.9299 0.9662 100 0.890
2 schedule lf_min 0.7772 0.9437 0.9708 0.9865 0.9986 100 0.780
3 gspid lf_min 0.7707 0.9379 0.9643 0.9806 0.9895 100 0.780
8 ppo lf_min -166.3955 0.3235 0.5993 0.8882 0.9706 100 0.480
9 sac lf_min 0.7592 0.8773 0.9106 0.9236 0.9477 100 0.840
10 hot lf_min 0.7684 0.9027 0.9306 0.9563 0.9900 100 0.660
1 threshold al_max_deg -2.5318 0.0876 0.9623 2.5332 9.2022 100 0.890
2 schedule al_max_deg -3.4385 -0.1070 0.8242 2.5933 8.9588 100 0.780
3 gspid al_max_deg -3.6534 -0.0467 -0.0275 0.1064 1.6946 100 0.780
8 ppo al_max_deg -5.1378 1.8608 3.0753 4.5802 68.7672 100 0.480
9 sac al_max_deg -2.7058 0.0963 3.3109 4.0624 5.8471 100 0.840
10 hot al_max_deg -5.4797 -0.4633 -0.1820 0.3583 3.8294 100 0.660
1 threshold viol_pct 0.0000 0.0000 0.0000 0.0000 86.7500 100 0.890
2 schedule viol_pct 0.0000 0.0000 0.0000 0.0000 78.2500 100 0.780
3 gspid viol_pct 0.0000 0.0000 0.0000 0.0000 0.0000 100 0.780
8 ppo viol_pct 0.0000 0.0000 10.3750 75.3125 97.0000 100 0.480
9 sac viol_pct 0.0000 0.0000 0.0000 0.0000 7.0000 100 0.840
10 hot viol_pct 0.0000 0.0000 0.0000 0.0000 3.7500 100 0.660
