lag front back
-31 0.03022 0.02833
-30 0.03071 0.02902
-29 0.03040 0.02880
-28 0.03059 0.02841
-27 0.03018 0.02877
-26 0.02960 0.02759
-25 0.03008 0.02846
-24 0.02996 0.02958
-23 0.03028 0.02862
-22 0.03023 0.02922
-21 0.02987 0.02921
-20 0.03033 0.02924
-19 0.02984 0.02901
-18 0.02915 0.03025
-17 0.02977 0.03013
-16 0.02971 0.03081
-15 0.02978 0.02981
-14 0.02953 0.03044
-13 0.02984 0.02988
-12 0.02935 0.03062
-11 0.02930 0.03001
-10 0.02940 0.03112
-9 0.02853 0.03002
-8 0.02916 0.03160
-7 0.02920 0.03149
-6 0.02864 0.03042
-5 0.02882 0.03132
-4 0.02875 0.03147
-3 0.02875 0.03184
-2 0.02838 0.03064
-1 0.02836 0.03219
0 0.02807 0.03234
