lag front back
-31 0.03046 0.02835
-30 0.03119 0.02879
-29 0.03073 0.02890
-28 0.03083 0.02879
-27 0.03060 0.02885
-26 0.02973 0.02846
-25 0.03034 0.02891
-24 0.03026 0.02969
-23 0.03029 0.02918
-22 0.03047 0.02968
-21 0.03005 0.02985
-20 0.03046 0.02975
-19 0.02984 0.02951
-18 0.02922 0.03085
-17 0.02972 0.03075
-16 0.02959 0.03125
-15 0.02971 0.03027
-14 0.02934 0.03088
-13 0.02971 0.03044
-12 0.02929 0.03118
-11 0.02894 0.03079
-10 0.02904 0.03143
-9 0.02821 0.03064
-8 0.02886 0.03184
-7 0.02877 0.03167
-6 0.02824 0.03111
-5 0.02836 0.03148
-4 0.02820 0.03180
-3 0.02825 0.03224
-2 0.02787 0.03155
-1 0.02783 0.03226
0 0.02739 0.03232
