param truth est truth_n est_n
CL0 1.02243 1.13827 -0.8287 -1.2379
CL0 1.06576 1.13912 -0.5264 -0.9984
CL0 1.22757 1.14531 0.6025 0.7501
CL0 1.16476 1.14405 0.1643 0.3936
CL0 1.02486 1.13640 -0.8117 -1.7669
CL0 1.12204 1.14219 -0.1337 -0.1301
CL0 1.13520 1.14375 -0.0419 0.3102
CL0 1.04367 1.13885 -0.6805 -1.0746
CL0 1.20845 1.14610 0.4692 0.9743
CL0 1.03046 1.13764 -0.7727 -1.4149
CL0 1.11003 1.14274 -0.2175 0.0235
CL0 1.14601 1.14207 0.0335 -0.1658
CL0 1.12132 1.13991 -0.1387 -0.7743
CL0 1.16609 1.14281 0.1736 0.0432
CL0 1.20938 1.14703 0.4757 1.2362
CL0 1.27200 1.14734 0.9125 1.3247
CL0 1.07935 1.13948 -0.4316 -0.8972
CL0 1.18379 1.14359 0.2971 0.2660
CL0 1.19745 1.14438 0.3924 0.4895
CL0 1.08179 1.14049 -0.4146 -0.6101
CL0 0.99831 1.13691 -0.9970 -1.6220
CL0 1.27693 1.14758 0.9469 1.3932
CL0 1.08342 1.13973 -0.4032 -0.8270
CL0 1.08788 1.13874 -0.3720 -1.1064
CL0 1.25349 1.14807 0.7834 1.5294
CL0 1.16562 1.14524 0.1703 0.7299
CL0 1.13298 1.14082 -0.0574 -0.5174
CL0 1.21954 1.14656 0.5466 1.1033
CL0 1.00658 1.13800 -0.9393 -1.3140
CL0 1.20053 1.14387 0.4139 0.3452
CL0 1.10516 1.14213 -0.2515 -0.1470
CL0 1.02392 1.13725 -0.8183 -1.5278
CL0 1.18721 1.14386 0.3210 0.3413
CL0 1.26489 1.14792 0.8629 1.4895
CL0 1.05727 1.13999 -0.5856 -0.7527
CL0 1.17850 1.14412 0.2602 0.4147
CL0 1.08335 1.13987 -0.4037 -0.7853
CL0 1.21051 1.14321 0.4835 0.1571
CL0 1.20489 1.14709 0.4443 1.2540
CL0 1.06058 1.13893 -0.5626 -1.0514
CL0 1.23577 1.14495 0.6598 0.6486
CL0 1.18640 1.14320 0.3153 0.1560
CL0 1.19361 1.14477 0.3656 0.5995
CL0 1.23296 1.14508 0.6402 0.6849
CL0 1.12073 1.14081 -0.1429 -0.5202
CL0 1.21537 1.14660 0.5174 1.1150
CL0 1.24970 1.14635 0.7570 1.0456
CL0 1.02721 1.13691 -0.7954 -1.6225
CL0 1.24147 1.14720 0.6995 1.2851
CL0 1.11080 1.14120 -0.2121 -0.4098
CL0 1.13538 1.14115 -0.0406 -0.4242
CL0 1.03983 1.13741 -0.7073 -1.4825
CL0 1.19809 1.14574 0.3969 0.8726
CL0 1.08158 1.14129 -0.4160 -0.3841
CL0 1.24760 1.14987 0.7423 2.0390
CL0 1.07682 1.13854 -0.4493 -1.1622
CL0 1.15892 1.14303 0.1236 0.1054
CL0 1.11244 1.14225 -0.2007 -0.1151
CL0 1.17357 1.14446 0.2258 0.5101
CL0 1.05425 1.13844 -0.6067 -1.1908
CL0 1.04956 1.13801 -0.6394 -1.3123
CL0 1.21197 1.14443 0.4937 0.5026
CL0 1.21351 1.15300 0.5044 2.9224
CL0 1.16041 1.14416 0.1340 0.4266
CL0 1.26191 1.14505 0.8422 0.6779
CL0 1.05687 1.13963 -0.5884 -0.8539
CL0 1.24179 1.14700 0.7018 1.2292
CL0 1.04632 1.14030 -0.6620 -0.6659
CL0 1.27432 1.14814 0.9287 1.5497
CL0 1.17666 1.14202 0.2474 -0.1794
CL0 1.17185 1.14246 0.2138 -0.0554
CL0 1.27609 1.14793 0.9411 1.4923
CL0 1.22349 1.15053 0.5741 2.2248
CL0 1.22431 1.14701 0.5798 1.2299
CL0 1.01339 1.13803 -0.8918 -1.3069
CL0 1.10374 1.14382 -0.2614 0.3291
CL0 1.02221 1.13873 -0.8302 -1.1070
CL0 1.05335 1.13952 -0.6129 -0.8858
CL0 1.05919 1.13924 -0.5723 -0.9632
CL0 1.24401 1.14269 0.7173 0.0100
CL0 1.03421 1.13939 -0.7465 -0.9232
CL0 1.08295 1.14017 -0.4065 -0.7005
CL0 1.13916 1.14192 -0.0143 -0.2062
CL0 1.24138 1.14661 0.6989 1.1172
CL0 1.27457 1.14818 0.9305 1.5607
CL0 1.20087 1.14421 0.4163 0.4408
CL0 1.05913 1.13770 -0.5726 -1.3980
CL0 1.15410 1.14251 0.0900 -0.0417
CL0 1.20025 1.14462 0.4119 0.5573
CL0 1.01275 1.13850 -0.8962 -1.1726
CL0 1.19277 1.14225 0.3598 -0.1142
CL0 1.10345 1.13986 -0.2634 -0.7882
CL0 1.16692 1.14413 0.1794 0.4166
CL0 1.18980 1.14571 0.3391 0.8651
CL0 1.18969 1.14336 0.3383 0.2002
CL0 1.14781 1.14440 0.0461 0.4931
CL0 1.15690 1.14120 0.1095 -0.4098
CL0 1.05468 1.13858 -0.6037 -1.1518
CL0 1.13983 1.14157 -0.0096 -0.3046
CL0 1.03383 1.13804 -0.7492 -1.3031
CLa 3.09151 3.19197 -0.0385 0.7610
CLa 3.17813 3.19048 0.0725 0.7354
CLa 3.54938 3.16463 0.5482 0.2918
CLa 2.95559 3.13728 -0.2127 -0.1774
CLa 2.37176 3.14498 -0.9608 -0.0453
CLa 3.16487 3.17289 0.0555 0.4335
CLa 2.66149 3.12915 -0.5895 -0.3169
CLa 3.49811 3.21702 0.4825 1.1908
CLa 2.94784 3.12107 -0.2226 -0.4555
CLa 2.93500 3.18408 -0.2391 0.6256
CLa 3.76063 3.20037 0.8189 0.9051
CLa 2.95451 3.14451 -0.2141 -0.0533
CLa 2.88565 3.15386 -0.3023 0.1071
CLa 2.88435 3.14296 -0.3040 -0.0799
CLa 3.09154 3.12608 -0.0385 -0.3695
CLa 2.48678 2.97967 -0.8134 -2.8816
