param truth est truth_n est_n
CL0 1.02243 1.15660 -0.8287 -0.8152
CL0 1.06576 1.15665 -0.5264 -0.7613
CL0 1.22757 1.15790 0.6025 0.5432
CL0 1.16476 1.15791 0.1643 0.5438
CL0 1.02486 1.15670 -0.8117 -0.7079
CL0 1.12204 1.15735 -0.1337 -0.0312
CL0 1.13520 1.15830 -0.0419 0.9561
CL0 1.04367 1.15632 -0.6805 -1.1025
CL0 1.20845 1.15804 0.4692 0.6834
CL0 1.03046 1.15653 -0.7727 -0.8888
CL0 1.11003 1.15627 -0.2175 -1.1611
CL0 1.14601 1.15703 0.0335 -0.3695
CL0 1.12132 1.15733 -0.1387 -0.0532
CL0 1.16609 1.15741 0.1736 0.0299
CL0 1.20938 1.15799 0.4757 0.6364
CL0 1.27200 1.15887 0.9125 1.5472
CL0 1.07935 1.15641 -0.4316 -1.0145
CL0 1.18379 1.15779 0.2971 0.4203
CL0 1.19745 1.15825 0.3924 0.9071
CL0 1.08179 1.15685 -0.4146 -0.5493
CL0 0.99831 1.15461 -0.9970 -2.8884
CL0 1.27693 1.15874 0.9469 1.4081
CL0 1.08342 1.15628 -0.4032 -1.1451
CL0 1.08788 1.15632 -0.3720 -1.1022
CL0 1.25349 1.15773 0.7834 0.3566
CL0 1.16562 1.15765 0.1703 0.2747
CL0 1.13298 1.15712 -0.0574 -0.2773
CL0 1.21954 1.15847 0.5466 1.1363
CL0 1.00658 1.15633 -0.9393 -1.0996
CL0 1.20053 1.15793 0.4139 0.5727
CL0 1.10516 1.15710 -0.2515 -0.2965
CL0 1.02392 1.15532 -0.8183 -2.1471
CL0 1.18721 1.15779 0.3210 0.4208
CL0 1.26489 1.15903 0.8629 1.7119
CL0 1.05727 1.15659 -0.5856 -0.8210
CL0 1.17850 1.15765 0.2602 0.2756
CL0 1.08335 1.15660 -0.4037 -0.8092
CL0 1.21051 1.15870 0.4835 1.3697
CL0 1.20489 1.15894 0.4443 1.6252
CL0 1.06058 1.15728 -0.5626 -0.1021
CL0 1.23577 1.15895 0.6598 1.6289
CL0 1.18640 1.15822 0.3153 0.8699
CL0 1.19361 1.15831 0.3656 0.9604
CL0 1.23296 1.15863 0.6402 1.3011
CL0 1.12073 1.15735 -0.1429 -0.0355
CL0 1.21537 1.15874 0.5174 1.4130
CL0 1.24970 1.15887 0.7570 1.5524
CL0 1.02721 1.15618 -0.7954 -1.2479
CL0 1.24147 1.15859 0.6995 1.2524
CL0 1.11080 1.15733 -0.2121 -0.0515
CL0 1.13538 1.15767 -0.0406 0.3012
CL0 1.03983 1.15627 -0.7073 -1.1601
CL0 1.19809 1.15860 0.3969 1.2693
CL0 1.08158 1.15677 -0.4160 -0.6383
CL0 1.24760 1.15762 0.7423 0.2439
CL0 1.07682 1.15618 -0.4493 -1.2549
CL0 1.15892 1.15693 0.1236 -0.4674
CL0 1.11244 1.15761 -0.2007 0.2341
CL0 1.17357 1.15805 0.2258 0.6945
CL0 1.05425 1.15556 -0.6067 -1.8916
CL0 1.04956 1.15721 -0.6394 -0.1828
CL0 1.21197 1.15795 0.4937 0.5862
CL0 1.21351 1.15708 0.5044 -0.3155
CL0 1.16041 1.15681 0.1340 -0.5939
CL0 1.26191 1.15802 0.8422 0.6594
CL0 1.05687 1.15646 -0.5884 -0.9574
CL0 1.24179 1.15937 0.7018 2.0723
CL0 1.04632 1.15642 -0.6620 -0.9994
CL0 1.27432 1.15863 0.9287 1.3028
CL0 1.17666 1.15742 0.2474 0.0353
CL0 1.17185 1.15796 0.2138 0.6037
CL0 1.27609 1.15880 0.9411 1.4719
CL0 1.22349 1.15717 0.5741 -0.2197
CL0 1.22431 1.15837 0.5798 1.0228
CL0 1.01339 1.15557 -0.8918 -1.8895
CL0 1.10374 1.15631 -0.2614 -1.1121
CL0 1.02221 1.15613 -0.8302 -1.3035
CL0 1.05335 1.15614 -0.6129 -1.2906
CL0 1.05919 1.15680 -0.5723 -0.6079
CL0 1.24401 1.15842 0.7173 1.0779
CL0 1.03421 1.15586 -0.7465 -1.5834
CL0 1.08295 1.15714 -0.4065 -0.2478
CL0 1.13916 1.15813 -0.0143 0.7817
CL0 1.24138 1.15763 0.6989 0.2541
CL0 1.27457 1.15878 0.9305 1.4519
CL0 1.20087 1.15791 0.4163 0.5483
CL0 1.05913 1.15710 -0.5726 -0.2958
CL0 1.15410 1.15824 0.0900 0.8912
CL0 1.20025 1.15760 0.4119 0.2294
CL0 1.01275 1.15605 -0.8962 -1.3861
CL0 1.19277 1.15793 0.3598 0.5655
CL0 1.10345 1.15702 -0.2634 -0.3792
CL0 1.16692 1.15719 0.1794 -0.1985
CL0 1.18980 1.15713 0.3391 -0.2652
CL0 1.18969 1.15819 0.3383 0.8371
CL0 1.14781 1.15662 0.0461 -0.7907
CL0 1.15690 1.15738 0.1095 0.0012
CL0 1.05468 1.15704 -0.6037 -0.3616
CL0 1.13983 1.15709 -0.0096 -0.3027
CL0 1.03383 1.15608 -0.7492 -1.3588
CLa 3.09151 3.07338 -0.0385 0.7652
CLa 3.17813 3.06710 0.0725 0.5725
CLa 3.54938 3.05224 0.5482 0.1162
CLa 2.95559 3.04361 -0.2127 -0.1487
CLa 2.37176 3.05431 -0.9608 0.1799
CLa 3.16487 3.06692 0.0555 0.5670
CLa 2.66149 3.04172 -0.5895 -0.2066
CLa 3.49811 3.07531 0.4825 0.8244
CLa 2.94784 3.03165 -0.2226 -0.5157
CLa 2.93500 3.06104 -0.2391 0.3865
CLa 3.76063 3.05666 0.8189 0.2520
CLa 2.95451 3.04910 -0.2141 0.0198
CLa 2.88565 3.05355 -0.3023 0.1564
CLa 2.88435 3.05263 -0.3040 0.1281
CLa 3.09154 3.02545 -0.0385 -0.7060
CLa 2.48678 2.96523 -0.8134 -2.5543
CLa 3.19452 3.05896 0.0935 0.3224
CLa 3.77932 3.06102 0.8429 0.3857
CLa 3.21977 3.04901 0.1258 0.0171
CLa 3.50225 3.06654 0.4878 0.5552
CLa 3.81945 3.08613 0.8943 1.1565
CLa 3.65553 3.04814 0.6842 -0.0095
CLa 3.50240 3.08972 0.4880 1.2665
CLa 3.61034 3.10313 0.6263 1.6782
CLa 3.62123 3.07353 0.6403 0.7697
CLa 2.73723 2.99383 -0.4925 -1.6766
CLa 3.09341 3.06051 -0.0361 0.3703
CLa 2.87608 2.98330 -0.3146 -1.9997
CLa 2.74968 3.05716 -0.4765 0.2673
CLa 3.23324 3.04720 0.1431 -0.0383
CLa 2.83732 3.05267 -0.3642 0.1296
CLa 3.30676 3.08905 0.2373 1.2462
CLa 3.25019 3.05858 0.1648 0.3108
CLa 2.50411 3.00005 -0.7912 -1.4854
CLa 3.03169 3.05306 -0.1152 0.1416
CLa 2.94965 3.03574 -0.2203 -0.3901
CLa 3.44410 3.06626 0.4133 0.5466
CLa 2.47873 2.98089 -0.8237 -2.0738
CLa 2.60488 2.98084 -0.6621 -2.0753
CLa 3.14122 3.07474 0.0252 0.8070
CLa 2.97265 3.04152 -0.1908 -0.2127
CLa 3.37963 3.06315 0.3307 0.4511
CLa 2.86069 3.04186 -0.3343 -0.2022
CLa 2.64898 2.96351 -0.6056 -2.6070
CLa 3.79558 3.08407 0.8637 1.0932
CLa 2.72184 3.03805 -0.5122 -0.3193
CLa 2.57070 2.96418 -0.7059 -2.5867
CLa 2.77802 3.08787 -0.4402 1.2101
CLa 2.87140 3.01978 -0.3206 -0.8801
CLa 2.69253 3.07216 -0.5498 0.7278
CLa 3.17824 3.06127 0.0726 0.3936
CLa 3.80352 3.09627 0.8739 1.4677
CLa 2.53786 2.96710 -0.7480 -2.4970
CLa 2.98915 3.05250 -0.1697 0.1242
CLa 3.38402 3.05767 0.3363 0.2830
CLa 3.72202 3.08104 0.7694 1.0002
CLa 3.90164 3.05706 0.9996 0.2641
CLa 2.56536 2.96720 -0.7127 -2.4939
CLa 3.17977 3.04921 0.0746 0.0234
CLa 3.71653 3.08423 0.7624 1.0981
CLa 2.42394 3.04843 -0.8939 -0.0006
CLa 3.25937 3.04915 0.1766 0.0214
CLa 2.61261 2.96753 -0.6522 -2.4836
CLa 3.53958 3.05392 0.5357 0.1678
CLa 3.80461 3.05525 0.8753 0.2087
CLa 3.18132 3.06871 0.0766 0.6217
CLa 2.35516 2.96595 -0.9821 -2.5323
CLa 2.44145 3.05527 -0.8715 0.2092
CLa 2.98999 3.03345 -0.1686 -0.4605
CLa 3.66362 3.06197 0.6946 0.4149
CLa 2.71071 3.03521 -0.5265 -0.4063
CLa 3.38555 3.04896 0.3383 0.0156
CLa 2.97377 3.04941 -0.1894 0.0295
CLa 2.75502 2.96231 -0.4697 -2.6440
CLa 3.43979 3.08042 0.4078 0.9811
CLa 2.82229 3.05110 -0.3835 0.0815
CLa 2.92159 3.05077 -0.2562 0.0713
CLa 3.53565 3.07146 0.5306 0.7064
CLa 3.11407 3.06897 -0.0096 0.6299
CLa 3.56469 3.06713 0.5678 0.5735
CLa 3.14700 3.05640 0.0326 0.2440
CLa 2.59085 3.05486 -0.6801 0.1968
CLa 3.03368 3.06002 -0.1126 0.3550
CLa 3.70336 3.04390 0.7455 -0.1395
CLa 3.22288 3.03343 0.1298 -0.4611
CLa 3.84703 3.06452 0.9296 0.4931
CLa 2.34296 3.05129 -0.9977 0.0871
CLa 2.87241 3.05568 -0.3193 0.2218
CLa 3.54149 3.05286 0.5381 0.1354
CLa 3.41210 3.08419 0.3723 1.0969
CLa 3.21673 3.05518 0.1220 0.2064
CLa 3.37713 3.07257 0.3275 0.7403
CLa 3.70909 3.06586 0.7529 0.5343
CLa 3.40804 3.06663 0.3671 0.5579
CLa 3.19527 3.06098 0.0945 0.3845
CLa 3.21906 3.06380 0.1249 0.4711
CLa 3.38124 3.06402 0.3328 0.4778
CLa 2.84673 3.07204 -0.3522 0.7240
CLa 3.38601 3.05478 0.3389 0.1941
CLa 3.30106 3.07707 0.2300 0.8785
CD0 0.15833 0.13114 0.5718 0.1990
CD0 0.13143 0.12983 -0.0395 -0.7860
CD0 0.09155 0.12875 -0.9460 -1.6023
CD0 0.13642 0.13116 0.0738 0.2158
CD0 0.16465 0.13233 0.7154 1.1010
CD0 0.14549 0.13072 0.2800 -0.1162
CD0 0.14580 0.13148 0.2869 0.4599
CD0 0.12358 0.12944 -0.2181 -1.0788
CD0 0.12055 0.12919 -0.2869 -1.2673
CD0 0.15244 0.13001 0.4378 -0.6504
CD0 0.09602 0.13018 -0.8444 -0.5194
CD0 0.16542 0.13204 0.7329 0.8798
CD0 0.16629 0.13074 0.7526 -0.1016
CD0 0.17387 0.13061 0.9249 -0.1954
CD0 0.10111 0.13033 -0.7286 -0.4050
CD0 0.09932 0.13112 -0.7692 0.1827
CD0 0.16785 0.13006 0.7880 -0.6144
CD0 0.12447 0.13222 -0.1977 1.0134
CD0 0.11296 0.12971 -0.4593 -0.8770
CD0 0.12281 0.13113 -0.2356 0.1940
CD0 0.14721 0.12937 0.3190 -1.1319
CD0 0.10338 0.13187 -0.6770 0.7506
CD0 0.13204 0.13061 -0.0257 -0.1978
CD0 0.14726 0.13126 0.3201 0.2889
CD0 0.15260 0.13038 0.4415 -0.3684
CD0 0.09025 0.12894 -0.9755 -1.4590
CD0 0.16053 0.13173 0.6218 0.6465
CD0 0.12738 0.13187 -0.1316 0.7533
CD0 0.12752 0.12980 -0.1284 -0.8076
CD0 0.13866 0.13135 0.1247 0.3580
CD0 0.11382 0.12886 -0.4397 -1.5163
CD0 0.16720 0.12979 0.7734 -0.8176
CD0 0.10784 0.13025 -0.5757 -0.4700
CD0 0.13693 0.13223 0.0854 1.0204
CD0 0.10396 0.12897 -0.6639 -1.4346
CD0 0.14339 0.13072 0.2322 -0.1145
CD0 0.16854 0.13076 0.8038 -0.0883
CD0 0.16684 0.13375 0.7653 2.1686
CD0 0.10102 0.13259 -0.7306 1.2912
CD0 0.14416 0.13068 0.2497 -0.1475
CD0 0.16772 0.13341 0.7851 1.9103
CD0 0.10680 0.13048 -0.5994 -0.2993
CD0 0.12567 0.13101 -0.1705 0.1052
CD0 0.15193 0.13124 0.4263 0.2739
CD0 0.15412 0.13057 0.4762 -0.2316
CD0 0.12888 0.13193 -0.0976 0.7974
CD0 0.14537 0.13360 0.2772 2.0529
CD0 0.14804 0.13116 0.3378 0.2130
CD0 0.12025 0.12921 -0.2938 -1.2527
CD0 0.14655 0.13098 0.3041 0.0845
CD0 0.13998 0.13041 0.1548 -0.3453
CD0 0.15054 0.13293 0.3948 1.5528
CD0 0.13420 0.13168 0.0233 0.6115
CD0 0.11878 0.12909 -0.3271 -1.3402
CD0 0.12740 0.12973 -0.1312 -0.8578
CD0 0.17035 0.13285 0.8449 1.4894
CD0 0.10568 0.13026 -0.6249 -0.4612
CD0 0.10222 0.12922 -0.7034 -1.2445
CD0 0.09024 0.13157 -0.9757 0.5283
CD0 0.16416 0.12969 0.7043 -0.8879
CD0 0.17617 0.13099 0.9773 0.0867
CD0 0.10998 0.13112 -0.5271 0.1893
CD0 0.11259 0.12941 -0.4678 -1.1045
CD0 0.10663 0.12867 -0.6033 -1.6569
CD0 0.14199 0.12991 0.2004 -0.7249
CD0 0.13186 0.13041 -0.0298 -0.3512
CD0 0.16138 0.13317 0.6412 1.7302
CD0 0.10763 0.12910 -0.5806 -1.3339
CD0 0.16643 0.13169 0.7559 0.6160
CD0 0.13000 0.13069 -0.0721 -0.1374
CD0 0.16026 0.13183 0.6157 0.7178
CD0 0.15975 0.13169 0.6042 0.6184
CD0 0.16932 0.13120 0.8215 0.2477
CD0 0.13307 0.13098 -0.0024 0.0819
CD0 0.14282 0.13056 0.2192 -0.2379
CD0 0.13854 0.12928 0.1221 -1.2014
CD0 0.10592 0.12931 -0.6194 -1.1807
CD0 0.13331 0.12964 0.0030 -0.9287
CD0 0.17071 0.13244 0.8532 1.1831
CD0 0.16915 0.13334 0.8178 1.8604
CD0 0.09106 0.12913 -0.9570 -1.3143
CD0 0.14755 0.13038 0.3267 -0.3687
CD0 0.11793 0.13094 -0.3465 0.0474
CD0 0.10113 0.13045 -0.7281 -0.3168
CD0 0.10144 0.13168 -0.7211 0.6085
CD0 0.15913 0.13338 0.5899 1.8861
CD0 0.17358 0.13405 0.9183 2.3930
CD0 0.13495 0.13098 0.0405 0.0812
CD0 0.12292 0.13170 -0.2330 0.6213
CD0 0.13404 0.13284 0.0198 1.4836
CD0 0.16215 0.13291 0.6586 1.5342
CD0 0.15489 0.13309 0.4935 1.6738
CD0 0.09481 0.12870 -0.8718 -1.6371
CD0 0.10787 0.12856 -0.5749 -1.7456
CD0 0.16553 0.13256 0.7354 1.2703
CD0 0.13256 0.12911 -0.0138 -1.3312
CD0 0.14705 0.13175 0.3155 0.6619
CD0 0.15759 0.13014 0.5550 -0.5530
CD0 0.14519 0.13022 0.2732 -0.4923
CD0 0.15375 0.13030 0.4678 -0.4308
k 0.06173 0.06441 0.0913 0.1731
k 0.05219 0.06439 -0.5413 -0.4845
k 0.05091 0.06442 -0.6258 0.2279
k 0.07525 0.06447 0.9871 1.5029
k 0.04558 0.06435 -0.9790 -1.5329
k 0.06612 0.06450 0.3818 2.5121
k 0.07184 0.06449 0.7613 2.1187
k 0.05225 0.06438 -0.5372 -0.6337
k 0.04673 0.06442 -0.9029 0.3455
k 0.05731 0.06440 -0.2015 -0.1687
k 0.05522 0.06432 -0.3401 -2.3441
k 0.05920 0.06438 -0.0768 -0.7205
k 0.05816 0.06442 -0.1452 0.3372
k 0.07369 0.06440 0.8840 -0.1962
k 0.04887 0.06441 -0.7613 0.1951
k 0.07375 0.06440 0.8880 -0.2008
k 0.04665 0.06439 -0.9085 -0.5065
k 0.07358 0.06442 0.8765 0.2459
k 0.05532 0.06438 -0.3340 -0.6337
k 0.06721 0.06437 0.4542 -1.0409
k 0.04536 0.06434 -0.9938 -1.7979
k 0.05876 0.06443 -0.1054 0.5654
k 0.06572 0.06438 0.3555 -0.5745
k 0.06423 0.06442 0.2566 0.4417
k 0.06960 0.06444 0.6127 0.9790
k 0.04990 0.06441 -0.6932 0.1729
k 0.05737 0.06437 -0.1976 -0.9180
k 0.06379 0.06443 0.2274 0.4849
k 0.04613 0.06438 -0.9425 -0.6828
k 0.07048 0.06446 0.6713 1.4471
k 0.05783 0.06440 -0.1675 -0.2864
k 0.05269 0.06440 -0.5078 -0.0525
k 0.05198 0.06442 -0.5551 0.2488
k 0.06491 0.06440 0.3018 -0.2839
k 0.04671 0.06437 -0.9043 -0.9819
k 0.05264 0.06442 -0.5111 0.4377
k 0.05444 0.06443 -0.3922 0.6441
k 0.05307 0.06439 -0.4830 -0.3137
k 0.06731 0.06442 0.4612 0.2641
k 0.06314 0.06443 0.1849 0.4863
k 0.07255 0.06446 0.8079 1.4473
k 0.06642 0.06445 0.4020 0.9804
k 0.05415 0.06441 -0.4111 0.1857
k 0.05505 0.06442 -0.3515 0.4160
k 0.04899 0.06440 -0.7535 -0.0598
k 0.05259 0.06440 -0.5149 -0.1635
k 0.06351 0.06440 0.2092 -0.1458
k 0.06733 0.06442 0.4620 0.4668
k 0.05420 0.06442 -0.4082 0.3391
k 0.05565 0.06444 -0.3115 0.7591
k 0.06950 0.06441 0.6058 0.2064
k 0.07419 0.06440 0.9170 -0.1462
k 0.04782 0.06439 -0.8306 -0.3032
k 0.04742 0.06438 -0.8575 -0.7232
k 0.06818 0.06448 0.5184 1.8313
k 0.06022 0.06432 -0.0086 -2.3281
k 0.05809 0.06436 -0.1500 -1.1997
k 0.06439 0.06441 0.2671 0.1815
k 0.06821 0.06444 0.5208 0.9710
k 0.04737 0.06438 -0.8603 -0.5934
k 0.07429 0.06444 0.9236 0.7532
k 0.07418 0.06438 0.9161 -0.6995
k 0.05784 0.06445 -0.1667 1.0239
k 0.05944 0.06437 -0.0609 -0.8598
k 0.05348 0.06440 -0.4554 -0.1781
k 0.06299 0.06437 0.1750 -0.9536
k 0.05146 0.06442 -0.5897 0.4563
k 0.06140 0.06442 0.0692 0.4389
k 0.07256 0.06446 0.8087 1.3151
k 0.06054 0.06437 0.0124 -0.8388
k 0.07023 0.06442 0.6542 0.3917
k 0.05067 0.06449 -0.6416 2.1539
k 0.07193 0.06445 0.7670 1.2257
k 0.04898 0.06442 -0.7536 0.3485
k 0.05169 0.06431 -0.5743 -2.5358
k 0.06700 0.06441 0.4405 0.0719
k 0.05438 0.06431 -0.3960 -2.5577
k 0.04885 0.06435 -0.7622 -1.4731
k 0.04789 0.06439 -0.8264 -0.4645
k 0.06921 0.06443 0.5866 0.6821
k 0.04586 0.06434 -0.9605 -1.7755
k 0.04697 0.06443 -0.8873 0.6708
k 0.07380 0.06445 0.8910 0.9884
k 0.06887 0.06442 0.5643 0.3730
k 0.05644 0.06441 -0.2591 0.2014
k 0.05107 0.06440 -0.6152 -0.0535
k 0.07144 0.06442 0.7344 0.3535
k 0.06904 0.06443 0.5753 0.5619
k 0.06544 0.06437 0.3370 -1.0573
k 0.06127 0.06438 0.0608 -0.7875
k 0.06112 0.06437 0.0505 -0.9608
k 0.07478 0.06443 0.9559 0.6888
k 0.06103 0.06443 0.0446 0.6533
k 0.04780 0.06441 -0.8319 0.1844
k 0.04752 0.06442 -0.8504 0.3327
k 0.06324 0.06447 0.1911 1.5759
k 0.06738 0.06438 0.4654 -0.5871
k 0.06422 0.06448 0.2565 1.7704
k 0.06768 0.06435 0.4856 -1.5134
k 0.05414 0.06435 -0.4116 -1.5174
kappa 2.27488 2.65383 -0.2577 -0.3994
kappa 1.81647 2.67560 -0.4693 0.4017
kappa 2.28125 2.66454 -0.2548 -0.0054
kappa 1.82206 2.67694 -0.4667 0.4508
kappa 4.28127 2.63623 0.6683 -1.0471
kappa 1.30725 2.68402 -0.7043 0.7115
kappa 1.56752 2.67737 -0.5842 0.4665
kappa 3.76099 2.64684 0.4282 -0.6569
kappa 2.39099 2.66659 -0.2042 0.0699
kappa 2.14550 2.67429 -0.3175 0.3533
kappa 4.88930 2.63955 0.9489 -0.9250
kappa 4.53981 2.63524 0.7876 -1.0837
kappa 1.61542 2.68396 -0.5621 0.7091
kappa 1.33983 2.69793 -0.6893 1.2233
kappa 2.80025 2.65807 -0.0153 -0.2434
kappa 3.15449 2.65755 0.1482 -0.2628
kappa 2.16915 2.67981 -0.3065 0.5563
kappa 3.22955 2.64291 0.1829 -0.8013
kappa 3.60546 2.64173 0.3564 -0.8447
kappa 4.19671 2.63477 0.6292 -1.1008
kappa 1.71606 2.69195 -0.5157 1.0032
kappa 3.46215 2.64287 0.2902 -0.8027
kappa 0.91842 2.70893 -0.8838 1.6281
kappa 0.94750 2.70400 -0.8704 1.4465
kappa 0.90654 2.70700 -0.8893 1.5570
kappa 1.17095 2.70342 -0.7673 1.4255
kappa 4.05428 2.63810 0.5635 -0.9785
kappa 2.27377 2.66939 -0.2583 0.1731
kappa 2.80222 2.65350 -0.0144 -0.4117
kappa 2.62057 2.65865 -0.0982 -0.2221
kappa 1.56397 2.68560 -0.5859 0.7694
kappa 0.86503 2.71365 -0.9084 1.8016
kappa 1.45460 2.68721 -0.6363 0.8287
kappa 4.38593 2.64645 0.7166 -0.6713
kappa 2.13407 2.66681 -0.3227 0.0780
kappa 2.48899 2.66814 -0.1589 0.1270
kappa 1.81241 2.67591 -0.4712 0.4130
kappa 3.87858 2.64490 0.4824 -0.7281
kappa 3.71025 2.63837 0.4047 -0.9686
kappa 2.32993 2.65420 -0.2323 -0.3861
kappa 2.86100 2.64859 0.0128 -0.5926
kappa 2.38186 2.65349 -0.2084 -0.4122
kappa 3.15108 2.64658 0.1467 -0.6662
kappa 3.23889 2.65484 0.1872 -0.3623
kappa 3.16894 2.64061 0.1549 -0.8861
kappa 4.57352 2.63441 0.8032 -1.1142
kappa 4.78441 2.63503 0.9005 -1.0914
kappa 0.88939 2.70558 -0.8972 1.5049
kappa 2.31224 2.66921 -0.2405 0.1666
kappa 0.84151 2.70159 -0.9193 1.3580
kappa 2.29030 2.66609 -0.2506 0.0515
kappa 4.14661 2.62920 0.6061 -1.3061
kappa 3.61114 2.64167 0.3590 -0.8472
kappa 3.12511 2.65401 0.1347 -0.3930
kappa 1.04064 2.70785 -0.8274 1.5884
kappa 4.18260 2.63417 0.6227 -1.1230
kappa 3.32057 2.65303 0.2249 -0.4289
kappa 1.97808 2.67587 -0.3947 0.4115
kappa 4.06977 2.62646 0.5707 -1.4067
kappa 0.83594 2.71719 -0.9219 1.9319
kappa 1.47936 2.68263 -0.6249 0.6603
kappa 4.08619 2.63886 0.5782 -0.9505
kappa 0.86558 2.72673 -0.9082 2.2830
kappa 1.23931 2.69880 -0.7357 1.2553
kappa 2.84034 2.65836 0.0032 -0.2328
kappa 3.74386 2.63978 0.4202 -0.9166
kappa 3.22012 2.65354 0.1785 -0.4103
kappa 0.82675 2.70969 -0.9261 1.6559
kappa 1.85747 2.68725 -0.4504 0.8301
kappa 3.72690 2.63661 0.4124 -1.0331
kappa 2.17636 2.67124 -0.3032 0.2412
kappa 1.50828 2.68211 -0.6116 0.6412
kappa 0.67653 2.73056 -0.9954 2.4242
kappa 1.80508 2.68757 -0.4746 0.8419
kappa 4.70003 2.63327 0.8616 -1.1563
kappa 0.88135 2.72546 -0.9009 2.2364
kappa 3.06363 2.65968 0.1063 -0.1842
