t CL0_front CLa_front CD0_front k_front kappa_front g_front lam_c_front lam_r_front beta_c_front beta_r_front CL0_back CLa_back CD0_back k_back kappa_back g_back lam_c_back lam_r_back beta_c_back beta_r_back
0.50 0.2007 0.0003 0.0045 0.0021 0.3070 0.0461 0.0119 0.0171 0.0046 0.3340 0.5922 0.1032 0.0383 0.0153 0.0452 0.0023 0.0229 0.0029 0.0321 0.0060
1.00 0.0000 0.0541 0.0205 0.0071 0.1130 0.0378 0.0052 0.0199 0.0047 0.5691 0.7883 0.0360 0.0491 0.0235 0.0202 0.0145 0.1355 0.0005 0.0155 0.0183
1.50 0.0378 0.0678 0.0256 0.0200 0.0000 0.0461 0.0084 0.0113 0.0513 0.8419 0.7315 0.0155 0.0726 0.0424 0.7726 0.0079 0.0941 0.0000 0.0165 0.0785
2.00 0.0641 0.0911 0.0153 0.0056 0.0132 0.0605 0.0117 0.0088 0.0268 0.8052 0.8140 0.0149 0.0725 0.0916 0.7245 0.0023 0.0666 0.0017 0.0169 0.1121
2.50 0.0966 0.1773 0.0050 0.0047 0.0142 0.1031 0.0125 0.0036 0.0507 0.6050 0.8313 0.0081 0.0890 0.0821 0.6233 0.0133 0.0387 0.0000 0.0232 0.0903
3.00 0.1705 0.2773 0.0000 0.0340 0.0173 0.2225 0.0107 0.0014 0.0660 0.4083 0.7283 0.0072 0.1047 0.0389 0.5350 0.0021 0.0391 0.0003 0.0370 0.1305
3.50 0.2457 0.3510 0.0038 0.0319 0.0000 0.3052 0.0060 0.0011 0.0577 0.2538 0.5468 0.0065 0.0990 0.0021 0.4561 0.0069 0.0570 0.0025 0.0746 0.1733
4.00 0.3003 0.3866 0.0094 0.0163 0.0492 0.2385 0.0061 0.0015 0.0549 0.1559 0.3930 0.0044 0.0865 0.0025 0.3108 0.0267 0.0984 0.0093 0.1062 0.2294
4.50 0.3414 0.4127 0.0135 0.0044 0.1128 0.1696 0.0039 0.0024 0.0596 0.0879 0.3390 0.0065 0.0499 0.0043 0.0975 0.0403 0.1621 0.0180 0.1358 0.3224
5.00 0.3545 0.4207 0.0182 0.0013 0.0868 0.1304 0.0010 0.0038 0.0678 0.0430 0.3413 0.0150 0.0213 0.0183 0.0004 0.0282 0.2024 0.0315 0.1081 0.4682
5.50 0.3597 0.4256 0.0226 0.0017 0.0530 0.0944 0.0001 0.0034 0.0777 0.0183 0.3484 0.0299 0.0038 0.0979 0.1197 0.0064 0.0468 0.0256 0.0001 0.6042
6.00 0.3694 0.4330 0.0370 0.0027 0.0332 0.0571 0.0001 0.0028 0.0853 0.0087 0.3462 0.0366 0.0008 0.1058 0.0767 0.0031 0.0014 0.0114 0.0678 0.6910
6.50 0.3867 0.4389 0.0652 0.0034 0.0185 0.0264 0.0004 0.0024 0.0880 0.0032 0.1948 0.0451 0.0412 0.0735 0.0068 0.0169 0.0136 0.0251 0.0221 0.7341
7.00 0.4086 0.4422 0.1131 0.0034 0.0073 0.0086 0.0002 0.0032 0.0844 0.0010 0.0633 0.0637 0.0895 0.0922 0.0116 0.0589 0.0098 0.0188 0.0054 0.7309
7.50 0.4251 0.4387 0.1720 0.0032 0.0006 0.0075 0.0001 0.0044 0.0761 0.0000 0.0790 0.0701 0.0819 0.1019 0.0225 0.0823 0.0004 0.0171 0.0000 0.6976
8.00 0.4310 0.4211 0.2266 0.0027 0.0007 0.0094 0.0027 0.0076 0.0660 0.0002 0.1370 0.0689 0.0800 0.0866 0.0251 0.0753 0.0176 0.0087 0.0008 0.6695
8.50 0.4243 0.3913 0.2925 0.0028 0.0037 0.0110 0.0032 0.0059 0.0507 0.0011 0.2086 0.0640 0.0848 0.0541 0.0256 0.0437 0.0394 0.0013 0.0015 0.6609
9.00 0.3979 0.3674 0.3692 0.0027 0.0062 0.0063 0.0044 0.0026 0.0275 0.0038 0.2698 0.0579 0.0881 0.0224 0.0191 0.0078 0.0188 0.0025 0.0021 0.6767
9.50 0.3775 0.3280 0.4476 0.0016 0.0064 0.0011 0.0086 0.0008 0.0113 0.0040 0.3259 0.0531 0.0904 0.0047 0.0103 0.0000 0.0059 0.0044 0.0009 0.6821
10.00 0.3461 0.2945 0.4958 0.0005 0.0042 0.0001 0.0186 0.0029 0.0040 0.0024 0.3661 0.0499 0.0937 0.0001 0.0031 0.0003 0.0010 0.0119 0.0000 0.6847
10.50 0.3331 0.2728 0.4938 0.0000 0.0008 0.0031 0.0185 0.0026 0.0039 0.0029 0.4051 0.0470 0.0991 0.0010 0.0000 0.0001 0.0002 0.0156 0.0009 0.6851
11.00 0.3359 0.2585 0.4451 0.0002 0.0002 0.0035 0.0069 0.0004 0.0095 0.0094 0.4374 0.0462 0.0985 0.0000 0.0033 0.0082 0.0013 0.0136 0.0005 0.6849
11.50 0.3572 0.2404 0.4154 0.0008 0.0026 0.0020 0.0016 0.0001 0.0162 0.0118 0.4676 0.0426 0.1062 0.0000 0.0067 0.0177 0.0095 0.0120 0.0001 0.6926
