t CL0_front CLa_front CD0_front k_front kappa_front g_front lam_c_front lam_r_front beta_c_front beta_r_front CL0_back CLa_back CD0_back k_back kappa_back g_back lam_c_back lam_r_back beta_c_back beta_r_back
0.50 0.0972 0.0002 0.0250 0.0000 0.7228 0.0380 0.0013 0.0150 0.0016 0.0026 0.1348 0.1009 0.0026 0.1498 0.7976 0.0073 0.0325 0.0077 0.2290 0.0091
1.00 0.0376 0.0116 0.0004 0.0020 0.3978 0.0224 0.0061 0.0159 0.0336 0.4122 0.7464 0.0821 0.0020 0.0891 0.8761 0.0000 0.0419 0.0049 0.1285 0.0000
1.50 0.0688 0.1369 0.0141 0.0077 0.0035 0.0256 0.0057 0.0028 0.0133 0.7517 0.5446 0.0537 0.0040 0.0662 0.5909 0.0002 0.0312 0.0097 0.0346 0.0022
2.00 0.0626 0.0936 0.0197 0.0231 0.0163 0.0412 0.0016 0.0021 0.0031 0.8501 0.4553 0.0298 0.0071 0.0605 0.2091 0.0011 0.0180 0.0231 0.0101 0.0752
2.50 0.0914 0.1415 0.0153 0.0301 0.0010 0.0663 0.0002 0.0004 0.1949 0.7681 0.4752 0.0115 0.0207 0.0489 0.4917 0.0104 0.0093 0.0120 0.0070 0.1959
3.00 0.1493 0.2108 0.0113 0.0291 0.0059 0.0946 0.0003 0.0002 0.0994 0.6570 0.4281 0.0051 0.0639 0.0287 0.4366 0.0089 0.0004 0.0082 0.0125 0.3005
3.50 0.2232 0.2639 0.0093 0.0228 0.1500 0.0411 0.0007 0.0004 0.0300 0.5409 0.3077 0.0016 0.1230 0.0116 0.3039 0.0009 0.0009 0.0083 0.0312 0.4154
4.00 0.2640 0.2894 0.0068 0.0118 0.1734 0.0192 0.0009 0.0002 0.0058 0.4427 0.1952 0.0000 0.1547 0.0003 0.0804 0.0033 0.0033 0.0109 0.0463 0.5332
4.50 0.2627 0.3136 0.0035 0.0067 0.0319 0.0129 0.0002 0.0000 0.0000 0.3572 0.1391 0.0000 0.1195 0.0056 0.0007 0.0125 0.0016 0.0122 0.0531 0.6610
5.00 0.2394 0.3280 0.0004 0.0095 0.0039 0.0158 0.0000 0.0000 0.0014 0.2869 0.1213 0.0009 0.0961 0.0055 0.0084 0.0115 0.0002 0.0154 0.0160 0.7168
