t V alpha Tr
0.02 13.375 -2.7386 0
0.12 13.336 -2.0273 0
0.22 13.31 -1.4044 0
0.32 13.303 -0.98351 0
0.42 13.309 -0.77721 0
0.52 13.322 -0.67279 0
0.62 13.344 -0.43093 0
0.72 13.367 0.044638 0
0.82 13.395 0.72103 0
0.92 13.433 1.3504 0
1.02 13.476 1.9888 0
1.12 13.534 2.62 0
1.22 13.613 3.1198 0
1.32 13.694 3.3846 0
1.42 13.794 3.7174 0
1.52 13.887 3.7861 0
1.62 13.981 3.971 0
1.72 14.064 4.2695 0
1.82 14.144 4.5817 0
1.92 14.186 4.9407 0
2.02 14.248 5.0432 0
2.12 14.299 4.9201 0
2.22 14.35 4.9513 0
2.32 14.379 6.5199 0
2.42 14.397 8.5354 0
2.52 14.402 8.9334 0
2.62 14.395 7.7336 0
2.72 14.341 5.8473 0
2.82 14.194 4.3268 0
2.92 13.944 3.2123 4.5548
3.02 13.722 2.6682 7.3963
3.12 13.482 2.4835 15.514
3.22 13.292 2.8131 13.61
3.32 13.094 4.3253 17.268
3.42 12.868 5.3945 20.494
3.52 12.654 6.452 24.196
3.62 12.464 7.7231 27.415
3.72 12.274 9.0352 30.548
3.82 12.054 8.5686 33.639
3.92 11.854 8.6977 37.319
4.02 11.639 8.6679 41.697
4.12 11.416 8.398 45.942
4.22 11.197 7.6593 50.44
4.32 10.964 6.4975 55.99
4.42 10.692 4.9757 60.817
4.52 10.466 3.0301 64.467
4.62 10.235 0.57839 68.334
4.72 9.9932 -1.9052 70.878
4.82 9.7628 -3.3831 70.726
4.92 9.5387 -3.5486 70.331
5.02 9.3277 -2.7108 74.186
5.12 9.1463 -1.445 72.012
5.22 8.9652 -0.36352 68.12
5.32 8.8006 0.021935 65.042
5.42 8.6239 0.17752 60.091
5.52 8.4492 1.2152 61.595
5.62 8.2721 2.2418 64.107
5.72 8.0964 3.5856 61.618
5.82 7.9207 4.8056 61.491
5.92 7.7788 5.0797 58.558
6.02 7.613 5.106 58.092
6.12 7.4628 4.5422 59.502
6.22 7.3337 4.1904 61.46
6.32 7.2101 4.5367 62.971
6.42 7.1144 6.0483 64.186
6.52 7.0164 8.4218 64.782
6.62 6.9263 11.162 63.519
6.72 6.8273 13.553 60.789
6.82 6.7359 15.319 59.336
6.92 6.6332 16.455 60.535
7.02 6.5457 16.998 62.018
7.12 6.4747 16.625 62.067
7.22 6.4314 16.091 62.652
7.32 6.4338 15.323 63.871
7.42 6.4688 15.674 65.193
7.52 6.5236 16.268 65.014
7.62 6.5897 18.419 62.228
7.72 6.7045 20.891 63.14
7.82 6.8394 23.212 60.601
7.92 6.9846 24.817 59.011
8.02 7.1397 26.436 58.597
8.12 7.2854 27.55 58.62
8.22 7.4531 29.02 56.626
8.32 7.5833 30.033 53.052
8.42 7.7253 31.037 52.201
8.52 7.8701 31.105 52.145
8.62 8.0155 29.488 51.612
8.72 8.1538 23.853 50.484
8.82 8.2708 17.028 49.785
8.92 8.3961 12.885 49.214
9.02 8.4602 12.977 49.879
9.12 8.4475 16.664 46.624
9.22 8.3922 22.353 44.264
9.32 8.305 25.713 48.181
9.42 8.1372 30.239 41.441
9.52 7.8856 31.729 39.49
9.62 7.5434 31.866 42.813
9.72 7.157 31.881 38.19
9.82 6.8111 32.607 40.022
9.92 6.4718 34.169 41.87
10.02 6.1995 35.867 41.538
10.12 5.9966 35.319 44.311
10.22 5.7621 32.351 46.886
10.32 5.5218 28.713 48.735
10.42 5.3656 25.685 54.821
10.52 5.3163 23.942 57.764
10.62 5.3787 20.863 58.211
10.72 5.5595 18.617 58.338
10.82 5.804 17.565 58.362
10.92 6.0821 17.163 58.329
11.02 6.3758 17.413 58.337
11.12 6.6857 17.991 58.351
11.22 7.0016 18.807 58.369
11.32 7.2277 21.323 58.37
11.42 7.4537 25.156 58.351
11.52 7.6415 28.489 58.351
11.62 7.7818 30.216 58.363
11.72 7.8511 29.526 55.754
11.82 7.9083 28.119 49.649
11.92 7.9626 27.07 51.094
