t V alpha Tr
0.02 5.3918 -0.84088 73.186
0.12 5.586 -1.5749 72.209
0.22 5.8107 -2.2492 70.705
0.32 6.0733 -2.9725 69.386
0.42 6.3453 -3.4712 69.21
0.52 6.64 -4.1421 66.929
0.62 6.9307 -4.5059 64.356
0.72 7.236 -4.9234 62.311
0.82 7.6096 -5.3367 59.707
0.92 7.9868 -4.9624 56.258
1.02 8.4094 -3.5425 52.319
1.12 8.8191 -0.71962 47.878
1.22 9.2905 2.0437 44.402
1.32 9.7209 3.3826 40.592
1.42 10.134 3.698 37.099
1.52 10.571 3.4566 33.996
1.62 10.959 3.2157 31.285
1.72 11.383 3.235 28.509
1.82 11.797 3.4476 25.779
1.92 12.203 3.5964 22.765
2.02 12.604 3.4439 19.323
2.12 12.997 3.2069 16.276
2.22 13.357 2.8424 13.18
2.32 13.743 2.5096 10.292
2.42 14.063 2.1294 7.2897
2.52 14.389 1.6009 5.4126
2.62 14.49 0.1952 4.8885
2.72 14.335 -1.8547 0
2.82 14.112 -3.7003 0
2.92 13.9 -5.3701 0
3.02 13.72 -6.498 0
3.12 13.567 -7.7239 0
3.22 13.438 -10.189 0
3.32 13.381 -10.243 0
3.42 13.288 -9.8765 0
3.52 13.196 -9.4877 0
3.62 13.129 -8.8588 0
3.72 13.072 -8.0499 0
3.82 13.037 -7.2698 0
3.92 13.019 -6.5563 0
4.02 13.011 -5.7682 0
4.12 13.016 -4.9698 0
4.22 13.026 -4.2504 0
4.32 13.044 -3.5273 0
4.42 13.074 -2.6176 0
4.52 13.11 -1.9335 0
4.62 13.423 1.1898 0
4.72 13.789 2.0243 0
4.82 13.829 1.7298 0
4.92 13.857 1.382 0
5.02 13.877 1.0154 0
5.12 13.886 0.66867 0
5.22 13.886 0.30071 0
5.32 13.881 0.028161 0
5.42 13.872 -0.27206 0
5.52 13.857 -0.63043 0
5.62 13.833 -0.76946 0
5.72 13.805 -0.99932 0
5.82 13.775 -1.1313 0
5.92 13.743 -1.186 0
6.02 13.715 -1.2876 0
6.12 13.687 -1.4798 0
6.22 13.667 -1.7372 0
6.32 13.649 -2.0186 0
6.42 13.64 -2.2024 0
6.52 13.633 -2.5236 0
6.62 13.625 -2.6969 0
6.72 13.615 -2.8916 0
6.82 13.608 -3.0727 0
6.92 13.636 -3.3484 0
7.02 13.701 -3.6335 0
7.12 13.706 -3.8023 0
7.22 13.684 -3.8974 0
7.32 13.651 -3.9539 0
7.42 13.619 -3.8158 0
7.52 13.588 -3.5913 0
7.62 13.563 -3.2316 0
7.72 13.543 -2.7994 0
7.82 13.531 -2.4655 0
7.92 13.528 -2.0912 0
8.02 13.534 -1.8743 0
8.12 13.547 -1.6464 0
8.22 13.565 -1.6026 0
8.32 13.589 -1.737 0
8.42 13.612 -1.7445 0
8.52 13.634 -1.6311 0
8.62 13.655 -1.6003 0
8.72 13.677 -1.5815 0
8.82 13.695 -1.595 0
8.92 13.713 -1.4342 0
9.02 13.732 -1.2317 0
9.12 13.746 -0.98163 0
9.22 13.763 -0.74134 0
9.32 13.778 -0.43919 0
9.42 13.798 -0.081185 0
9.52 13.825 0.22678 0
9.62 13.861 0.38124 0
9.72 13.899 0.68619 0
9.82 13.949 1.0603 0
9.92 13.999 1.4279 0
10.02 14.057 1.8185 0
10.12 14.118 2.1575 0
10.22 14.175 2.339 0
10.32 14.228 2.3202 0
10.42 14.289 2.2549 0
10.52 14.344 2.1223 0
10.62 14.395 2.0162 0
10.72 14.449 1.9711 0
10.82 14.474 1.9926 0
10.92 14.529 1.7577 0
11.02 14.578 1.5757 0
11.12 14.615 1.4841 0
11.22 14.646 1.3497 0
11.32 14.676 0.8949 0
11.42 14.701 0.38504 0
11.52 14.719 0.17007 0
11.62 14.726 0.031194 0
11.72 14.724 -0.12598 0
11.82 14.724 -0.19994 0
11.92 14.725 -0.16261 0
