V alpha_deg Tr h feas
4.500 -10.00 0.0 -64.413 0
4.500 -10.00 9.8 -54.729 0
4.500 -10.00 19.7 -45.045 0
4.500 -10.00 29.5 -35.361 0
4.500 -10.00 39.3 -25.677 0
4.500 -10.00 49.2 -15.993 0
4.500 -10.00 59.0 -6.309 0
4.500 -10.00 68.8 3.375 0
4.500 -10.00 78.7 13.059 1
4.500 -10.00 88.5 22.743 1
4.500 -10.00 98.3 32.427 1
4.500 -10.00 108.2 42.111 1
4.500 -10.00 118.0 51.794 1
4.500 -9.00 0.0 -63.920 0
4.500 -9.00 9.8 -54.207 0
4.500 -9.00 19.7 -44.495 0
4.500 -9.00 29.5 -34.783 0
4.500 -9.00 39.3 -25.070 0
4.500 -9.00 49.2 -15.358 0
4.500 -9.00 59.0 -5.646 0
4.500 -9.00 68.8 4.066 0
4.500 -9.00 78.7 13.779 1
4.500 -9.00 88.5 23.491 1
4.500 -9.00 98.3 33.203 1
4.500 -9.00 108.2 42.915 1
4.500 -9.00 118.0 52.628 1
4.500 -8.00 0.0 -63.426 0
4.500 -8.00 9.8 -53.689 0
4.500 -8.00 19.7 -43.951 0
4.500 -8.00 29.5 -34.213 0
4.500 -8.00 39.3 -24.476 0
4.500 -8.00 49.2 -14.738 0
4.500 -8.00 59.0 -5.000 0
4.500 -8.00 68.8 4.737 0
4.500 -8.00 78.7 14.475 1
4.500 -8.00 88.5 24.212 1
4.500 -8.00 98.3 33.950 1
4.500 -8.00 108.2 43.688 1
4.500 -8.00 118.0 53.425 1
4.500 -7.00 0.0 -62.933 0
4.500 -7.00 9.8 -53.173 0
4.500 -7.00 19.7 -43.413 0
4.500 -7.00 29.5 -33.653 0
4.500 -7.00 39.3 -23.893 0
4.500 -7.00 49.2 -14.133 0
4.500 -7.00 59.0 -4.373 0
4.500 -7.00 68.8 5.387 0
4.500 -7.00 78.7 15.147 1
4.500 -7.00 88.5 24.907 1
4.500 -7.00 98.3 34.667 1
4.500 -7.00 108.2 44.427 1
4.500 -7.00 118.0 54.187 1
4.500 -6.00 0.0 -62.440 0
4.500 -6.00 9.8 -52.660 0
4.500 -6.00 19.7 -42.881 0
4.500 -6.00 29.5 -33.101 0
4.500 -6.00 39.3 -23.322 0
4.500 -6.00 49.2 -13.542 0
4.500 -6.00 59.0 -3.763 0
4.500 -6.00 68.8 6.017 0
4.500 -6.00 78.7 15.796 1
4.500 -6.00 88.5 25.576 1
4.500 -6.00 98.3 35.355 1
4.500 -6.00 108.2 45.134 1
4.500 -6.00 118.0 54.914 1
4.500 -5.00 0.0 -61.946 0
4.500 -5.00 9.8 -52.150 0
4.500 -5.00 19.7 -42.355 0
4.500 -5.00 29.5 -32.559 0
4.500 -5.00 39.3 -22.763 0
4.500 -5.00 49.2 -12.967 0
4.500 -5.00 59.0 -3.171 0
4.500 -5.00 68.8 6.625 0
