alpha V cls h
-10.00 4.500 0 -9.98
-9.00 4.500 0 -9.37
-8.00 4.500 0 -8.78
-7.00 4.500 0 -8.20
-6.00 4.500 0 -7.63
-5.00 4.500 0 -7.07
-4.00 4.500 0 -6.52
-3.00 4.500 0 -5.98
-2.00 4.500 0 -5.46
-1.00 4.500 0 -4.95
0.00 4.500 0 -4.45
1.00 4.500 0 -4.16
2.00 4.500 0 -3.88
3.00 4.500 0 -3.62
4.00 4.500 0 -3.36
5.00 4.500 0 -3.12
-10.00 5.000 0 -9.44
-9.00 5.000 0 -8.72
-8.00 5.000 0 -8.01
-7.00 5.000 0 -7.31
-6.00 5.000 0 -6.62
-5.00 5.000 0 -5.95
-4.00 5.000 0 -5.29
-3.00 5.000 0 -4.64
-2.00 5.000 0 -4.00
-1.00 5.000 0 -3.37
0.00 5.000 0 -2.75
1.00 5.000 0 -2.40
2.00 5.000 0 -2.05
3.00 5.000 0 -1.71
4.00 5.000 0 -1.39
5.00 5.000 0 -1.08
-10.00 5.500 0 -8.85
-9.00 5.500 0 -8.00
-8.00 5.500 0 -7.16
-7.00 5.500 0 -6.33
-6.00 5.500 0 -5.52
-5.00 5.500 0 -4.71
-4.00 5.500 0 -3.92
-3.00 5.500 0 -3.15
-2.00 5.500 0 -2.38
-1.00 5.500 0 -1.62
0.00 5.500 0 -0.88
1.00 5.500 0 -0.45
2.00 5.500 0 -0.02
3.00 5.500 1 0.39
4.00 5.500 1 0.79
5.00 5.500 1 1.18
-10.00 6.000 0 -8.20
-9.00 6.000 0 -7.21
-8.00 6.000 0 -6.23
-7.00 6.000 0 -5.26
-6.00 6.000 0 -4.31
-5.00 6.000 0 -3.36
-4.00 6.000 0 -2.43
-3.00 6.000 0 -1.51
-2.00 6.000 0 -0.61
-1.00 6.000 1 0.29
0.00 6.000 1 1.17
1.00 6.000 1 1.69
2.00 6.000 1 2.20
3.00 6.000 1 2.70
4.00 6.000 1 3.18
5.00 6.000 1 3.65
-10.00 6.500 0 -7.49
-9.00 6.500 0 -6.34
-8.00 6.500 0 -5.21
-7.00 6.500 0 -4.10
-6.00 6.500 0 -2.99
-5.00 6.500 0 -1.89
-4.00 6.500 0 -0.81
-3.00 6.500 1 0.26
-2.00 6.500 1 1.32
-1.00 6.500 1 2.37
0.00 6.500 1 3.40
1.00 6.500 2 4.01
2.00 6.500 1 4.61
3.00 6.500 1 5.20
4.00 6.500 1 5.78
5.00 6.500 1 6.34
-10.00 7.000 0 -6.72
-9.00 7.000 0 -5.42
-8.00 7.000 0 -4.12
-7.00 7.000 0 -2.84
-6.00 7.000 0 -1.57
-5.00 7.000 0 -0.31
-4.00 7.000 1 0.94
-3.00 7.000 1 2.18
-2.00 7.000 2 3.40
-1.00 7.000 2 4.61
0.00 7.000 2 5.81
1.00 7.000 2 6.52
2.00 7.000 2 7.22
3.00 7.000 1 7.91
4.00 7.000 1 8.58
5.00 7.000 1 9.24
-10.00 7.500 0 -5.90
-9.00 7.500 0 -4.42
-8.00 7.500 0 -2.95
-7.00 7.500 0 -1.49
-6.00 7.500 0 -0.04
-5.00 7.500 1 1.40
-4.00 7.500 2 2.82
-3.00 7.500 2 4.24
-2.00 7.500 2 5.63
-1.00 7.500 2 7.02
0.00 7.500 2 8.40
1.00 7.500 2 9.21
2.00 7.500 2 10.02
3.00 7.500 1 10.81
4.00 7.500 1 11.59
5.00 7.500 1 12.36
-10.00 8.000 0 -5.02
-9.00 8.000 0 -3.35
-8.00 8.000 0 -1.69
-7.00 8.000 0 -0.04
-6.00 8.000 1 1.60
-5.00 8.000 2 3.22
-4.00 8.000 2 4.83
-3.00 8.000 2 6.43
-2.00 8.000 2 8.02
-1.00 8.000 2 9.60
0.00 8.000 2 11.17
1.00 8.000 2 12.10
2.00 8.000 2 13.01
3.00 8.000 2 13.92
4.00 8.000 1 14.81
5.00 8.000 1 15.69
-10.00 8.500 0 -4.09
-9.00 8.500 0 -2.21
-8.00 8.500 0 -0.35
-7.00 8.500 1 1.50
-6.00 8.500 2 3.33
-5.00 8.500 2 5.16
-4.00 8.500 2 6.97
-3.00 8.500 2 8.78
-2.00 8.500 2 10.57
-1.00 8.500 2 12.34
0.00 8.500 2 14.11
1.00 8.500 2 15.16
2.00 8.500 2 16.20
3.00 8.500 2 17.22
4.00 8.500 1 18.24
5.00 8.500 1 19.24
-10.00 9.000 0 -3.10
-9.00 9.000 0 -1.01
-8.00 9.000 1 1.07
-7.00 9.000 1 3.13
-6.00 9.000 2 5.18
