t V gam alpha th thsp Tcc Trc lf alt
0.01 14.646 0.704 -6.367 -5.663 -4.770 14.17 20.20 1.0132 51.40
0.03 14.626 0.665 -6.352 -5.687 -4.770 14.17 20.20 1.0118 51.40
0.05 14.891 0.634 -6.371 -5.737 -4.770 14.17 20.20 1.0390 51.40
0.07 15.023 0.610 -6.347 -5.738 -4.480 13.90 20.25 1.0547 51.40
0.10 15.089 0.538 -6.160 -5.622 -4.480 13.90 20.25 1.0732 51.41
0.12 15.122 0.523 -6.104 -5.581 -4.480 13.90 20.25 1.0803 51.41
0.14 15.139 0.505 -6.137 -5.632 -4.194 13.62 20.31 1.0803 51.40
0.16 14.966 0.515 -6.174 -5.658 -4.194 13.62 20.31 1.0590 51.40
0.18 14.879 0.500 -6.173 -5.672 -3.915 13.35 20.37 1.0497 51.40
0.20 14.836 0.480 -6.069 -5.589 -3.915 13.35 20.37 1.0513 51.40
0.22 14.815 0.485 -6.025 -5.540 -3.915 13.35 20.37 1.0516 51.40
0.24 14.804 0.483 -5.947 -5.464 -3.645 13.09 20.44 1.0551 51.40
0.26 14.882 0.427 -5.728 -5.301 -3.645 13.09 20.44 1.0768 51.39
0.28 14.921 0.458 -5.758 -5.300 -3.645 13.09 20.44 1.0797 51.39
0.30 14.940 0.482 -5.735 -5.253 -3.379 12.82 20.51 1.0835 51.39
0.32 14.950 0.452 -5.642 -5.190 -3.379 12.82 20.51 1.0904 51.39
0.34 14.955 0.509 -5.636 -5.127 -3.379 12.82 20.51 1.0916 51.39
0.36 14.857 0.607 -5.664 -5.058 -3.120 12.56 20.59 1.0792 51.38
0.38 14.807 0.597 -5.581 -4.984 -3.120 12.56 20.59 1.0788 51.38
0.40 14.783 0.683 -5.547 -4.863 -2.868 12.30 20.68 1.0784 51.38
0.42 14.771 0.700 -5.506 -4.805 -2.868 12.30 20.68 1.0798 51.38
0.44 14.765 0.733 -5.508 -4.775 -2.868 12.30 20.68 1.0793 51.38
0.46 14.785 0.730 -5.480 -4.750 -2.621 12.04 20.77 1.0836 51.38
0.48 14.795 0.751 -5.408 -4.657 -2.621 12.04 20.77 1.0894 51.38
0.50 14.800 0.853 -5.474 -4.622 -2.621 12.04 20.77 1.0866 51.38
0.52 14.803 0.885 -5.449 -4.563 -2.378 11.78 20.85 1.0887 51.39
0.54 14.804 0.910 -5.438 -4.527 -2.378 11.78 20.85 1.0900 51.39
0.56 14.773 0.931 -5.428 -4.496 -2.378 11.78 20.85 1.0874 51.39
0.58 14.757 0.981 -5.440 -4.459 -2.141 11.52 20.94 1.0853 51.40
0.60 14.749 0.997 -5.363 -4.366 -2.141 11.52 20.94 1.0893 51.40
0.62 14.745 1.039 -5.234 -4.196 -2.141 11.52 20.94 1.0967 51.40
0.64 14.743 1.018 -5.116 -4.098 -1.916 11.27 21.05 1.1037 51.41
0.66 14.894 1.033 -5.108 -4.075 -1.916 11.27 21.05 1.1222 51.41
0.68 14.969 1.008 -4.997 -3.989 -1.690 11.00 21.16 1.1380 51.41
0.70 15.007 0.979 -4.895 -3.915 -1.690 11.00 21.16 1.1491 51.42
0.72 15.026 1.067 -4.924 -3.858 -1.690 11.00 21.16 1.1501 51.42
0.74 15.035 1.035 -4.847 -3.812 -1.470 10.74 21.27 1.1563 51.42
0.76 14.889 1.039 -4.794 -3.755 -1.470 10.74 21.27 1.1425 51.43
0.78 14.816 1.100 -4.760 -3.660 -1.470 10.74 21.27 1.1363 51.43
0.80 14.779 1.256 -4.924 -3.668 -1.263 10.48 21.38 1.1230 51.44
