t V gam alpha th thsp Tcc Trc lf alt
0.01 6.115 -2.676 2.465 -0.211 -0.955 2.09 64.16 1.0232 49.87
0.03 6.290 -2.617 2.432 -0.184 -0.955 2.09 64.16 1.0370 49.87
0.05 6.377 -2.645 2.537 -0.108 -0.955 2.09 64.16 1.0460 49.86
0.07 6.421 -2.492 2.312 -0.180 -1.898 2.61 65.12 1.0489 49.86
0.09 6.443 -2.397 2.308 -0.089 -1.898 2.61 65.12 1.0529 49.85
0.11 6.454 -2.504 2.371 -0.132 -1.898 2.61 65.12 1.0567 49.85
0.13 6.248 -2.306 2.143 -0.162 -2.820 3.14 65.99 1.0418 49.85
0.15 6.144 -2.329 2.179 -0.149 -2.820 3.14 65.99 1.0378 49.84
0.17 6.093 -2.421 2.273 -0.147 -2.820 3.14 65.99 1.0378 49.84
0.19 6.067 -2.396 2.234 -0.162 -3.729 3.66 66.89 1.0386 49.83
0.21 6.054 -2.039 1.837 -0.202 -3.729 3.66 66.89 1.0373 49.83
0.23 6.135 -2.138 1.928 -0.210 -3.729 3.66 66.89 1.0467 49.83
0.25 6.175 -1.960 1.698 -0.262 -4.604 4.17 67.69 1.0505 49.83
0.27 6.195 -1.811 1.473 -0.338 -4.604 4.17 67.69 1.0531 49.83
0.29 6.205 -1.710 1.244 -0.466 -4.604 4.17 67.69 1.0545 49.83
0.31 6.210 -1.698 1.076 -0.622 -5.436 4.67 68.33 1.0564 49.83
0.33 6.251 -1.568 0.798 -0.770 -5.436 4.67 68.33 1.0596 49.82
0.35 6.271 -1.451 0.462 -0.989 -5.436 4.67 68.33 1.0604 49.82
0.37 6.282 -1.246 -0.001 -1.246 -6.205 5.16 68.77 1.0591 49.82
0.39 6.287 -1.155 -0.302 -1.457 -6.205 5.16 68.77 1.0591 49.82
0.41 6.289 -1.064 -0.637 -1.701 -6.205 5.16 68.77 1.0581 49.82
0.43 6.163 -1.071 -0.958 -2.029 -6.891 5.64 68.97 1.0492 49.82
0.45 6.099 -0.812 -1.462 -2.274 -6.891 5.64 68.97 1.0423 49.82
0.47 6.068 -0.653 -2.031 -2.683 -7.492 6.10 68.96 1.0364 49.83
0.49 6.052 -0.535 -2.483 -3.018 -7.492 6.10 68.96 1.0324 49.83
0.51 6.044 -0.556 -2.708 -3.264 -7.492 6.10 68.96 1.0310 49.83
0.53 6.093 -0.525 -3.101 -3.626 -8.020 6.54 68.86 1.0306 49.83
0.55 6.117 -0.492 -3.473 -3.965 -8.020 6.54 68.86 1.0287 49.83
0.57 6.129 -0.499 -3.756 -4.255 -8.020 6.54 68.86 1.0270 49.83
0.59 6.135 -0.664 -4.003 -4.667 -8.484 6.96 68.71 1.0251 49.84
0.61 6.138 -0.780 -4.213 -4.993 -8.484 6.96 68.71 1.0232 49.84
0.63 6.130 -0.576 -4.708 -5.284 -8.484 6.96 68.71 1.0174 49.84
0.65 6.127 -0.349 -5.274 -5.624 -8.884 7.36 68.50 1.0106 49.84
0.67 6.125 -0.390 -5.524 -5.914 -8.884 7.36 68.50 1.0074 49.84
0.69 6.124 -0.638 -5.566 -6.204 -9.230 7.74 68.30 1.0068 49.84
0.71 6.123 -0.635 -5.868 -6.504 -9.230 7.74 68.30 1.0027 49.85
0.73 6.448 -0.612 -6.102 -6.713 -9.230 7.74 68.30 1.0145 49.85
0.75 6.610 -0.547 -6.498 -7.045 -9.516 8.09 68.09 1.0165 49.85
0.77 6.691 -0.720 -6.529 -7.250 -9.516 8.09 68.09 1.0192 49.85
0.79 6.731 -0.746 -6.701 -7.447 -9.516 8.09 68.09 1.0180 49.85
0.81 6.752 -0.752 -6.901 -7.653 -9.748 8.42 67.88 1.0155 49.85
0.83 6.633 -0.753 -7.066 -7.819 -9.748 8.42 67.88 1.0068 49.85
0.85 6.574 -0.912 -7.046 -7.959 -9.748 8.42 67.88 1.0036 49.85
0.87 6.545 -1.085 -7.027 -8.112 -9.931 8.71 67.68 1.0017 49.85
0.89 6.530 -1.381 -6.851 -8.233 -9.931 8.71 67.68 1.0026 49.85
0.91 6.522 -1.669 -6.657 -8.326 -9.931 8.71 67.68 1.0042 49.85
0.93 6.674 -1.999 -6.364 -8.364 -10.054 8.96 67.51 1.0147 49.85
0.95 6.750 -2.095 -6.310 -8.405 -10.054 8.96 67.51 1.0183 49.85
0.97 6.788 -2.298 -6.141 -8.439 -10.054 8.96 67.51 1.0219 49.84
0.99 6.807 -2.399 -6.023 -8.422 -10.123 9.17 67.34 1.0237 49.84
1.01 6.816 -2.585 -5.918 -8.504 -10.123 9.17 67.34 1.0249 49.83
1.03 6.963 -2.715 -5.758 -8.473 -10.123 9.17 67.34 1.0342 49.83
1.05 7.036 -2.765 -5.702 -8.467 -10.144 9.32 67.16 1.0381 49.82
1.07 7.073 -2.845 -5.567 -8.412 -10.144 9.32 67.16 1.0413 49.81
1.09 7.091 -2.959 -5.408 -8.367 -10.144 9.32 67.16 1.0440 49.81
1.11 7.101 -3.007 -5.370 -8.377 -10.130 9.42 66.99 1.0443 49.80
1.13 6.993 -3.163 -5.184 -8.347 -10.130 9.42 66.99 1.0405 49.80
1.15 6.939 -3.392 -4.987 -8.378 -10.130 9.42 66.99 1.0399 49.79
1.17 6.912 -3.256 -5.088 -8.344 -10.097 9.50 66.81 1.0359 49.78
1.19 6.898 -3.272 -5.028 -8.300 -10.097 9.50 66.81 1.0352 49.78
1.21 6.891 -3.308 -5.030 -8.337 -10.097 9.50 66.81 1.0341 49.77
1.23 7.163 -3.340 -4.997 -8.337 -10.045 9.54 66.61 1.0489 49.77
1.25 7.299 -3.296 -5.043 -8.339 -10.045 9.54 66.61 1.0550 49.76
1.27 7.367 -3.045 -5.266 -8.311 -9.980 9.56 66.39 1.0541 49.76
1.29 7.401 -2.967 -5.378 -8.345 -9.980 9.56 66.39 1.0531 49.75
1.31 7.418 -3.100 -5.231 -8.331 -9.980 9.56 66.39 1.0557 49.75
1.33 7.506 -2.881 -5.477 -8.358 -9.907 9.56 66.15 1.0556 49.74
1.35 7.550 -2.943 -5.412 -8.356 -9.907 9.56 66.15 1.0582 49.74
1.37 7.572 -2.987 -5.339 -8.326 -9.907 9.56 66.15 1.0599 49.74
1.39 7.584 -3.023 -5.342 -8.365 -9.831 9.54 65.91 1.0594 49.73
1.41 7.589 -3.207 -5.178 -8.385 -9.831 9.54 65.91 1.0617 49.72
1.43 7.730 -3.325 -5.091 -8.416 -9.831 9.54 65.91 1.0709 49.72
1.45 7.801 -3.426 -5.015 -8.441 -9.753 9.51 65.67 1.0756 49.71
1.47 7.836 -3.381 -5.108 -8.489 -9.753 9.51 65.67 1.0749 49.70
1.49 7.854 -3.438 -5.110 -8.549 -9.675 9.47 65.42 1.0750 49.70
1.51 7.863 -3.371 -5.161 -8.532 -9.675 9.47 65.42 1.0733 49.69
1.53 7.873 -3.407 -5.147 -8.554 -9.675 9.47 65.42 1.0731 49.69
1.55 7.878 -3.415 -5.169 -8.585 -9.596 9.43 65.16 1.0718 49.68
1.57 7.880 -3.358 -5.178 -8.536 -9.596 9.43 65.16 1.0705 49.67
1.59 7.882 -3.520 -5.022 -8.542 -9.596 9.43 65.16 1.0726 49.67
1.61 7.882 -3.576 -4.928 -8.504 -9.518 9.38 64.91 1.0733 49.66
1.63 7.782 -3.523 -5.019 -8.541 -9.518 9.38 64.91 1.0641 49.65
1.65 7.731 -3.590 -4.953 -8.543 -9.518 9.38 64.91 1.0612 49.64
1.67 7.706 -3.585 -4.944 -8.529 -9.442 9.33 64.66 1.0587 49.63
1.69 7.694 -3.511 -5.053 -8.563 -9.442 9.33 64.66 1.0547 49.62
1.71 7.687 -3.476 -5.026 -8.502 -9.366 9.27 64.40 1.0537 49.62
1.73 7.822 -3.392 -5.101 -8.493 -9.366 9.27 64.40 1.0591 49.61
1.75 7.889 -3.294 -5.183 -8.477 -9.366 9.27 64.40 1.0605 49.60
1.77 7.922 -3.239 -5.198 -8.437 -9.288 9.21 64.13 1.0610 49.59
1.79 7.939 -3.395 -5.014 -8.410 -9.288 9.21 64.13 1.0644 49.59
1.81 7.947 -3.308 -5.024 -8.332 -9.288 9.21 64.13 1.0635 49.58
1.83 8.134 -3.288 -4.960 -8.249 -9.211 9.15 63.86 1.0754 49.57
1.85 8.227 -3.302 -4.896 -8.198 -9.211 9.15 63.86 1.0814 49.57
1.87 8.273 -3.376 -4.852 -8.227 -9.211 9.15 63.86 1.0844 49.56
1.89 8.296 -3.376 -4.795 -8.171 -9.135 9.08 63.59 1.0859 49.55
1.91 8.308 -3.439 -4.687 -8.125 -9.135 9.08 63.59 1.0877 49.55
1.93 8.460 -3.485 -4.605 -8.090 -9.062 9.01 63.33 1.0987 49.54
1.95 8.537 -3.456 -4.626 -8.082 -9.062 9.01 63.33 1.1021 49.53
1.97 8.575 -3.392 -4.694 -8.086 -9.062 9.01 63.33 1.1020 49.52
1.99 8.594 -3.314 -4.769 -8.082 -8.988 8.94 63.06 1.1004 49.52
