ctrl level t_mean t_std lf_mean lf_std viol_mean reached
threshold 0.2 8.393 3.891 0.8842 0.0584 0.025 1.000
threshold 0.5 8.495 4.212 0.8470 0.0833 1.350 1.000
threshold 1.0 8.838 5.139 0.7391 0.1544 12.287 1.000
threshold 1.5 7.156 3.867 0.6331 0.2056 23.725 0.850
schedule 0.2 9.290 2.170 0.9404 0.0399 0.000 1.000
schedule 0.5 9.865 3.389 0.8858 0.0751 1.750 1.000
schedule 1.0 10.330 4.618 0.7850 0.1338 13.988 1.000
schedule 1.5 9.506 4.932 0.7030 0.1655 23.562 0.850
gspid 0.2 10.065 5.256 0.9442 0.0367 0.000 1.000
gspid 0.5 8.781 4.534 0.8938 0.0689 0.150 0.800
gspid 1.0 8.575 4.869 0.8049 0.1219 5.025 0.800
gspid 1.5 7.633 4.226 0.7146 0.1658 9.312 0.750
ppo 0.2 8.190 0.196 0.6127 0.3058 35.925 0.500
ppo 0.5 8.215 0.348 0.5823 0.2962 36.075 0.500
ppo 1.0 8.380 0.581 0.5119 0.2837 37.500 0.500
ppo 1.5 8.510 0.909 0.4493 0.2841 39.925 0.500
sac 0.2 6.075 1.158 0.9035 0.0342 0.512 1.000
sac 0.5 5.945 1.125 0.8499 0.0711 1.800 1.000
sac 1.0 5.778 1.133 0.7470 0.1510 8.363 1.000
sac 1.5 5.633 1.204 0.6698 0.2107 13.125 1.000
hot 0.2 4.643 0.284 0.9348 0.0300 0.000 1.000
hot 0.5 4.587 0.183 0.8981 0.0475 2.850 0.950
hot 1.0 5.540 2.731 0.8451 0.0756 15.225 0.750
hot 1.5 7.815 5.156 0.8088 0.0735 15.375 0.850
