ctrl level t_mean t_std lf_mean lf_std viol_mean reached
threshold 0.5 8.355 3.770 0.8932 0.0539 0.000 1.000
threshold 1.0 8.310 3.741 0.8901 0.0564 0.000 1.000
threshold 2.0 8.243 3.724 0.8788 0.0639 0.000 1.000
schedule 0.5 9.225 2.075 0.9803 0.0037 0.000 1.000
schedule 1.0 9.218 2.088 0.9723 0.0031 0.000 1.000
schedule 2.0 9.238 2.155 0.9542 0.0059 0.000 1.000
gspid 0.5 9.817 4.613 0.9824 0.0022 0.000 1.000
gspid 1.0 9.795 4.611 0.9742 0.0030 0.000 1.000
gspid 2.0 9.775 4.659 0.9519 0.0077 0.000 1.000
ppo 0.5 8.195 0.052 0.6290 0.3070 35.888 0.500
ppo 1.0 8.190 0.094 0.6234 0.3028 35.925 0.500
ppo 2.0 8.175 0.159 0.6089 0.2910 35.938 0.500
sac 0.5 6.073 1.164 0.9173 0.0125 0.000 1.000
sac 1.0 6.005 1.096 0.9094 0.0125 0.062 1.000
sac 2.0 5.815 0.917 0.8909 0.0144 0.212 1.000
hot 0.5 5.428 1.451 0.9486 0.0074 0.000 1.000
hot 1.0 6.847 2.429 0.9447 0.0101 0.000 0.950
hot 2.0 7.965 3.506 0.9429 0.0191 0.000 0.650
