it n time energy barrier aux reached lf_min al_max
0 60 25.5661 0.2966 1.6933 0.2705 0.062 0.582 11.21
1 60 23.6426 0.2899 1.7783 0.2545 0.062 0.560 13.71
2 61 24.0358 0.2780 1.8239 0.2607 0.062 0.551 7.14
3 62 23.1431 0.2620 1.9029 0.2670 0.059 0.567 10.68
4 63 28.3061 0.3111 1.9681 0.2512 0.056 0.516 9.99
5 64 29.1272 0.3257 2.0515 0.2665 0.050 0.511 9.76
6 64 27.1729 0.3532 2.0317 0.2823 0.047 0.532 9.23
7 65 26.4700 0.2947 2.0562 0.2571 0.047 0.640 10.12
8 66 24.9537 0.3043 2.0100 0.2749 0.047 0.568 7.79
9 67 27.6597 0.3368 2.1187 0.2623 0.041 0.569 8.45
10 68 26.1948 0.3483 2.0889 0.2875 0.037 0.572 11.51
11 68 26.9183 0.3258 2.0070 0.2997 0.031 0.471 12.27
12 69 26.9257 0.3435 1.9993 0.3185 0.028 0.624 8.27
13 70 25.9349 0.3601 1.9460 0.3073 0.028 0.509 7.72
14 71 31.7020 0.3940 1.8496 0.3114 0.025 0.431 5.90
15 72 28.4805 0.3922 1.7239 0.2927 0.028 0.708 6.22
16 72 29.1940 0.3669 1.7387 0.3029 0.028 0.630 5.28
17 73 25.2785 0.3720 1.6393 0.3135 0.037 0.673 5.52
18 74 23.6200 0.3631 1.6590 0.2931 0.053 0.617 5.19
19 75 27.9062 0.3682 1.5227 0.3478 0.059 0.672 5.59
20 76 28.0447 0.3892 1.5784 0.3080 0.066 0.640 5.62
