it n time energy barrier aux reached lf_min al_max
0 60 25.5661 0.2966 1.6933 0.2699 0.062 0.582 11.21
1 60 23.6423 0.2900 1.7784 0.2523 0.062 0.560 13.68
2 61 24.0288 0.2782 1.8246 0.2568 0.062 0.549 7.11
3 62 23.1297 0.2621 1.9033 0.2625 0.059 0.566 10.51
4 63 28.2981 0.3113 1.9705 0.2515 0.056 0.513 9.84
5 64 29.1114 0.3260 2.0559 0.2650 0.050 0.508 9.53
6 64 27.1634 0.3532 2.0366 0.2734 0.047 0.529 9.16
7 65 26.4188 0.2952 2.0594 0.2558 0.047 0.638 10.03
8 66 24.8472 0.3047 2.0136 0.2707 0.047 0.557 7.67
9 67 27.5388 0.3375 2.1278 0.2566 0.041 0.563 8.27
10 68 26.0747 0.3485 2.0953 0.2800 0.037 0.569 10.91
11 68 26.7346 0.3268 2.0052 0.2979 0.031 0.460 12.03
12 69 26.7273 0.3439 1.9981 0.3074 0.028 0.625 8.09
13 70 25.6089 0.3591 1.9511 0.3046 0.031 0.504 7.40
14 71 31.3105 0.3954 1.8566 0.3024 0.028 0.428 5.68
15 72 28.1178 0.3926 1.7477 0.2949 0.031 0.702 6.46
16 72 28.5973 0.3689 1.7751 0.3075 0.031 0.631 7.95
17 73 24.9598 0.3714 1.7068 0.3088 0.038 0.625 8.14
18 74 23.2092 0.3674 1.7657 0.2924 0.056 0.612 8.78
19 75 27.0795 0.3707 1.6393 0.3326 0.059 0.670 5.06
20 76 27.7715 0.3945 1.6961 0.3115 0.066 0.636 7.41
