it n time energy barrier aux reached lf_min al_max
0 60 2.9109 0.2965 2.5714 0.2705 0.094 0.552 11.94
1 60 2.9474 0.2890 2.8580 0.2552 0.094 0.528 14.66
2 61 2.9452 0.2749 3.1364 0.2590 0.091 0.529 14.42
3 61 3.0196 0.2571 3.5445 0.2596 0.084 0.546 14.98
4 62 3.0130 0.3464 3.7411 0.2532 0.081 0.561 10.74
5 62 3.0971 0.3063 3.8471 0.2441 0.072 0.567 9.84
6 63 3.1333 0.3363 3.9768 0.2631 0.066 0.506 11.50
7 63 3.1446 0.3264 4.2200 0.2661 0.056 0.498 14.97
8 64 3.1915 0.3132 4.3980 0.2527 0.047 0.568 14.68
9 64 3.2000 0.3445 4.4563 0.2733 0.038 0.520 6.94
10 65 3.2500 0.3792 4.3211 0.2892 0.028 0.677 5.04
11 65 3.2337 0.3125 4.0852 0.2709 0.022 0.662 14.99
12 66 3.2049 0.3258 3.7992 0.2824 0.022 0.472 6.57
13 66 3.2711 0.3036 3.3478 0.2595 0.025 0.695 15.00
14 67 3.3173 0.3746 3.0688 0.2804 0.022 0.670 14.95
15 67 3.2996 0.3596 2.8066 0.2615 0.028 0.679 6.16
16 68 3.3028 0.3403 2.5405 0.2981 0.034 0.643 5.48
17 68 3.3852 0.3416 2.2753 0.2777 0.041 0.654 14.97
18 69 3.4144 0.3185 1.9982 0.2891 0.047 0.660 6.10
19 69 3.4158 0.3548 1.9623 0.3158 0.053 0.643 7.11
20 70 3.4645 0.4049 2.0353 0.3002 0.056 0.661 8.95
21 70 3.4800 0.3540 1.9041 0.2725 0.059 0.725 10.15
22 71 3.4060 0.4285 1.8197 0.3131 0.072 0.729 4.69
23 71 3.4851 0.4413 1.7949 0.3174 0.075 0.740 7.98
24 72 3.5647 0.4114 1.9033 0.3024 0.081 0.670 6.27
25 72 3.5842 0.4159 1.9491 0.2792 0.081 0.738 3.24
26 73 3.5877 0.4521 1.9856 0.2974 0.088 0.617 6.16
27 73 3.6278 0.4245 2.1624 0.3398 0.091 0.454 12.63
28 74 3.6468 0.4555 2.2369 0.3113 0.103 0.730 5.85
29 74 3.5913 0.4265 2.0898 0.2995 0.113 0.646 3.35
