it n time energy barrier aux reached lf_min al_max
0 60 25.5661 0.2966 1.6933 0.2682 0.062 0.582 11.21
1 60 23.6491 0.2892 1.7816 0.2453 0.062 0.559 13.97
2 61 24.0560 0.2765 1.8325 0.2476 0.062 0.548 7.38
3 61 22.8142 0.2553 1.9220 0.2579 0.059 0.571 11.69
4 62 24.0247 0.3408 2.0509 0.2459 0.056 0.583 14.88
5 62 26.0924 0.3017 2.1265 0.2489 0.050 0.581 14.79
6 63 26.2586 0.3306 2.1856 0.2644 0.047 0.532 14.30
7 63 27.3477 0.3176 2.2417 0.2603 0.041 0.511 7.33
8 64 28.5442 0.2998 2.3053 0.2482 0.034 0.569 13.57
9 64 28.7684 0.3293 2.3694 0.2670 0.028 0.529 11.92
10 65 31.4017 0.3593 2.3388 0.2864 0.022 0.670 11.01
11 65 26.7416 0.2947 2.2854 0.2686 0.016 0.654 14.99
12 66 24.6012 0.3013 2.3125 0.2807 0.009 0.448 10.03
13 66 27.2023 0.2789 2.2120 0.2569 0.009 0.667 10.56
14 67 27.7804 0.3431 2.0661 0.2696 0.006 0.651 12.32
15 67 26.6143 0.3248 1.9730 0.2563 0.006 0.645 10.77
16 68 27.5369 0.3042 1.9371 0.2957 0.009 0.589 8.62
17 68 29.3164 0.3022 1.9389 0.2745 0.009 0.596 14.97
18 69 28.4456 0.2743 1.9270 0.2815 0.009 0.599 11.75
19 69 26.3753 0.3067 1.9995 0.3094 0.009 0.585 14.93
20 70 29.2636 0.3610 2.0551 0.2893 0.009 0.594 7.12
21 70 29.2114 0.3060 2.0377 0.2758 0.013 0.644 12.58
22 71 26.2438 0.3709 1.9691 0.3066 0.019 0.679 9.79
23 71 28.9961 0.3884 2.0466 0.3156 0.025 0.622 12.03
24 72 29.7291 0.3534 2.1205 0.2988 0.028 0.547 10.33
25 72 29.9252 0.3476 2.1006 0.2779 0.028 0.654 8.31
26 73 29.8755 0.3772 2.0835 0.2862 0.028 0.696 14.47
27 73 31.6111 0.3560 2.0612 0.3337 0.028 0.602 12.22
28 74 30.2126 0.3821 2.0255 0.3108 0.031 0.657 14.14
29 74 30.2369 0.3613 1.9181 0.2928 0.034 0.648 8.84
30 75 28.0995 0.3835 1.8295 0.3085 0.041 0.763 7.35
31 75 30.3703 0.3611 1.8450 0.2719 0.037 0.561 11.93
32 76 32.4933 0.3877 1.9141 0.3355 0.031 0.627 8.19
33 76 31.3117 0.4020 1.9080 0.3346 0.022 0.433 6.56
34 77 30.4698 0.4216 1.8253 0.3528 0.025 0.595 7.29
35 77 29.9709 0.3564 1.9881 0.3430 0.028 0.548 6.55
36 78 30.7899 0.4050 2.1485 0.3283 0.031 0.565 9.76
37 78 31.4307 0.4045 2.2557 0.3181 0.034 0.544 14.80
38 79 32.3230 0.4573 2.2274 0.3495 0.034 0.625 12.47
39 79 32.5191 0.3998 2.2277 0.3146 0.041 0.634 9.10
40 80 33.5291 0.4594 2.4041 0.3352 0.034 0.395 7.68
41 80 37.0267 0.4631 2.3731 0.3359 0.034 0.488 7.72
42 81 35.0737 0.4022 2.3925 0.3343 0.034 0.501 6.97
43 81 30.4905 0.4238 2.3608 0.3381 0.044 0.585 10.08
44 82 31.0297 0.4117 2.4739 0.3330 0.047 0.607 7.70
45 82 34.1800 0.4398 2.4038 0.3667 0.044 0.444 4.18
46 83 32.6426 0.4541 2.4125 0.3425 0.041 0.551 7.45
47 83 32.3229 0.4275 2.2858 0.3297 0.047 0.403 6.87
48 84 31.2697 0.4364 2.4056 0.3632 0.050 0.493 8.22
49 84 30.5401 0.4412 2.5037 0.3405 0.047 0.520 6.53
50 85 33.8198 0.4553 2.4439 0.3377 0.050 0.609 11.20
51 85 35.4768 0.4390 2.7091 0.3891 0.050 0.464 6.99
52 86 34.6846 0.4336 2.6657 0.3334 0.056 0.527 4.96
53 86 34.5904 0.4889 2.7281 0.3297 0.050 0.544 5.70
54 87 35.0785 0.4184 2.5916 0.3530 0.041 0.742 6.59
55 87 33.6301 0.4823 2.5351 0.3688 0.047 0.696 5.88
56 88 35.9690 0.4963 2.3802 0.3843 0.041 0.567 5.88
57 88 29.2674 0.4553 2.3307 0.3659 0.047 0.728 10.12
58 89 34.0747 0.4853 2.2979 0.3783 0.050 0.655 9.51
59 89 30.5540 0.4275 2.1599 0.4231 0.062 0.713 6.38
60 90 33.7252 0.4029 2.1734 0.3520 0.069 0.606 7.95
61 90 31.4004 0.4753 2.0157 0.3890 0.075 0.569 6.60
62 91 33.8212 0.4908 1.9652 0.3782 0.072 0.675 7.68
63 91 33.9102 0.4863 2.0231 0.3673 0.072 0.522 6.22
64 92 32.9036 0.4539 2.2705 0.3844 0.078 0.442 5.14
65 92 30.9031 0.4733 2.3199 0.3825 0.084 0.600 11.79
66 93 31.8744 0.4877 2.3936 0.3816 0.091 0.471 6.96
67 93 35.3768 0.4502 2.4320 0.3766 0.078 0.708 7.30
68 94 34.6169 0.5012 2.4596 0.3825 0.075 0.600 8.69
69 94 32.0112 0.4849 2.6194 0.3939 0.059 0.565 9.88
70 95 31.4636 0.4534 2.5826 0.4120 0.062 0.605 6.62
