it n time energy barrier aux reached lf_min al_max
0 60 2.9109 0.2965 2.5714 0.2682 0.094 0.552 11.94
1 60 2.9474 0.2888 2.8593 0.2453 0.094 0.528 14.73
2 61 2.9450 0.2744 3.1444 0.2476 0.091 0.530 14.90
3 61 3.0196 0.2562 3.5636 0.2579 0.084 0.546 14.98
4 62 3.0128 0.3449 3.7690 0.2459 0.081 0.562 11.20
5 62 3.0971 0.3040 3.9038 0.2489 0.072 0.568 11.83
6 63 3.1333 0.3332 4.0772 0.2644 0.066 0.507 13.22
7 63 3.1448 0.3224 4.3381 0.2603 0.056 0.494 14.99
8 64 3.1938 0.3074 4.5886 0.2482 0.047 0.565 14.05
9 64 3.2000 0.3378 4.6844 0.2670 0.038 0.510 9.97
10 65 3.2500 0.3716 4.5709 0.2864 0.028 0.667 9.84
11 65 3.2370 0.3033 4.3749 0.2686 0.019 0.651 14.99
12 66 3.2089 0.3146 4.1130 0.2807 0.019 0.450 9.31
13 66 3.2739 0.2909 3.7757 0.2569 0.022 0.673 14.58
14 67 3.3325 0.3619 3.5808 0.2696 0.016 0.647 14.99
15 67 3.3256 0.3442 3.3500 0.2563 0.019 0.650 9.49
16 68 3.3035 0.3241 3.1043 0.2957 0.022 0.610 9.48
17 68 3.3888 0.3232 2.9818 0.2745 0.025 0.618 14.99
18 69 3.4266 0.2984 2.7336 0.2815 0.028 0.617 14.05
19 69 3.4338 0.3337 2.7892 0.3094 0.031 0.597 8.12
20 70 3.4769 0.3902 2.9207 0.2893 0.031 0.607 14.97
21 70 3.4860 0.3351 2.8683 0.2758 0.034 0.680 14.99
22 71 3.4165 0.4098 2.9111 0.3066 0.037 0.690 6.62
23 71 3.4839 0.4299 2.8766 0.3156 0.041 0.658 9.24
24 72 3.5470 0.3937 3.1310 0.2988 0.044 0.588 14.94
25 72 3.5855 0.3919 3.1680 0.2779 0.044 0.677 5.15
26 73 3.5686 0.4300 3.2261 0.2862 0.047 0.703 7.29
27 73 3.6151 0.4044 3.2129 0.3337 0.047 0.627 13.46
28 74 3.6663 0.4379 3.1241 0.3108 0.050 0.702 8.24
29 74 3.6465 0.4145 2.9274 0.2928 0.053 0.665 4.99
30 75 3.5761 0.4445 2.7603 0.3085 0.069 0.762 3.14
31 75 3.6675 0.4151 2.8327 0.2719 0.072 0.575 6.23
32 76 3.7909 0.4496 2.8178 0.3355 0.066 0.641 5.48
33 76 3.7545 0.4643 2.8871 0.3346 0.062 0.478 4.95
34 77 3.8121 0.4921 2.5159 0.3528 0.066 0.642 4.86
35 77 3.8127 0.4071 2.6943 0.3430 0.069 0.585 6.02
36 78 3.8496 0.4684 2.8694 0.3283 0.069 0.607 5.83
37 78 3.8474 0.4597 2.9166 0.3181 0.078 0.546 14.76
38 79 3.8667 0.5300 3.0332 0.3495 0.084 0.754 15.00
39 79 3.8754 0.4663 3.1070 0.3146 0.091 0.657 6.06
40 80 3.9918 0.5396 3.4001 0.3352 0.078 0.444 4.52
41 80 3.9997 0.5403 3.2986 0.3359 0.072 0.580 5.77
42 81 4.0123 0.4588 3.4369 0.3343 0.075 0.530 4.95
43 81 3.9583 0.4985 3.3003 0.3381 0.078 0.624 7.03
44 82 3.9675 0.4780 3.5313 0.3330 0.088 0.639 5.33
