t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 15.000 -0.000 -5.058 -5.059 13.46 10.00 -5.157 12.78 10.00 0.999 0.000
0.15 14.997 -0.004 -5.073 -5.077 13.13 10.01 -5.157 11.28 10.02 0.999 -0.001
0.25 14.989 -0.010 -5.082 -5.091 12.59 10.02 -5.156 9.78 10.05 0.998 -0.001
0.35 14.974 -0.018 -5.085 -5.103 11.87 10.06 -5.153 8.28 10.11 0.997 -0.001
0.45 14.950 -0.029 -5.082 -5.111 11.02 10.11 -5.147 6.78 10.19 0.996 -0.002
0.55 14.915 -0.045 -5.071 -5.116 10.04 10.19 -5.137 5.28 10.31 0.995 -0.003
0.65 14.869 -0.067 -5.052 -5.118 8.97 10.31 -5.123 3.78 10.48 0.993 -0.004
0.75 14.810 -0.094 -5.022 -5.117 7.82 10.48 -5.105 2.28 10.71 0.992 -0.005
0.85 14.739 -0.129 -4.982 -5.112 6.61 10.71 -5.084 0.78 11.02 0.990 -0.006
0.95 14.655 -0.172 -4.932 -5.103 5.42 11.01 -5.059 0.00 11.41 0.988 -0.007
1.05 14.561 -0.221 -4.870 -5.091 4.44 11.39 -5.030 0.00 11.91 0.986 -0.009
1.15 14.458 -0.276 -4.800 -5.076 3.63 11.87 -5.000 0.00 12.51 0.985 -0.010
1.25 14.350 -0.335 -4.723 -5.058 2.97 12.46 -4.968 0.00 13.22 0.985 -0.010
1.35 14.238 -0.394 -4.643 -5.037 2.43 13.13 -4.935 0.00 14.02 0.985 -0.010
1.45 14.123 -0.451 -4.563 -5.014 1.99 13.90 -4.899 0.00 14.90 0.986 -0.010
1.55 14.008 -0.502 -4.485 -4.987 1.63 14.75 -4.860 0.00 15.83 0.988 -0.009
1.65 13.892 -0.547 -4.412 -4.959 1.34 15.65 -4.818 0.00 16.81 0.990 -0.008
1.75 13.776 -0.582 -4.344 -4.927 1.09 16.60 -4.771 0.00 17.81 0.992 -0.006
1.85 13.661 -0.608 -4.283 -4.891 0.90 17.57 -4.720 0.00 18.81 0.995 -0.005
1.95 13.547 -0.625 -4.228 -4.853 0.73 18.56 -4.665 0.00 19.80 0.997 -0.003
2.05 13.434 -0.632 -4.179 -4.811 0.60 19.54 -4.606 0.00 20.77 0.999 -0.001
2.15 13.323 -0.630 -4.135 -4.765 0.49 20.50 -4.543 0.00 21.71 1.001 0.000
2.25 13.213 -0.621 -4.094 -4.716 0.40 21.44 -4.477 0.00 22.62 1.003 0.001
2.35 13.105 -0.606 -4.057 -4.663 0.33 22.35 -4.409 0.00 23.49 1.004 0.003
2.45 12.998 -0.585 -4.022 -4.607 0.27 23.22 -4.338 0.00 24.32 1.005 0.003
2.55 12.894 -0.561 -3.988 -4.549 0.22 24.06 -4.266 0.00 25.11 1.006 0.004
2.65 12.790 -0.534 -3.954 -4.487 0.18 24.87 -4.194 0.00 25.87 1.006 0.005
2.75 12.689 -0.504 -3.920 -4.424 0.15 25.64 -4.121 0.00 26.60 1.007 0.005
2.85 12.589 -0.475 -3.885 -4.359 0.12 26.37 -4.048 0.00 27.29 1.007 0.005
2.95 12.490 -0.444 -3.849 -4.293 0.10 27.08 -3.976 0.00 27.96 1.007 0.005
3.05 12.393 -0.415 -3.811 -4.226 0.08 27.76 -3.905 0.00 28.61 1.006 0.005
3.15 12.297 -0.385 -3.772 -4.158 0.07 28.41 -3.835 0.00 29.23 1.006 0.005
3.25 12.203 -0.358 -3.732 -4.090 0.05 29.04 -3.767 0.00 29.84 1.006 0.005
