t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 13.416 -2.234 -2.522 -4.756 14.63 1.13 -5.152 13.95 4.00 0.830 -0.150
0.15 13.484 -2.768 -2.115 -4.884 14.30 5.33 -5.541 12.45 11.16 0.912 -0.094
0.25 13.551 -2.969 -2.066 -5.035 13.76 10.26 -5.761 10.95 16.47 0.987 -0.035
0.35 13.613 -2.903 -2.274 -5.177 13.04 14.67 -5.827 9.45 19.96 1.041 0.012
0.45 13.665 -2.660 -2.629 -5.289 12.19 18.05 -5.777 7.95 21.98 1.073 0.043
0.55 13.705 -2.323 -3.037 -5.361 11.21 20.36 -5.654 6.45 22.96 1.088 0.059
0.65 13.731 -1.957 -3.435 -5.392 10.14 21.76 -5.494 4.95 23.28 1.090 0.064
0.75 13.740 -1.601 -3.786 -5.387 8.99 22.49 -5.321 3.45 23.24 1.083 0.062
0.85 13.733 -1.280 -4.071 -5.351 7.78 22.78 -5.152 1.95 23.03 1.073 0.056
0.95 13.708 -1.006 -4.287 -5.293 6.52 22.80 -4.993 0.45 22.78 1.061 0.048
1.05 13.666 -0.780 -4.438 -5.219 5.34 22.72 -4.849 0.00 22.58 1.049 0.039
1.15 13.609 -0.602 -4.532 -5.134 4.37 22.61 -4.719 0.00 22.48 1.038 0.031
1.25 13.540 -0.466 -4.576 -5.043 3.58 22.54 -4.605 0.00 22.49 1.028 0.024
1.35 13.462 -0.367 -4.583 -4.949 2.93 22.56 -4.505 0.00 22.61 1.020 0.017
1.45 13.378 -0.296 -4.560 -4.856 2.40 22.68 -4.416 0.00 22.85 1.014 0.012
1.55 13.288 -0.248 -4.518 -4.765 1.96 22.89 -4.336 0.00 23.19 1.009 0.008
1.65 13.194 -0.216 -4.461 -4.678 1.61 23.19 -4.264 0.00 23.61 1.006 0.005
1.75 13.098 -0.197 -4.396 -4.593 1.32 23.58 -4.197 0.00 24.09 1.003 0.003
1.85 13.000 -0.186 -4.327 -4.513 1.08 24.04 -4.134 0.00 24.63 1.002 0.002
1.95 12.900 -0.180 -4.256 -4.436 0.88 24.55 -4.073 0.00 25.21 1.001 0.001
