t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 5.486 4.862 -1.230 3.632 28.44 72.22 2.250 29.12 69.35 1.063 0.141
0.15 5.752 5.246 -1.820 3.426 28.73 67.74 2.560 30.26 61.35 1.012 0.071
0.25 6.019 5.055 -1.775 3.280 29.01 61.55 2.613 30.26 53.35 0.949 -0.031
0.35 6.287 4.362 -1.242 3.120 29.23 56.41 2.288 30.26 50.87 0.907 -0.124
0.45 6.560 3.537 -0.645 2.892 29.42 54.61 1.728 30.26 53.32 0.910 -0.147
0.55 6.837 2.899 -0.292 2.606 29.57 54.90 1.192 30.26 55.57 0.939 -0.112
0.65 7.119 2.513 -0.222 2.291 29.70 55.24 0.779 30.26 55.45 0.964 -0.066
0.75 7.404 2.286 -0.312 1.974 29.80 54.62 0.471 30.26 53.51 0.976 -0.038
0.85 7.690 2.107 -0.441 1.665 29.88 53.14 0.211 30.26 51.06 0.976 -0.030
0.95 7.978 1.921 -0.554 1.367 29.95 51.31 -0.043 30.26 48.97 0.973 -0.032
1.05 8.267 1.726 -0.651 1.075 30.00 49.55 -0.305 30.26 47.38 0.972 -0.034
1.15 8.557 1.542 -0.753 0.789 30.05 48.00 -0.566 30.26 46.10 0.974 -0.032
1.25 8.846 1.385 -0.877 0.508 30.09 46.59 -0.818 30.26 44.85 0.978 -0.027
1.35 9.135 1.260 -1.025 0.235 30.12 45.23 -1.055 30.26 43.50 0.982 -0.022
1.45 9.424 1.163 -1.192 -0.029 30.14 43.82 -1.275 30.26 42.02 0.986 -0.017
1.55 9.710 1.087 -1.371 -0.284 30.16 42.34 -1.483 30.26 40.44 0.989 -0.013
1.65 9.995 1.026 -1.554 -0.529 30.18 40.79 -1.680 30.26 38.82 0.990 -0.010
1.75 10.278 0.974 -1.738 -0.764 30.19 39.20 -1.871 30.24 37.19 0.992 -0.009
1.85 10.557 0.930 -1.920 -0.990 30.11 37.60 -2.056 29.55 35.56 0.993 -0.007
1.95 10.832 0.892 -2.100 -1.208 29.91 35.98 -2.235 28.88 33.95 0.993 -0.006
2.05 11.100 0.858 -2.277 -1.418 29.64 34.38 -2.408 28.24 32.34 0.994 -0.006
2.15 11.361 0.828 -2.449 -1.621 29.30 32.78 -2.576 27.63 30.77 0.994 -0.005
2.25 11.614 0.799 -2.615 -1.817 28.92 31.20 -2.738 27.04 29.22 0.994 -0.005
2.35 11.858 0.771 -2.776 -2.005 28.50 29.65 -2.895 26.49 27.70 0.994 -0.005
2.45 12.093 0.742 -2.930 -2.187 28.06 28.14 -3.046 25.96 26.23 0.994 -0.005
2.55 12.319 0.713 -3.077 -2.363 27.61 26.66 -3.192 25.46 24.80 0.994 -0.005
2.65 12.535 0.683 -3.216 -2.533 27.16 25.22 -3.334 24.99 23.43 0.993 -0.005
2.75 12.742 0.651 -3.349 -2.697 26.70 23.84 -3.471 24.54 22.10 0.993 -0.005
2.85 12.940 0.618 -3.474 -2.856 26.25 22.50 -3.603 24.12 20.82 0.992 -0.006
2.95 13.129 0.583 -3.592 -3.009 25.80 21.20 -3.731 23.57 19.59 0.992 -0.006
3.05 13.308 0.547 -3.704 -3.157 25.29 19.96 -3.854 22.86 18.41 0.991 -0.006
3.15 13.478 0.509 -3.808 -3.300 24.76 18.78 -3.973 22.20 17.29 0.991 -0.006
3.25 13.638 0.469 -3.906 -3.437 24.21 17.64 -4.087 21.58 16.22 0.990 -0.007
3.35 13.788 0.427 -3.997 -3.570 23.65 16.56 -4.196 21.01 15.20 0.990 -0.007
3.45 13.928 0.382 -4.080 -3.698 23.10 15.53 -4.301 20.48 14.25 0.989 -0.008
3.55 14.059 0.336 -4.157 -3.821 22.56 14.56 -4.401 19.99 13.35 0.988 -0.008
3.65 14.181 0.287 -4.227 -3.940 22.03 13.65 -4.497 19.54 12.51 0.988 -0.008
3.75 14.294 0.237 -4.290 -4.054 21.52 12.79 -4.589 19.13 11.74 0.987 -0.009
3.85 14.399 0.185 -4.348 -4.163 21.03 12.00 -4.677 18.74 11.02 0.987 -0.009
3.95 14.496 0.132 -4.400 -4.268 20.57 11.27 -4.761 18.39 10.35 0.986 -0.009
4.05 14.587 0.079 -4.448 -4.368 20.13 10.59 -4.842 18.07 9.75 0.986 -0.009
4.15 14.670 0.026 -4.491 -4.465 19.72 9.96 -4.918 17.78 9.19 0.986 -0.009
4.25 14.747 -0.027 -4.530 -4.557 19.33 9.39 -4.990 17.51 8.69 0.986 -0.009
4.35 14.818 -0.078 -4.567 -4.645 18.96 8.87 -5.059 17.26 8.23 0.987 -0.009
4.45 14.884 -0.129 -4.600 -4.729 18.62 8.40 -5.124 17.03 7.82 0.987 -0.009
4.55 14.945 -0.178 -4.631 -4.809 18.30 7.97 -5.185 16.82 7.45 0.987 -0.008
4.65 15.001 -0.224 -4.661 -4.885 18.01 7.59 -5.242 16.62 7.12 0.988 -0.008
4.75 15.053 -0.269 -4.687 -4.956 17.73 7.25 -5.280 16.44 6.82 0.989 -0.008
4.85 15.101 -0.310 -4.707 -5.018 17.47 6.94 -5.302 16.27 6.57 0.990 -0.007
4.95 15.146 -0.347 -4.724 -5.072 17.23 6.67 -5.321 16.11 6.33 0.991 -0.006
5.05 15.186 -0.380 -4.740 -5.119 17.01 6.42 -5.339 15.95 6.12 0.992 -0.006
5.15 15.224 -0.408 -4.753 -5.161 16.80 6.20 -5.354 15.81 5.93 0.993 -0.005
5.25 15.258 -0.432 -4.766 -5.198 16.60 6.00 -5.367 15.67 5.75 0.994 -0.004
5.35 15.290 -0.452 -4.778 -5.230 16.41 5.81 -5.378 15.53 5.58 0.995 -0.004
5.45 15.318 -0.469 -4.789 -5.258 16.23 5.64 -5.387 15.41 5.42 0.996 -0.003
5.55 15.345 -0.483 -4.800 -5.283 16.07 5.48 -5.395 15.29 5.28 0.997 -0.002
5.65 15.368 -0.495 -4.809 -5.304 15.91 5.33 -5.401 15.17 5.15 0.997 -0.002
5.75 15.389 -0.504 -4.818 -5.322 15.76 5.19 -5.407 15.06 5.03 0.998 -0.002
5.85 15.408 -0.512 -4.826 -5.338 15.62 5.07 -5.411 14.96 4.92 0.998 -0.001
5.95 15.425 -0.519 -4.833 -5.352 15.49 4.96 -5.414 14.86 4.83 0.998 -0.001
6.05 15.440 -0.524 -4.840 -5.364 15.36 4.86 -5.417 14.77 4.74 0.999 -0.001
6.15 15.453 -0.528 -4.846 -5.374 15.24 4.78 -5.420 14.68 4.67 0.999 -0.001
6.25 15.464 -0.531 -4.851 -5.382 15.13 4.71 -5.421 14.59 4.62 0.999 -0.001
6.35 15.474 -0.533 -4.856 -5.390 15.02 4.64 -5.423 14.51 4.57 0.999 -0.000
6.45 15.482 -0.535 -4.861 -5.396 14.92 4.59 -5.424 14.44 4.54 1.000 -0.000
6.55 15.489 -0.536 -4.865 -5.401 14.82 4.56 -5.424 14.37 4.51 1.000 -0.000
6.65 15.494 -0.536 -4.869 -5.405 14.73 4.53 -5.424 14.30 4.50 1.000 -0.000
6.75 15.498 -0.535 -4.873 -5.409 14.64 4.52 -5.424 14.23 4.50 1.000 0.000
6.85 15.501 -0.534 -4.877 -5.411 14.56 4.51 -5.424 14.17 4.51 1.000 0.000
6.95 15.503 -0.532 -4.881 -5.414 14.48 4.52 -5.423 14.11 4.53 1.001 0.000
7.05 15.504 -0.530 -4.885 -5.415 14.41 4.53 -5.422 14.06 4.55 1.001 0.000
7.15 15.504 -0.527 -4.889 -5.416 14.34 4.56 -5.421 14.01 4.59 1.001 0.000
7.25 15.504 -0.524 -4.893 -5.417 14.27 4.59 -5.419 13.96 4.63 1.001 0.001
7.35 15.502 -0.520 -4.897 -5.417 14.21 4.63 -5.418 13.91 4.68 1.001 0.001
7.45 15.500 -0.516 -4.901 -5.417 14.15 4.68 -5.416 13.87 4.74 1.001 0.001
7.55 15.497 -0.511 -4.905 -5.416 14.09 4.73 -5.413 13.83 4.80 1.001 0.001
7.65 15.493 -0.506 -4.910 -5.416 14.04 4.79 -5.411 13.79 4.87 1.002 0.001
7.75 15.489 -0.500 -4.914 -5.414 13.99 4.86 -5.408 13.75 4.95 1.002 0.001
7.85 15.485 -0.494 -4.919 -5.413 13.94 4.93 -5.405 13.71 5.03 1.002 0.001
7.95 15.480 -0.487 -4.924 -5.411 13.89 5.01 -5.402 13.68 5.11 1.002 0.001
8.05 15.474 -0.480 -4.929 -5.409 13.85 5.09 -5.398 13.65 5.20 1.002 0.001
8.15 15.469 -0.473 -4.934 -5.406 13.81 5.18 -5.395 13.62 5.29 1.002 0.001
8.25 15.462 -0.465 -4.939 -5.404 13.77 5.27 -5.391 13.59 5.38 1.002 0.001
8.35 15.456 -0.457 -4.944 -5.401 13.74 5.36 -5.387 13.57 5.48 1.002 0.001
8.45 15.449 -0.448 -4.949 -5.398 13.70 5.45 -5.383 13.54 5.57 1.002 0.001
8.55 15.442 -0.440 -4.955 -5.395 13.67 5.55 -5.379 13.52 5.67 1.002 0.001
8.65 15.435 -0.431 -4.960 -5.391 13.64 5.65 -5.374 13.50 5.77 1.002 0.002
8.75 15.428 -0.422 -4.966 -5.387 13.61 5.75 -5.370 13.48 5.87 1.002 0.002
8.85 15.420 -0.412 -4.971 -5.384 13.58 5.85 -5.365 13.46 5.98 1.003 0.002
8.95 15.412 -0.403 -4.977 -5.380 13.56 5.95 -5.361 13.44 6.08 1.003 0.002
9.05 15.405 -0.394 -4.982 -5.375 13.54 6.05 -5.356 13.43 6.18 1.003 0.002
9.15 15.397 -0.384 -4.987 -5.371 13.51 6.15 -5.351 13.41 6.28 1.003 0.002
9.25 15.389 -0.374 -4.993 -5.367 13.49 6.26 -5.346 13.40 6.39 1.003 0.002
9.35 15.381 -0.364 -4.998 -5.362 13.47 6.36 -5.341 13.38 6.49 1.003 0.002
9.45 15.372 -0.355 -5.003 -5.358 13.46 6.46 -5.336 13.37 6.59 1.003 0.002
9.55 15.364 -0.345 -5.008 -5.353 13.44 6.56 -5.332 13.36 6.69 1.003 0.002
9.65 15.356 -0.335 -5.014 -5.349 13.42 6.67 -5.327 13.35 6.79 1.003 0.002
9.75 15.348 -0.325 -5.019 -5.344 13.41 6.77 -5.322 13.34 6.89 1.003 0.002
9.85 15.340 -0.316 -5.024 -5.339 13.40 6.87 -5.317 13.33 6.99 1.003 0.002
9.95 15.331 -0.306 -5.028 -5.335 13.38 6.96 -5.312 13.33 7.09 1.003 0.002
10.05 15.323 -0.297 -5.033 -5.330 13.37 7.06 -5.307 13.32 7.19 1.003 0.002
10.15 15.315 -0.287 -5.038 -5.325 13.36 7.16 -5.303 13.31 7.28 1.003 0.002
10.25 15.307 -0.278 -5.042 -5.320 13.35 7.25 -5.298 13.31 7.37 1.002 0.002
10.35 15.299 -0.269 -5.047 -5.316 13.34 7.35 -5.293 13.30 7.47 1.002 0.002
10.45 15.291 -0.260 -5.051 -5.311 13.34 7.44 -5.289 13.30 7.56 1.002 0.002
10.55 15.284 -0.251 -5.056 -5.306 13.33 7.53 -5.284 13.30 7.65 1.002 0.002
10.65 15.276 -0.242 -5.060 -5.302 13.32 7.62 -5.280 13.29 7.73 1.002 0.002
10.75 15.268 -0.233 -5.064 -5.297 13.32 7.71 -5.275 13.29 7.82 1.002 0.001
10.85 15.261 -0.225 -5.068 -5.293 13.31 7.80 -5.271 13.29 7.90 1.002 0.001
