t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 15.000 0.005 -4.975 -4.970 13.47 10.05 -4.226 12.88 10.18 1.005 0.000
0.15 14.995 0.060 -4.670 -4.610 13.19 10.25 -2.598 11.59 10.53 1.025 0.009
0.25 14.982 0.208 -4.232 -4.025 12.72 10.53 -1.002 10.29 10.91 1.053 0.025
0.35 14.955 0.468 -3.730 -3.262 12.10 10.88 0.548 9.00 11.34 1.085 0.045
0.45 14.912 0.846 -3.211 -2.364 11.36 11.30 2.039 7.71 11.85 1.115 0.066
0.55 14.848 1.336 -2.706 -1.370 10.52 11.79 3.451 6.43 12.44 1.143 0.085
0.65 14.762 1.924 -2.238 -0.314 9.60 12.38 4.763 5.16 13.15 1.166 0.103
0.75 14.652 2.595 -1.823 0.772 8.62 13.07 5.948 3.91 13.97 1.184 0.117
0.85 14.517 3.327 -1.473 1.854 7.60 13.87 6.977 2.70 14.91 1.195 0.128
0.95 14.357 4.099 -1.197 2.902 6.55 14.78 7.827 1.53 15.96 1.201 0.135
1.05 14.174 4.888 -0.999 3.888 5.48 15.79 8.488 0.41 17.09 1.199 0.138
1.15 13.968 5.669 -0.879 4.790 4.49 16.87 8.969 0.00 18.27 1.192 0.136
1.25 13.742 6.422 -0.827 5.595 3.68 18.02 9.300 0.00 19.48 1.180 0.131
1.35 13.500 7.127 -0.830 6.297 3.01 19.19 9.513 0.00 20.69 1.163 0.123
1.45 13.246 7.770 -0.871 6.899 2.46 20.38 9.642 0.00 21.89 1.144 0.112
1.55 12.983 8.341 -0.935 7.406 2.02 21.57 9.711 0.00 23.06 1.124 0.099
1.65 12.713 8.832 -1.004 7.828 1.65 22.74 9.738 0.00 24.22 1.103 0.086
1.75 12.438 9.240 -1.066 8.174 1.35 23.91 9.738 0.00 25.37 1.082 0.071
1.85 12.161 9.566 -1.111 8.455 1.11 25.06 9.717 0.00 26.52 1.062 0.057
1.95 11.883 9.810 -1.131 8.679 0.91 26.21 9.681 0.00 27.67 1.044 0.042
2.05 11.606 9.978 -1.124 8.854 0.74 27.37 9.631 0.00 28.83 1.027 0.029
2.15 11.331 10.072 -1.086 8.986 0.61 28.54 9.569 0.00 30.02 1.012 0.016
2.25 11.058 10.100 -1.019 9.082 0.50 29.73 9.494 0.00 31.24 0.999 0.005
2.35 10.789 10.068 -0.924 9.144 0.41 30.94 9.405 0.00 32.49 0.988 -0.006
2.45 10.524 9.983 -0.806 9.177 0.33 32.19 9.302 0.00 33.79 0.979 -0.015
2.55 10.265 9.851 -0.668 9.184 0.27 33.48 9.183 0.00 35.12 0.971 -0.023
2.65 10.011 9.680 -0.515 9.165 0.22 34.81 9.048 0.00 36.50 0.966 -0.030
2.75 9.762 9.477 -0.353 9.123 0.18 36.18 8.896 0.00 37.92 0.961 -0.036
2.85 9.520 9.247 -0.188 9.059 0.15 37.59 8.726 0.00 39.38 0.959 -0.040
2.95 9.283 8.998 -0.026 8.972 0.12 39.04 8.536 0.00 40.88 0.957 -0.044
3.05 9.053 8.736 0.128 8.865 0.10 40.52 8.327 0.00 42.41 0.956 -0.046
3.15 8.830 8.467 0.268 8.736 0.08 42.04 8.097 0.00 43.96 0.957 -0.047
3.25 8.612 8.197 0.388 8.585 0.07 43.58 7.847 0.00 45.54 0.958 -0.047
3.35 8.402 7.931 0.483 8.414 0.06 45.15 7.576 0.00 47.13 0.960 -0.047
3.45 8.198 7.674 0.549 8.223 0.05 46.73 7.286 0.00 48.73 0.963 -0.045
3.55 8.000 7.430 0.581 8.010 0.04 48.32 6.977 0.00 50.33 0.966 -0.043
3.65 7.809 7.203 0.575 7.778 0.03 49.91 6.649 0.00 51.92 0.969 -0.040
3.75 7.624 6.998 0.528 7.526 0.02 51.49 6.304 0.00 53.48 0.973 -0.036
3.85 7.446 6.817 0.437 7.254 0.02 53.05 5.941 0.00 55.02 0.977 -0.032
3.95 7.275 6.662 0.302 6.964 0.02 54.59 5.562 0.00 56.52 0.981 -0.027
4.05 7.111 6.537 0.119 6.655 0.01 56.09 5.167 0.00 57.97 0.986 -0.022
4.15 6.953 6.440 -0.111 6.329 0.01 57.55 4.756 0.00 59.37 0.990 -0.017
4.25 6.803 6.374 -0.389 5.985 0.01 58.95 4.331 0.00 60.71 0.994 -0.012
4.35 6.659 6.337 -0.712 5.625 0.01 60.29 3.893 0.00 61.97 0.997 -0.007
4.45 6.523 6.328 -1.079 5.249 0.01 61.56 3.440 0.00 63.15 1.000 -0.002
4.55 6.395 6.345 -1.488 4.857 0.01 62.75 2.976 0.00 64.23 1.003 0.003
4.65 6.274 6.383 -1.933 4.450 0.00 63.86 2.500 0.00 65.23 1.005 0.007
4.75 6.161 6.440 -2.410 4.030 0.00 64.87 2.015 0.00 66.12 1.007 0.010
4.85 6.056 6.509 -2.913 3.596 0.00 65.78 1.520 0.00 66.90 1.008 0.012
4.95 5.960 6.585 -3.434 3.151 0.00 66.59 1.018 0.01 67.58 1.008 0.013
5.05 5.871 6.660 -3.966 2.694 0.01 67.30 0.511 0.07 68.16 1.008 0.013
5.15 5.792 6.729 -4.501 2.228 0.03 67.90 0.002 0.15 68.63 1.006 0.012
5.25 5.721 6.783 -5.029 1.754 0.07 68.40 -0.506 0.28 69.01 1.005 0.009
5.35 5.660 6.817 -5.542 1.275 0.13 68.81 -1.009 0.43 69.30 1.002 0.006
5.45 5.608 6.825 -6.032 0.793 0.21 69.13 -1.503 0.61 69.51 0.999 0.001
5.55 5.565 6.801 -6.491 0.310 0.31 69.37 -1.980 0.80 69.65 0.996 -0.004
5.65 5.532 6.744 -6.912 -0.168 0.43 69.55 -2.434 1.01 69.74 0.993 -0.010
5.75 5.508 6.651 -7.289 -0.637 0.56 69.66 -2.856 1.22 69.79 0.989 -0.016
5.85 5.494 6.524 -7.616 -1.093 0.71 69.73 -3.236 1.41 69.81 0.986 -0.022
5.95 5.489 6.363 -7.891 -1.528 0.86 69.76 -3.568 1.58 69.80 0.983 -0.028
6.05 5.493 6.174 -8.111 -1.936 1.01 69.77 -3.844 1.72 69.77 0.980 -0.033
6.15 5.505 5.961 -8.274 -2.313 1.15 69.75 -4.065 1.83 69.71 0.978 -0.037
6.25 5.525 5.730 -8.384 -2.654 1.28 69.70 -4.231 1.89 69.64 0.976 -0.040
6.35 5.551 5.485 -8.441 -2.957 1.40 69.63 -4.349 1.91 69.54 0.975 -0.043
6.45 5.583 5.231 -8.451 -3.220 1.49 69.54 -4.425 1.91 69.42 0.974 -0.044
6.55 5.619 4.973 -8.418 -3.444 1.56 69.43 -4.465 1.87 69.27 0.974 -0.045
