t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 6.001 0.002 -0.150 -0.148 2.79 63.96 -1.557 3.44 64.39 1.001 0.000
0.15 6.010 0.020 -0.848 -0.828 3.11 64.60 -4.620 4.86 65.51 1.003 0.003
0.25 6.039 0.047 -1.964 -1.917 3.62 65.33 -7.509 6.26 66.21 1.002 0.005
0.35 6.093 0.045 -3.330 -3.285 4.29 65.84 -10.034 7.63 66.41 0.997 0.000
0.45 6.179 -0.026 -4.772 -4.798 5.08 66.10 -12.092 8.93 66.36 0.987 -0.012
0.55 6.297 -0.191 -6.158 -6.349 5.94 66.19 -13.718 10.13 66.27 0.976 -0.029
0.65 6.449 -0.452 -7.407 -7.859 6.85 66.21 -14.948 11.19 66.23 0.965 -0.045
0.75 6.634 -0.791 -8.474 -9.265 7.76 66.21 -15.792 12.05 66.19 0.956 -0.059
0.85 6.848 -1.186 -9.335 -10.521 8.63 66.16 -16.296 12.68 66.08 0.949 -0.069
0.95 7.088 -1.614 -9.991 -11.605 9.42 66.05 -16.547 13.08 65.88 0.945 -0.075
1.05 7.351 -2.051 -10.463 -12.514 10.12 65.85 -16.635 13.33 65.57 0.943 -0.076
1.15 7.631 -2.481 -10.780 -13.261 10.72 65.56 -16.625 13.46 65.18 0.943 -0.075
1.25 7.925 -2.886 -10.975 -13.861 11.23 65.20 -16.555 13.53 64.72 0.945 -0.071
1.35 8.230 -3.256 -11.079 -14.335 11.65 64.77 -16.446 13.54 64.21 0.949 -0.065
1.45 8.541 -3.582 -11.117 -14.699 11.99 64.29 -16.311 13.52 63.66 0.954 -0.057
1.55 8.857 -3.857 -11.113 -14.970 12.26 63.75 -16.157 13.48 63.06 0.961 -0.048
1.65 9.175 -4.079 -11.083 -15.162 12.47 63.18 -15.991 13.41 62.43 0.968 -0.039
1.75 9.492 -4.249 -11.040 -15.289 12.63 62.56 -15.817 13.33 61.77 0.976 -0.029
1.85 9.807 -4.366 -10.995 -15.360 12.75 61.92 -15.641 13.26 61.10 0.984 -0.020
1.95 10.119 -4.433 -10.954 -15.387 12.83 61.26 -15.465 13.18 60.42 0.992 -0.012
2.05 10.426 -4.453 -10.924 -15.377 12.88 60.59 -15.289 13.11 59.74 1.001 -0.003
2.15 10.727 -4.429 -10.907 -15.336 12.91 59.91 -15.112 13.04 59.06 1.008 0.004
2.25 11.022 -4.367 -10.904 -15.271 12.93 59.24 -14.933 12.97 58.39 1.016 0.011
2.35 11.310 -4.270 -10.915 -15.185 12.93 58.56 -14.753 12.91 57.71 1.023 0.017
2.45 11.590 -4.141 -10.940 -15.081 12.92 57.89 -14.570 12.86 57.04 1.029 0.022
2.55 11.861 -3.987 -10.977 -14.963 12.90 57.22 -14.385 12.80 56.37 1.035 0.027
