t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 13.416 -2.234 -2.326 -4.560 14.63 0.46 -3.089 13.95 1.63 0.831 -0.150
0.15 13.480 -2.798 -1.504 -4.301 14.31 1.87 -2.740 12.53 3.59 0.897 -0.099
0.25 13.541 -3.088 -0.707 -3.795 13.80 3.17 -1.128 11.18 4.81 0.961 -0.051
0.35 13.591 -3.122 0.025 -3.097 13.14 4.46 0.419 9.83 6.10 1.020 -0.006
0.45 13.624 -2.924 0.668 -2.255 12.36 5.79 1.890 8.50 7.48 1.073 0.034
0.55 13.637 -2.523 1.212 -1.312 11.47 7.17 3.274 7.17 8.94 1.119 0.070
0.65 13.625 -1.952 1.651 -0.301 10.51 8.62 4.562 5.86 10.47 1.156 0.100
0.75 13.586 -1.244 1.989 0.745 9.49 10.14 5.746 4.56 12.08 1.185 0.124
0.85 13.520 -0.429 2.230 1.801 8.42 11.73 6.818 3.28 13.76 1.206 0.142
0.95 13.425 0.460 2.384 2.843 7.31 13.39 7.771 2.02 15.50 1.218 0.155
1.05 13.301 1.394 2.458 3.852 6.18 15.10 8.599 0.78 17.28 1.224 0.163
1.15 13.149 2.349 2.462 4.811 5.08 16.85 9.298 0.00 19.07 1.223 0.166
1.25 12.973 3.299 2.406 5.705 4.16 18.62 9.872 0.00 20.87 1.217 0.166
1.35 12.774 4.225 2.299 6.524 3.40 20.40 10.325 0.00 22.65 1.207 0.162
1.45 12.558 5.111 2.150 7.262 2.79 22.17 10.667 0.00 24.39 1.193 0.154
1.55 12.327 5.943 1.970 7.913 2.28 23.89 10.908 0.00 26.05 1.176 0.145
1.65 12.083 6.709 1.769 8.478 1.87 25.56 11.063 0.00 27.64 1.158 0.134
1.75 11.831 7.401 1.558 8.959 1.53 27.15 11.145 0.00 29.13 1.138 0.120
1.85 11.571 8.010 1.349 9.359 1.25 28.66 11.169 0.00 30.54 1.118 0.106
1.95 11.306 8.533 1.152 9.685 1.02 30.09 11.148 0.00 31.88 1.097 0.091
2.05 11.039 8.968 0.974 9.943 0.84 31.46 11.091 0.00 33.17 1.077 0.076
2.15 10.770 9.315 0.824 10.139 0.69 32.78 11.007 0.00 34.42 1.059 0.060
2.25 10.501 9.576 0.706 10.282 0.56 34.05 10.899 0.00 35.65 1.041 0.045
