t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 5.485 4.904 -1.131 3.773 28.36 73.30 3.730 28.32 73.17 1.079 0.141
0.15 5.745 5.694 -1.941 3.753 28.34 73.08 3.643 28.24 72.77 1.080 0.138
0.25 6.002 6.447 -2.725 3.722 28.31 72.76 3.565 28.16 72.31 1.079 0.132
0.35 6.256 7.154 -3.470 3.684 28.27 72.34 3.493 28.08 71.80 1.077 0.124
0.45 6.507 7.809 -4.169 3.640 28.23 71.87 3.427 28.00 71.25 1.074 0.115
0.55 6.754 8.410 -4.818 3.593 28.17 71.34 3.366 27.92 70.66 1.070 0.105
0.65 6.998 8.958 -5.348 3.610 28.10 70.68 4.003 27.67 69.72 1.066 0.096
0.75 7.231 9.455 -5.414 4.041 27.87 69.26 6.254 26.52 67.26 1.061 0.087
0.85 7.449 9.886 -5.387 4.499 27.49 67.49 6.651 25.55 65.19 1.053 0.076
0.95 7.649 10.242 -5.311 4.931 27.00 65.61 6.948 24.58 63.24 1.044 0.062
1.05 7.832 10.531 -5.212 5.319 26.47 63.90 7.128 23.87 61.76 1.037 0.051
1.15 7.997 10.768 -5.099 5.669 25.91 62.33 7.264 23.24 60.44 1.032 0.041
1.25 8.147 10.967 -4.987 5.980 25.34 60.92 7.421 22.61 59.18 1.027 0.035
1.35 8.282 11.135 -4.884 6.251 24.78 59.67 7.496 22.15 58.14 1.024 0.030
1.45 8.402 11.280 -4.795 6.484 24.24 58.56 7.538 21.77 57.21 1.021 0.025
1.55 8.511 11.404 -4.719 6.685 23.74 57.55 7.592 21.38 56.31 1.018 0.022
1.65 8.608 11.511 -4.670 6.841 23.29 56.68 7.553 21.16 55.60 1.016 0.019
1.75 8.696 11.602 -4.640 6.962 22.87 55.90 7.517 20.94 54.92 1.013 0.016
1.85 8.775 11.677 -4.632 7.045 22.50 55.20 7.387 20.80 54.35 1.011 0.013
1.95 8.847 11.735 -4.648 7.087 22.18 54.58 7.245 20.66 53.82 1.008 0.010
2.05 8.913 11.776 -4.682 7.095 21.88 54.02 7.090 20.52 53.32 1.005 0.007
2.15 8.974 11.799 -4.728 7.071 21.62 53.50 6.923 20.38 52.87 1.002 0.004
2.25 9.031 11.802 -4.783 7.019 21.37 53.04 6.743 20.24 52.46 0.999 0.001
2.35 9.084 11.788 -4.845 6.943 21.15 52.61 6.552 20.10 52.09 0.996 -0.002
2.45 9.135 11.755 -4.911 6.845 20.94 52.23 6.354 19.95 51.75 0.993 -0.006
2.55 9.184 11.707 -4.979 6.728 20.74 51.88 6.151 19.80 51.45 0.991 -0.008
2.65 9.232 11.644 -5.049 6.595 20.55 51.57 5.946 19.65 51.19 0.988 -0.011
2.75 9.278 11.567 -5.118 6.449 20.36 51.29 5.740 19.49 50.94 0.986 -0.013
2.85 9.323 11.478 -5.186 6.292 20.18 51.03 5.535 19.32 50.72 0.984 -0.015
2.95 9.367 11.380 -5.253 6.127 20.00 50.80 5.332 19.14 50.52 0.983 -0.017
3.05 9.411 11.272 -5.317 5.955 19.82 50.59 5.132 18.96 50.32 0.981 -0.019
3.15 9.454 11.158 -5.379 5.778 19.64 50.39 4.935 18.78 50.14 0.980 -0.020
3.25 9.497 11.037 -5.438 5.599 19.46 50.20 4.743 18.58 49.97 0.979 -0.021
3.35 9.539 10.910 -5.492 5.418 19.27 50.02 4.555 18.38 49.80 0.978 -0.022
3.45 9.581 10.780 -5.544 5.236 19.08 49.85 4.373 18.18 49.63 0.977 -0.023
3.55 9.623 10.646 -5.591 5.055 18.89 49.67 4.195 17.96 49.46 0.976 -0.023
3.65 9.665 10.509 -5.633 4.875 18.69 49.50 4.023 17.75 49.28 0.976 -0.024
3.75 9.705 10.369 -5.671 4.698 18.49 49.33 3.857 17.53 49.11 0.975 -0.024
3.85 9.746 10.228 -5.705 4.523 18.28 49.15 3.696 17.30 48.92 0.975 -0.025
3.95 9.786 10.085 -5.733 4.352 18.07 48.97 3.541 17.07 48.73 0.975 -0.025
4.05 9.824 9.940 -5.756 4.184 17.86 48.78 3.391 16.83 48.53 0.974 -0.025
4.15 9.863 9.794 -5.774 4.020 17.64 48.58 3.246 16.59 48.33 0.974 -0.025
4.25 9.900 9.647 -5.786 3.860 17.42 48.37 3.107 16.35 48.11 0.974 -0.026
4.35 9.936 9.498 -5.793 3.705 17.19 48.16 2.973 16.10 47.89 0.973 -0.026
4.45 9.971 9.348 -5.793 3.555 16.96 47.94 2.844 15.85 47.66 0.973 -0.026
4.55 10.005 9.197 -5.788 3.409 16.72 47.71 2.720 15.59 47.42 0.973 -0.026
4.65 10.038 9.044 -5.777 3.268 16.48 47.47 2.601 15.33 47.17 0.972 -0.027
4.75 10.069 8.890 -5.760 3.131 16.24 47.23 2.486 15.07 46.92 0.972 -0.027
4.85 10.099 8.735 -5.736 2.999 15.99 46.98 2.375 14.81 46.66 0.972 -0.027
4.95 10.127 8.578 -5.707 2.871 15.74 46.72 2.268 14.54 46.39 0.971 -0.027
5.05 10.153 8.420 -5.672 2.747 15.48 46.46 2.165 14.27 46.12 0.971 -0.028
5.15 10.178 8.260 -5.632 2.628 15.22 46.19 2.064 13.99 45.85 0.971 -0.028
5.25 10.201 8.099 -5.587 2.512 14.96 45.92 1.967 13.71 45.58 0.970 -0.028
5.35 10.222 7.936 -5.536 2.400 14.70 45.65 1.872 13.43 45.31 0.970 -0.028
5.45 10.242 7.772 -5.481 2.291 14.43 45.38 1.779 13.15 45.04 0.970 -0.029
5.55 10.259 7.607 -5.422 2.186 14.16 45.11 1.687 12.87 44.78 0.970 -0.029
5.65 10.275 7.441 -5.358 2.083 13.88 44.85 1.597 12.58 44.52 0.969 -0.029
