t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 15.000 0.005 -4.981 -4.976 13.48 10.08 -4.288 12.99 10.29 1.005 0.000
0.15 14.996 0.061 -4.703 -4.643 13.24 10.41 -2.781 11.90 10.89 1.025 0.009
0.25 14.984 0.209 -4.310 -4.101 12.85 10.88 -1.301 10.81 11.51 1.054 0.025
0.35 14.961 0.470 -3.863 -3.393 12.33 11.44 0.143 9.73 12.16 1.084 0.045
0.45 14.923 0.846 -3.405 -2.558 11.71 12.06 1.540 8.65 12.85 1.115 0.065
0.55 14.866 1.333 -2.963 -1.629 11.01 12.73 2.882 7.59 13.59 1.142 0.085
0.65 14.790 1.918 -2.553 -0.634 10.24 13.45 4.158 6.54 14.39 1.165 0.102
0.75 14.692 2.586 -2.185 0.401 9.43 14.23 5.356 5.51 15.24 1.183 0.116
0.85 14.571 3.318 -1.865 1.453 8.58 15.07 6.460 4.50 16.15 1.196 0.128
0.95 14.428 4.096 -1.597 2.498 7.70 15.97 7.446 3.53 17.12 1.204 0.136
1.05 14.262 4.899 -1.387 3.512 6.82 16.93 8.282 2.61 18.16 1.206 0.140
1.15 14.074 5.708 -1.240 4.468 5.94 17.95 8.926 1.78 19.26 1.202 0.141
1.25 13.866 6.503 -1.165 5.338 5.08 19.03 9.355 1.04 20.41 1.193 0.139
1.35 13.640 7.261 -1.160 6.101 4.26 20.16 9.592 0.41 21.60 1.179 0.132
1.45 13.398 7.965 -1.217 6.748 3.50 21.33 9.689 0.00 22.82 1.161 0.123
1.55 13.143 8.600 -1.317 7.283 2.87 22.53 9.693 0.00 24.06 1.141 0.111
1.65 12.878 9.156 -1.444 7.712 2.35 23.76 9.638 0.00 25.32 1.119 0.097
1.75 12.606 9.628 -1.580 8.048 1.92 25.00 9.542 0.00 26.59 1.098 0.082
1.85 12.331 10.015 -1.713 8.302 1.57 26.27 9.416 0.00 27.86 1.077 0.067
1.95 12.054 10.318 -1.835 8.483 1.29 27.54 9.265 0.00 29.14 1.057 0.053
2.05 11.776 10.539 -1.938 8.602 1.05 28.81 9.095 0.00 30.42 1.039 0.038
2.15 11.501 10.684 -2.018 8.665 0.86 30.09 8.907 0.00 31.70 1.022 0.025
2.25 11.228 10.756 -2.075 8.681 0.71 31.36 8.703 0.00 32.98 1.008 0.012
2.35 10.959 10.761 -2.106 8.655 0.58 32.64 8.486 0.00 34.25 0.995 0.001
2.45 10.695 10.706 -2.113 8.593 0.47 33.91 8.256 0.00 35.51 0.984 -0.010
2.55 10.436 10.596 -2.097 8.499 0.39 35.17 8.016 0.00 36.77 0.974 -0.019
2.65 10.184 10.436 -2.059 8.377 0.32 36.43 7.765 0.00 38.01 0.966 -0.028
2.75 9.939 10.232 -2.003 8.230 0.26 37.68 7.505 0.00 39.25 0.960 -0.036
2.85 9.701 9.991 -1.929 8.061 0.21 38.92 7.236 0.00 40.48 0.954 -0.042
2.95 9.470 9.716 -1.842 7.874 0.17 40.15 6.959 0.00 41.70 0.950 -0.048
3.05 9.247 9.413 -1.744 7.669 0.14 41.37 6.676 0.00 42.90 0.947 -0.053
3.15 9.032 9.088 -1.639 7.449 0.12 42.57 6.386 0.00 44.10 0.945 -0.057
3.25 8.825 8.744 -1.528 7.215 0.10 43.77 6.091 0.00 45.28 0.944 -0.060
3.35 8.626 8.386 -1.416 6.970 0.08 44.96 5.790 0.00 46.45 0.944 -0.063
3.45 8.435 8.020 -1.306 6.714 0.06 46.13 5.485 0.00 47.60 0.944 -0.064
3.55 8.251 7.648 -1.200 6.449 0.05 47.29 5.176 0.00 48.75 0.945 -0.065
3.65 8.076 7.276 -1.101 6.175 0.04 48.43 4.864 0.00 49.87 0.946 -0.065
3.75 7.908 6.906 -1.013 5.894 0.04 49.56 4.550 0.00 50.98 0.948 -0.065
3.85 7.748 6.543 -0.937 5.607 0.03 50.67 4.234 0.00 52.07 0.950 -0.064
3.95 7.596 6.190 -0.876 5.314 0.02 51.77 3.918 0.00 53.15 0.953 -0.062
4.05 7.451 5.851 -0.833 5.017 0.02 52.84 3.601 0.00 54.20 0.956 -0.060
4.15 7.314 5.527 -0.810 4.717 0.02 53.90 3.286 0.00 55.23 0.959 -0.057
4.25 7.183 5.221 -0.807 4.414 0.01 54.93 2.972 0.00 56.23 0.962 -0.054
4.35 7.060 4.937 -0.827 4.110 0.01 55.94 2.661 0.00 57.21 0.965 -0.050
4.45 6.943 4.675 -0.870 3.805 0.01 56.93 2.355 0.00 58.16 0.969 -0.046
4.55 6.833 4.437 -0.937 3.500 0.01 57.88 2.054 0.00 59.08 0.972 -0.042
4.65 6.730 4.225 -1.027 3.197 0.01 58.81 1.759 0.00 59.97 0.976 -0.037
4.75 6.632 4.038 -1.141 2.897 0.00 59.70 1.473 0.00 60.81 0.979 -0.033
4.85 6.541 3.877 -1.276 2.600 0.00 60.55 1.196 0.00 61.61 0.983 -0.028
4.95 6.456 3.741 -1.432 2.309 0.00 61.36 0.930 0.00 62.37 0.986 -0.024
5.05 6.377 3.629 -1.605 2.024 0.00 62.12 0.676 0.00 63.07 0.989 -0.020
5.15 6.303 3.540 -1.793 1.746 0.00 62.83 0.437 0.00 63.72 0.991 -0.016
5.25 6.234 3.471 -1.993 1.478 0.00 63.49 0.214 0.00 64.31 0.993 -0.012
5.35 6.170 3.419 -2.199 1.220 0.00 64.09 0.008 0.00 64.83 0.995 -0.009
5.45 6.112 3.381 -2.407 0.974 0.00 64.63 -0.181 0.00 65.29 0.996 -0.007
5.55 6.058 3.355 -2.614 0.741 0.00 65.11 -0.352 0.02 65.69 0.997 -0.005
5.65 6.008 3.334 -2.813 0.521 0.01 65.52 -0.506 0.05 66.02 0.998 -0.004
5.75 5.962 3.317 -3.001 0.316 0.02 65.87 -0.642 0.09 66.29 0.998 -0.003
5.85 5.920 3.300 -3.174 0.125 0.04 66.15 -0.764 0.15 66.50 0.998 -0.003
5.95 5.882 3.278 -3.329 -0.051 0.07 66.39 -0.871 0.21 66.66 0.997 -0.004
6.05 5.848 3.250 -3.463 -0.213 0.11 66.57 -0.966 0.29 66.78 0.997 -0.005
6.15 5.817 3.213 -3.574 -0.361 0.15 66.70 -1.049 0.37 66.86 0.996 -0.006
6.25 5.789 3.166 -3.661 -0.496 0.20 66.79 -1.122 0.46 66.90 0.995 -0.008
