t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 6.001 0.005 -0.117 -0.112 2.78 64.04 -1.178 3.27 64.68 1.002 0.000
0.15 6.008 0.060 -0.685 -0.625 3.02 65.02 -3.487 4.36 66.40 1.010 0.009
0.25 6.029 0.189 -1.640 -1.451 3.41 66.31 -5.697 5.44 67.99 1.018 0.022
0.35 6.071 0.384 -2.892 -2.508 3.93 67.65 -7.766 6.52 69.35 1.024 0.034
0.45 6.138 0.619 -4.344 -3.725 4.55 68.90 -9.657 7.60 70.42 1.026 0.041
0.55 6.234 0.856 -5.890 -5.034 5.25 69.94 -11.334 8.68 71.18 1.025 0.042
0.65 6.359 1.057 -7.435 -6.378 6.02 70.71 -12.772 9.75 71.58 1.019 0.035
0.75 6.516 1.186 -8.889 -7.703 6.84 71.16 -13.957 10.81 71.64 1.010 0.023
0.85 6.702 1.216 -10.183 -8.968 7.71 71.29 -14.884 11.85 71.36 0.997 0.005
0.95 6.916 1.131 -11.267 -10.137 8.60 71.11 -15.565 12.88 70.79 0.982 -0.015
1.05 7.156 0.928 -12.113 -11.185 9.51 70.64 -16.016 13.87 69.95 0.967 -0.035
1.15 7.419 0.614 -12.712 -12.097 10.44 69.90 -16.263 14.84 68.90 0.952 -0.055
1.25 7.702 0.207 -13.071 -12.864 11.37 68.94 -16.335 15.77 67.67 0.939 -0.071
1.35 8.001 -0.272 -13.213 -13.485 12.29 67.80 -16.261 16.66 66.31 0.928 -0.083
1.45 8.314 -0.796 -13.166 -13.962 13.20 66.51 -16.067 17.50 64.85 0.921 -0.091
1.55 8.638 -1.336 -12.923 -14.259 14.07 65.18 -15.298 18.15 63.55 0.918 -0.095
1.65 8.970 -1.854 -12.547 -14.401 14.91 63.79 -14.955 18.88 62.00 0.920 -0.090
1.75 9.307 -2.332 -12.116 -14.447 15.72 62.32 -14.564 19.54 60.44 0.925 -0.083
1.85 9.646 -2.757 -11.652 -14.410 16.50 60.81 -14.135 20.12 58.89 0.932 -0.074
1.95 9.988 -3.120 -11.177 -14.297 17.23 59.29 -13.676 20.63 57.36 0.942 -0.063
2.05 10.328 -3.410 -10.708 -14.118 17.90 57.77 -13.195 21.05 55.86 0.954 -0.051
2.15 10.667 -3.622 -10.260 -13.882 18.52 56.27 -12.697 21.39 54.39 0.967 -0.037
2.25 11.001 -3.754 -9.843 -13.597 19.08 54.80 -12.186 21.65 52.96 0.982 -0.023
2.35 11.331 -3.805 -9.465 -13.269 19.57 53.37 -11.666 21.82 51.57 0.998 -0.009
2.45 11.653 -3.776 -9.130 -12.906 19.99 51.97 -11.141 21.90 50.22 1.014 0.005
2.55 11.967 -3.672 -8.841 -12.513 20.34 50.61 -10.614 21.90 48.91 1.030 0.018
2.65 12.271 -3.498 -8.599 -12.096 20.61 49.30 -10.089 21.83 47.65 1.045 0.031
2.75 12.563 -3.260 -8.401 -11.661 20.81 48.02 -9.568 21.69 46.43 1.060 0.042
2.85 12.844 -2.965 -8.245 -11.210 20.94 46.79 -9.055 21.48 45.25 1.074 0.052
2.95 13.111 -2.620 -8.130 -10.750 21.01 45.61 -8.553 21.22 44.12 1.086 0.060
3.05 13.365 -2.234 -8.050 -10.284 21.00 44.47 -8.066 20.91 43.04 1.096 0.068
3.15 13.603 -1.814 -8.004 -9.817 20.94 43.38 -7.596 20.56 42.01 1.105 0.074
3.25 13.826 -1.366 -7.986 -9.352 20.82 42.33 -7.146 20.17 41.03 1.113 0.078
3.35 14.033 -0.899 -7.993 -8.893 20.64 41.34 -6.718 19.76 40.09 1.119 0.082
3.45 14.224 -0.419 -8.023 -8.443 20.42 40.39 -6.316 19.33 39.21 1.123 0.084
3.55 14.398 0.067 -8.072 -8.005 20.16 39.50 -5.941 18.88 38.39 1.125 0.085
3.65 14.557 0.554 -8.137 -7.583 19.87 38.66 -5.595 18.42 37.62 1.126 0.085
3.75 14.700 1.037 -8.216 -7.179 19.54 37.88 -5.280 17.95 36.91 1.125 0.084
3.85 14.827 1.511 -8.306 -6.795 19.19 37.15 -4.995 17.49 36.25 1.124 0.083
3.95 14.939 1.972 -8.406 -6.433 18.82 36.48 -4.743 17.03 35.65 1.120 0.080
4.05 15.036 2.416 -8.512 -6.096 18.43 35.87 -4.523 16.58 35.11 1.116 0.078
4.15 15.119 2.840 -8.625 -5.785 18.04 35.31 -4.335 16.15 34.63 1.111 0.074
4.25 15.189 3.241 -8.741 -5.500 17.63 34.81 -4.178 15.73 34.20 1.105 0.070
4.35 15.247 3.617 -8.860 -5.242 17.23 34.37 -4.052 15.32 33.82 1.099 0.066
4.45 15.293 3.967 -8.980 -5.013 16.83 33.97 -3.956 14.94 33.49 1.092 0.061
4.55 15.327 4.289 -9.101 -4.812 16.44 33.63 -3.889 14.58 33.21 1.084 0.056
