t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 14.999 0.003 -4.892 -4.890 13.46 9.50 -3.380 12.78 8.24 1.003 0.000
0.15 14.992 0.029 -4.370 -4.342 13.13 7.80 -1.515 11.28 5.46 1.011 0.005
0.25 14.973 0.085 -3.807 -3.722 12.59 5.87 -0.800 9.78 3.45 1.018 0.010
0.35 14.940 0.158 -3.324 -3.166 11.87 4.14 -0.638 8.28 2.06 1.021 0.013
0.45 14.893 0.234 -2.951 -2.717 11.02 2.79 -0.711 6.78 1.21 1.019 0.013
0.55 14.831 0.301 -2.673 -2.372 10.04 1.88 -0.852 5.28 0.86 1.016 0.012
0.65 14.756 0.354 -2.470 -2.116 8.97 1.40 -0.987 3.78 0.93 1.012 0.009
0.75 14.666 0.392 -2.317 -1.925 7.83 1.32 -1.084 2.29 1.34 1.008 0.007
0.85 14.564 0.416 -2.196 -1.780 6.76 1.58 -1.137 1.91 2.01 1.004 0.004
0.95 14.451 0.428 -2.095 -1.666 5.89 2.11 -1.153 2.03 2.85 1.002 0.002
1.05 14.332 0.432 -2.004 -1.571 5.22 2.83 -1.139 2.20 3.80 1.000 0.001
1.15 14.207 0.430 -1.919 -1.488 4.69 3.69 -1.105 2.33 4.81 0.999 -0.000
1.25 14.080 0.425 -1.837 -1.412 4.27 4.64 -1.058 2.42 5.85 0.998 -0.001
1.35 13.952 0.417 -1.758 -1.341 3.95 5.63 -1.003 2.48 6.90 0.998 -0.001
1.45 13.823 0.408 -1.679 -1.271 3.68 6.66 -0.944 2.51 7.95 0.998 -0.002
1.55 13.694 0.399 -1.602 -1.204 3.47 7.69 -0.884 2.52 9.00 0.997 -0.002
1.65 13.566 0.389 -1.526 -1.137 3.30 8.72 -0.823 2.53 10.03 0.997 -0.002
1.75 13.438 0.379 -1.451 -1.072 3.16 9.75 -0.763 2.52 11.05 0.997 -0.002
1.85 13.313 0.370 -1.378 -1.008 3.04 10.77 -0.705 2.50 12.06 0.998 -0.002
1.95 13.189 0.360 -1.305 -0.945 2.94 11.78 -0.648 2.49 13.05 0.998 -0.002
2.05 13.066 0.350 -1.234 -0.884 2.86 12.77 -0.593 2.47 14.02 0.998 -0.002
2.15 12.945 0.341 -1.165 -0.824 2.78 13.75 -0.540 2.45 14.99 0.998 -0.002
2.25 12.826 0.332 -1.097 -0.765 2.72 14.72 -0.490 2.42 15.93 0.998 -0.002
2.35 12.709 0.323 -1.031 -0.709 2.66 15.67 -0.441 2.40 16.86 0.998 -0.002
2.45 12.594 0.314 -0.967 -0.654 2.61 16.60 -0.394 2.38 17.78 0.998 -0.002
2.55 12.480 0.305 -0.905 -0.600 2.57 17.52 -0.349 2.36 18.68 0.998 -0.002
2.65 12.369 0.297 -0.845 -0.549 2.53 18.43 -0.306 2.34 19.57 0.998 -0.002
2.75 12.259 0.288 -0.787 -0.499 2.49 19.32 -0.265 2.32 20.44 0.998 -0.002
2.85 12.151 0.280 -0.731 -0.451 2.46 20.20 -0.226 2.30 21.30 0.998 -0.002
2.95 12.045 0.272 -0.677 -0.405 2.42 21.06 -0.188 2.28 22.14 0.998 -0.002
3.05 11.940 0.264 -0.625 -0.361 2.40 21.90 -0.152 2.27 22.97 0.998 -0.001
3.15 11.837 0.257 -0.575 -0.318 2.37 22.74 -0.117 2.25 23.78 0.998 -0.001
3.25 11.736 0.249 -0.526 -0.277 2.35 23.55 -0.085 2.24 24.58 0.998 -0.001
3.35 11.637 0.242 -0.480 -0.238 2.33 24.36 -0.053 2.23 25.37 0.998 -0.001
3.45 11.539 0.235 -0.435 -0.200 2.31 25.15 -0.023 2.22 26.14 0.998 -0.001
