t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 13.416 -2.222 -2.287 -4.509 14.63 1.13 -2.551 13.95 4.00 0.842 -0.150
0.15 13.478 -2.622 -1.047 -3.669 14.30 5.61 0.779 12.45 12.00 0.967 -0.072
0.25 13.530 -2.485 -0.213 -2.698 13.76 11.80 1.820 10.95 20.00 1.093 0.023
0.35 13.562 -1.882 -0.032 -1.915 13.04 18.04 1.498 9.45 25.09 1.186 0.107
0.45 13.573 -1.074 -0.325 -1.399 12.19 19.69 0.748 7.95 20.12 1.194 0.145
0.55 13.562 -0.370 -0.738 -1.107 11.21 17.44 0.055 6.45 13.83 1.143 0.125
0.65 13.532 0.093 -1.057 -0.965 10.14 14.12 -0.419 4.95 9.95 1.082 0.081
0.75 13.485 0.328 -1.231 -0.903 8.99 11.54 -0.676 3.45 8.66 1.035 0.041
0.85 13.423 0.411 -1.288 -0.878 7.78 10.25 -0.778 1.95 9.03 1.008 0.014
0.95 13.346 0.417 -1.278 -0.862 6.62 10.08 -0.790 1.33 10.14 0.996 0.000
1.05 13.258 0.395 -1.239 -0.844 5.68 10.60 -0.756 1.45 11.42 0.994 -0.004
1.15 13.162 0.370 -1.192 -0.821 4.94 11.46 -0.704 1.66 12.62 0.995 -0.004
1.25 13.061 0.352 -1.144 -0.792 4.37 12.44 -0.648 1.83 13.69 0.996 -0.003
1.35 12.956 0.339 -1.098 -0.758 3.93 13.43 -0.592 1.97 14.66 0.997 -0.002
1.45 12.849 0.330 -1.051 -0.721 3.59 14.38 -0.537 2.06 15.58 0.998 -0.002
1.55 12.740 0.323 -1.003 -0.680 3.32 15.31 -0.484 2.13 16.48 0.998 -0.001
1.65 12.631 0.316 -0.953 -0.637 3.11 16.23 -0.433 2.18 17.38 0.998 -0.001
1.75 12.522 0.308 -0.902 -0.594 2.95 17.13 -0.385 2.21 18.26 0.998 -0.001
1.85 12.413 0.300 -0.849 -0.549 2.82 18.02 -0.338 2.23 19.15 0.998 -0.002
1.95 12.305 0.292 -0.797 -0.505 2.71 18.90 -0.294 2.24 20.02 0.998 -0.002
2.05 12.199 0.284 -0.745 -0.461 2.63 19.78 -0.252 2.24 20.88 0.998 -0.002
2.15 12.093 0.276 -0.693 -0.417 2.56 20.64 -0.212 2.24 21.73 0.998 -0.002
2.25 11.989 0.268 -0.643 -0.375 2.50 21.49 -0.174 2.24 22.56 0.998 -0.001
2.35 11.887 0.260 -0.593 -0.333 2.45 22.33 -0.137 2.23 23.38 0.998 -0.001
2.45 11.785 0.253 -0.546 -0.293 2.41 23.15 -0.103 2.22 24.18 0.998 -0.001
2.55 11.686 0.245 -0.499 -0.254 2.37 23.96 -0.071 2.22 24.98 0.998 -0.001
2.65 11.587 0.238 -0.455 -0.217 2.34 24.75 -0.039 2.21 25.75 0.998 -0.001
2.75 11.491 0.231 -0.412 -0.180 2.32 25.54 -0.010 2.20 26.52 0.998 -0.001
2.85 11.396 0.224 -0.370 -0.146 2.30 26.30 0.018 2.19 27.27 0.999 -0.001
2.95 11.302 0.218 -0.330 -0.112 2.28 27.06 0.044 2.19 28.01 0.999 -0.001
3.05 11.210 0.211 -0.292 -0.080 2.26 27.80 0.069 2.18 28.73 0.999 -0.001
3.15 11.119 0.205 -0.255 -0.050 2.24 28.53 0.093 2.18 29.44 0.999 -0.001
3.25 11.030 0.199 -0.220 -0.021 2.23 29.24 0.115 2.17 30.14 0.999 -0.001
3.35 10.942 0.193 -0.186 0.007 2.22 29.94 0.137 2.17 30.83 0.999 -0.001
3.45 10.856 0.187 -0.154 0.033 2.21 30.63 0.157 2.16 31.50 0.999 -0.001
3.55 10.771 0.181 -0.123 0.058 2.20 31.31 0.176 2.16 32.16 0.999 -0.001
3.65 10.688 0.176 -0.094 0.082 2.19 31.97 0.194 2.16 32.81 0.999 -0.001
3.75 10.606 0.171 -0.066 0.104 2.19 32.62 0.210 2.16 33.44 0.999 -0.001
3.85 10.525 0.165 -0.040 0.126 2.18 33.26 0.226 2.15 34.07 0.999 -0.001
3.95 10.446 0.160 -0.014 0.146 2.18 33.89 0.241 2.15 34.68 0.999 -0.001
4.05 10.368 0.156 0.009 0.165 2.17 34.50 0.254 2.15 35.28 0.999 -0.001
4.15 10.291 0.151 0.032 0.183 2.17 35.11 0.267 2.15 35.86 0.999 -0.001
4.25 10.215 0.146 0.054 0.200 2.17 35.70 0.279 2.15 36.44 0.999 -0.001
4.35 10.141 0.142 0.074 0.216 2.16 36.28 0.290 2.15 37.01 0.999 -0.001
4.45 10.068 0.137 0.093 0.231 2.16 36.84 0.301 2.16 37.56 0.999 -0.001
4.55 9.996 0.133 0.112 0.245 2.16 37.40 0.310 2.16 38.10 0.999 -0.001
4.65 9.926 0.129 0.129 0.258 2.16 37.95 0.319 2.16 38.63 0.999 -0.001
4.75 9.856 0.125 0.145 0.270 2.16 38.48 0.327 2.16 39.16 0.999 -0.001
4.85 9.788 0.121 0.160 0.281 2.16 39.01 0.334 2.17 39.67 0.999 -0.001
4.95 9.721 0.118 0.174 0.292 2.16 39.52 0.341 2.17 40.17 0.999 -0.001
5.05 9.655 0.114 0.188 0.302 2.16 40.02 0.347 2.17 40.66 0.999 -0.001
5.15 9.590 0.111 0.200 0.311 2.17 40.52 0.353 2.18 41.14 0.999 -0.001
5.25 9.527 0.107 0.212 0.319 2.17 41.00 0.358 2.18 41.61 0.999 -0.001
5.35 9.464 0.104 0.223 0.327 2.17 41.47 0.362 2.18 42.07 0.999 -0.001
5.45 9.402 0.101 0.233 0.334 2.17 41.94 0.366 2.19 42.52 0.999 -0.001
5.55 9.342 0.098 0.242 0.340 2.18 42.39 0.370 2.19 42.96 0.999 -0.001
5.65 9.282 0.095 0.251 0.346 2.18 42.83 0.373 2.20 43.39 0.999 -0.001
5.75 9.224 0.092 0.259 0.351 2.18 43.27 0.375 2.20 43.82 0.999 -0.001
5.85 9.166 0.089 0.267 0.356 2.19 43.70 0.377 2.21 44.23 0.999 -0.001
5.95 9.110 0.086 0.273 0.360 2.19 44.11 0.379 2.21 44.64 0.999 -0.001
6.05 9.054 0.084 0.280 0.364 2.20 44.52 0.380 2.22 45.04 1.000 -0.001
6.15 8.999 0.081 0.285 0.367 2.20 44.92 0.381 2.22 45.42 1.000 -0.001
6.25 8.946 0.079 0.291 0.369 2.21 45.31 0.382 2.23 45.81 1.000 -0.000
6.35 8.893 0.076 0.295 0.372 2.21 45.70 0.382 2.23 46.18 1.000 -0.000
6.45 8.841 0.074 0.300 0.374 2.22 46.07 0.382 2.24 46.54 1.000 -0.000
6.55 8.790 0.072 0.303 0.375 2.22 46.44 0.382 2.24 46.90 1.000 -0.000
6.65 8.740 0.070 0.307 0.376 2.23 46.80 0.382 2.25 47.25 1.000 -0.000
6.75 8.691 0.068 0.310 0.377 2.23 47.15 0.381 2.25 47.59 1.000 -0.000
6.85 8.643 0.066 0.312 0.378 2.24 47.49 0.380 2.26 47.93 1.000 -0.000
6.95 8.595 0.064 0.314 0.378 2.24 47.83 0.379 2.27 48.26 1.000 -0.000
7.05 8.548 0.062 0.316 0.378 2.25 48.16 0.377 2.27 48.58 1.000 -0.000
7.15 8.503 0.060 0.317 0.378 2.25 48.48 0.376 2.28 48.89 1.000 -0.000
7.25 8.457 0.058 0.319 0.377 2.26 48.80 0.374 2.28 49.20 1.000 -0.000
7.35 8.413 0.057 0.319 0.376 2.26 49.11 0.372 2.29 49.50 1.000 -0.000
7.45 8.370 0.055 0.320 0.375 2.27 49.41 0.370 2.29 49.79 1.000 -0.000
7.55 8.327 0.053 0.320 0.374 2.27 49.71 0.367 2.30 50.08 1.000 -0.000
7.65 8.285 0.052 0.320 0.372 2.28 50.00 0.365 2.31 50.36 1.000 -0.000
