t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 5.487 4.854 -1.457 3.396 28.44 72.22 -0.223 29.12 69.35 1.060 0.141
0.15 5.766 5.120 -3.210 1.910 28.73 67.74 -5.329 30.26 61.35 0.992 0.050
0.25 6.066 4.648 -4.261 0.387 29.01 61.55 -6.851 30.26 53.35 0.910 -0.080
0.35 6.383 3.520 -4.417 -0.897 29.03 56.22 -5.874 28.76 51.48 0.855 -0.206
0.45 6.708 2.268 -3.717 -1.449 28.77 53.58 -3.441 27.26 49.15 0.851 -0.215
0.55 7.032 1.072 -2.666 -1.594 28.29 51.60 -1.930 25.76 50.34 0.865 -0.213
0.65 7.350 0.217 -1.742 -1.525 27.62 52.72 -1.032 24.26 54.66 0.918 -0.151
0.75 7.657 -0.192 -1.175 -1.368 26.81 54.07 -0.565 22.76 55.49 0.970 -0.070
0.85 7.947 -0.297 -0.893 -1.190 25.86 54.07 -0.347 21.26 53.59 0.998 -0.016
0.95 8.218 -0.273 -0.750 -1.023 24.82 52.79 -0.251 19.76 50.86 1.007 0.006
1.05 8.469 -0.227 -0.650 -0.877 23.70 50.88 -0.206 18.26 48.37 1.006 0.009
1.15 8.699 -0.198 -0.554 -0.752 22.50 48.88 -0.182 16.76 46.39 1.003 0.006
1.25 8.909 -0.186 -0.460 -0.646 21.25 47.06 -0.164 15.26 44.82 1.001 0.002
1.35 9.098 -0.183 -0.374 -0.556 19.96 45.45 -0.149 13.76 43.50 1.000 0.001
1.45 9.267 -0.182 -0.298 -0.480 18.68 44.05 -0.133 12.78 42.32 1.000 0.000
1.55 9.417 -0.181 -0.234 -0.415 17.63 42.79 -0.117 12.94 41.23 1.000 0.000
1.65 9.553 -0.179 -0.179 -0.359 16.82 41.63 -0.099 13.27 40.20 1.000 0.000
1.75 9.677 -0.178 -0.131 -0.309 16.22 40.56 -0.080 13.57 39.24 1.000 0.000
1.85 9.791 -0.177 -0.088 -0.264 15.78 39.56 -0.059 13.82 38.32 1.000 0.000
1.95 9.898 -0.176 -0.049 -0.224 15.45 38.62 -0.038 14.01 37.43 1.000 0.000
2.05 9.999 -0.175 -0.013 -0.188 15.21 37.71 -0.017 14.17 36.58 1.000 0.000
2.15 10.096 -0.174 0.021 -0.154 15.04 36.85 0.005 14.29 35.76 1.000 0.000
2.25 10.188 -0.174 0.052 -0.122 14.92 36.01 0.027 14.40 34.96 1.000 0.000
2.35 10.277 -0.173 0.081 -0.092 14.84 35.19 0.048 14.48 34.17 1.000 0.000
2.45 10.363 -0.173 0.109 -0.064 14.78 34.40 0.069 14.55 33.41 1.000 0.000
2.55 10.447 -0.172 0.135 -0.037 14.75 33.63 0.089 14.61 32.65 1.000 0.000
2.65 10.528 -0.172 0.160 -0.012 14.73 32.86 0.108 14.67 31.90 1.000 0.000
2.75 10.608 -0.172 0.184 0.012 14.73 32.11 0.126 14.72 31.17 1.000 0.000
2.85 10.685 -0.171 0.207 0.035 14.73 31.38 0.143 14.76 30.45 1.000 0.000
2.95 10.761 -0.171 0.228 0.057 14.74 30.65 0.160 14.80 29.74 1.000 0.000
3.05 10.836 -0.170 0.248 0.078 14.76 29.94 0.176 14.84 29.04 1.000 0.000
3.15 10.908 -0.169 0.267 0.098 14.78 29.24 0.191 14.88 28.35 1.000 0.000
3.25 10.980 -0.168 0.285 0.117 14.80 28.55 0.205 14.91 27.67 1.000 0.000
3.35 11.050 -0.167 0.302 0.135 14.83 27.86 0.218 14.95 27.00 1.000 0.000
3.45 11.119 -0.167 0.318 0.152 14.85 27.19 0.231 14.97 26.34 1.000 0.000
3.55 11.187 -0.166 0.333 0.168 14.88 26.52 0.244 15.00 25.69 1.000 0.000
3.65 11.253 -0.165 0.347 0.183 14.91 25.87 0.254 15.04 25.04 1.000 0.000
3.75 11.318 -0.163 0.361 0.197 14.93 25.22 0.265 15.06 24.41 1.000 0.000
3.85 11.382 -0.162 0.373 0.211 14.96 24.58 0.275 15.09 23.78 1.000 0.000
3.95 11.445 -0.161 0.385 0.224 14.99 23.95 0.283 15.12 23.16 1.000 0.000
4.05 11.507 -0.160 0.396 0.236 15.02 23.33 0.292 15.15 22.55 1.000 0.000
4.15 11.568 -0.159 0.406 0.247 15.04 22.72 0.300 15.18 21.95 1.000 0.000
4.25 11.627 -0.158 0.415 0.257 15.07 22.12 0.307 15.21 21.36 1.000 0.000
4.35 11.686 -0.156 0.424 0.267 15.10 21.52 0.314 15.23 20.78 1.000 0.000
4.45 11.744 -0.155 0.424 0.269 15.13 20.96 0.241 15.33 20.28 1.000 0.000
4.55 11.801 -0.153 0.398 0.244 15.18 20.48 0.101 15.41 19.89 1.000 0.000
4.65 11.858 -0.152 0.353 0.201 15.22 20.06 -0.027 15.41 19.55 1.000 0.000
4.75 11.914 -0.150 0.292 0.143 15.25 19.69 -0.150 15.38 19.24 1.001 0.000
4.85 11.970 -0.148 0.220 0.073 15.27 19.36 -0.271 15.34 18.96 1.001 0.000
4.95 12.025 -0.145 0.139 -0.006 15.28 19.07 -0.390 15.28 18.71 1.001 0.000
5.05 12.080 -0.142 0.051 -0.092 15.27 18.80 -0.504 15.23 18.48 1.001 0.001
5.15 12.135 -0.139 -0.043 -0.182 15.25 18.56 -0.616 15.17 18.25 1.001 0.001
5.25 12.188 -0.136 -0.139 -0.275 15.23 18.33 -0.723 15.12 18.05 1.001 0.001
5.35 12.241 -0.133 -0.238 -0.371 15.20 18.12 -0.827 15.07 17.86 1.001 0.001
5.45 12.293 -0.131 -0.337 -0.468 15.17 17.92 -0.928 15.02 17.68 1.001 0.001
5.55 12.345 -0.128 -0.437 -0.565 15.14 17.73 -1.026 14.97 17.50 1.001 0.001
5.65 12.395 -0.125 -0.536 -0.661 15.10 17.55 -1.120 14.93 17.33 1.001 0.000
5.75 12.445 -0.123 -0.634 -0.757 15.06 17.38 -1.210 14.88 17.17 1.001 0.000
5.85 12.494 -0.120 -0.731 -0.851 15.02 17.22 -1.297 14.84 17.02 1.001 0.000
5.95 12.542 -0.118 -0.827 -0.944 14.99 17.06 -1.385 14.80 16.86 1.001 0.000
6.05 12.590 -0.115 -0.921 -1.036 14.95 16.91 -1.470 14.77 16.71 1.001 0.000
6.15 12.636 -0.113 -1.013 -1.126 14.91 16.76 -1.551 14.73 16.57 1.001 0.000
