t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 6.001 0.027 -0.407 -0.381 2.73 64.92 -4.000 2.78 67.78 1.011 0.000
0.15 6.019 0.307 -2.254 -1.947 2.75 69.39 -10.114 2.81 75.78 1.050 0.046
0.25 6.066 1.042 -4.575 -3.533 2.73 75.58 -10.552 2.59 83.78 1.107 0.125
0.35 6.143 2.339 -7.018 -4.679 2.69 82.65 -9.744 2.51 91.78 1.173 0.224
0.45 6.252 4.194 -9.989 -5.795 2.64 89.80 -11.466 2.36 98.46 1.231 0.324
0.55 6.405 6.339 -13.855 -7.516 2.52 94.98 -16.708 1.79 101.03 1.247 0.377
0.65 6.620 8.794 -18.873 -10.080 2.19 100.63 -23.142 0.37 108.26 1.329 0.426
0.75 6.915 11.891 -25.130 -13.238 1.80 107.42 -28.817 0.00 116.26 1.427 0.539
0.85 7.297 15.520 -31.796 -16.277 1.47 112.92 -30.000 0.00 118.73 1.511 0.636
0.95 7.734 19.388 -38.153 -18.764 1.20 115.75 -30.000 0.00 118.73 1.572 0.676
1.05 8.181 23.348 -44.149 -20.801 0.99 117.20 -30.000 0.00 118.73 1.633 0.691
1.15 8.599 27.377 -49.846 -22.469 0.81 117.94 -30.000 0.00 118.73 1.701 0.703
1.25 8.952 31.493 -55.327 -23.834 0.66 118.32 -30.000 0.00 118.73 1.778 0.718
1.35 9.210 35.706 -60.658 -24.952 0.54 118.52 -30.000 0.00 118.73 1.860 0.735
1.45 9.351 40.002 -65.868 -25.867 0.44 118.62 -30.000 0.00 118.73 1.939 0.750
1.55 9.366 44.330 -70.946 -26.616 0.36 118.63 -30.000 0.00 118.56 2.006 0.756
1.65 9.256 48.608 -75.837 -27.229 0.30 118.26 -30.000 0.03 117.63 2.050 0.747
1.75 9.029 52.723 -80.454 -27.732 0.27 117.27 -30.000 0.14 115.78 2.059 0.719
1.85 8.705 56.550 -84.693 -28.143 0.27 115.47 -30.000 0.34 112.91 2.024 0.669
1.95 8.305 59.972 -88.451 -28.479 0.32 112.75 -30.000 0.63 109.03 1.940 0.598
2.05 7.856 62.886 -91.641 -28.755 0.43 109.15 -30.000 1.00 104.31 1.807 0.509
2.15 7.380 65.213 -94.194 -28.981 0.59 104.77 -30.000 1.44 99.02 1.631 0.407
2.25 6.897 66.900 -96.066 -29.165 0.81 99.82 -30.000 1.91 93.41 1.423 0.295
2.35 6.421 67.912 -97.229 -29.317 1.08 94.50 -30.000 2.40 87.69 1.202 0.177
2.45 5.964 68.224 -97.664 -29.441 1.39 88.99 -30.000 2.91 81.98 0.987 0.054
2.55 5.531 67.811 -97.353 -29.542 1.74 83.41 -30.000 3.43 76.35 0.796 -0.072
2.65 5.125 66.643 -96.268 -29.625 2.11 77.84 -30.000 3.94 70.82 0.641 -0.204
2.75 4.749 64.669 -94.362 -29.693 2.52 72.34 -30.000 4.47 65.42 0.526 -0.344
2.85 4.403 61.817 -91.566 -29.749 2.94 66.93 -30.000 5.00 60.13 0.449 -0.497
2.95 4.090 57.983 -87.777 -29.794 3.39 61.64 -30.000 5.53 54.98 0.401 -0.668
3.05 3.812 53.037 -82.868 -29.832 3.85 56.48 -30.000 6.06 50.02 0.374 -0.862
3.15 3.577 46.837 -76.699 -29.862 4.32 51.54 -30.000 6.59 45.36 0.361 -1.081
3.25 3.397 39.282 -69.169 -29.887 4.81 46.91 -30.000 7.11 41.19 0.357 -1.318
3.35 3.289 30.413 -60.320 -29.908 5.30 42.77 -30.000 7.63 37.73 0.359 -1.549
