t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 13.415 -2.224 -2.110 -4.334 14.63 0.39 -0.715 13.95 1.38 0.841 -0.150
0.15 13.474 -2.628 0.056 -2.572 14.31 1.55 7.285 12.56 3.02 0.968 -0.073
0.25 13.512 -2.450 2.693 0.243 13.81 2.64 14.471 11.16 3.96 1.115 0.030
0.35 13.515 -1.727 4.888 3.161 13.12 2.83 16.547 9.66 2.64 1.223 0.128
0.45 13.481 -0.712 5.933 5.221 12.28 2.01 13.559 8.16 0.88 1.255 0.180
0.55 13.416 0.308 5.586 5.894 11.33 2.25 7.365 6.66 3.30 1.229 0.180
0.65 13.332 1.178 4.194 5.373 10.27 5.19 1.828 5.16 9.77 1.185 0.152
0.75 13.233 1.878 2.325 4.203 9.14 10.01 -1.846 3.66 16.36 1.145 0.122
0.85 13.127 2.411 0.449 2.860 7.94 14.73 -3.429 2.16 20.45 1.105 0.092
0.95 13.014 2.799 -0.890 1.909 6.68 18.37 -1.795 0.66 22.54 1.078 0.067
1.05 12.892 3.107 -1.373 1.734 5.47 20.20 1.804 0.00 21.78 1.065 0.053
1.15 12.756 3.347 -1.328 2.019 4.48 19.54 3.517 0.00 17.95 1.042 0.043
1.25 12.608 3.432 -1.339 2.093 3.67 17.28 1.849 0.00 14.23 0.995 0.016
1.35 12.456 3.291 -1.674 1.618 3.00 15.97 -1.226 0.00 15.09 0.946 -0.025
1.45 12.307 3.012 -2.062 0.951 2.46 17.74 -2.052 0.00 21.00 0.936 -0.051
1.55 12.163 2.788 -2.077 0.711 2.01 21.56 0.339 0.00 26.58 0.968 -0.041
1.65 12.018 2.727 -1.678 1.048 1.65 24.30 3.143 0.00 26.98 1.001 -0.010
1.75 11.870 2.742 -1.267 1.475 1.35 24.39 3.229 0.00 23.74 1.000 0.005
1.85 11.719 2.672 -1.190 1.482 1.10 23.18 0.863 0.00 21.65 0.970 -0.011
1.95 11.571 2.462 -1.429 1.033 0.90 23.35 -1.427 0.00 24.39 0.947 -0.038
2.05 11.431 2.228 -1.577 0.651 0.74 26.06 -0.692 0.00 30.11 0.961 -0.043
2.15 11.295 2.118 -1.334 0.784 0.61 29.12 2.044 0.00 32.59 0.993 -0.020
2.25 11.158 2.122 -0.910 1.211 0.50 30.14 3.277 0.00 30.67 1.004 0.002
2.35 11.019 2.102 -0.645 1.457 0.41 29.27 2.211 0.00 27.81 0.986 -0.002
2.45 10.881 1.958 -0.617 1.340 0.33 28.37 0.402 0.00 27.58 0.960 -0.025
2.55 10.749 1.727 -0.643 1.084 0.27 29.19 -0.046 0.00 30.85 0.955 -0.042
2.65 10.622 1.536 -0.466 1.070 0.22 31.34 1.422 0.00 34.19 0.973 -0.034
2.75 10.497 1.447 -0.116 1.331 0.18 32.97 2.758 0.00 34.62 0.990 -0.015
2.85 10.371 1.397 0.202 1.599 0.15 33.23 2.724 0.00 33.18 0.989 -0.008
2.95 10.246 1.299 0.391 1.690 0.12 32.86 1.889 0.00 32.40 0.975 -0.017
3.05 10.123 1.136 0.512 1.649 0.10 33.06 1.394 0.00 33.61 0.967 -0.029
3.15 10.004 0.967 0.689 1.656 0.08 34.16 1.846 0.00 35.78 0.973 -0.030
3.25 9.887 0.848 0.951 1.799 0.07 35.48 2.614 0.00 37.07 0.984 -0.021
3.35 9.770 0.771 1.224 1.995 0.05 36.30 2.920 0.00 37.13 0.988 -0.013
3.45 9.654 0.695 1.446 2.141 0.05 36.63 2.742 0.00 36.96 0.985 -0.013
3.55 9.539 0.594 1.623 2.217 0.04 36.95 2.514 0.00 37.44 0.981 -0.018
3.65 9.426 0.478 1.798 2.277 0.03 37.61 2.585 0.00 38.54 0.981 -0.021
