t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 5.487 4.931 -1.534 3.396 28.29 74.49 -0.223 27.62 77.35 1.088 0.141
0.15 5.766 5.969 -4.335 1.635 27.96 78.96 -8.223 26.12 85.35 1.120 0.180
0.25 6.084 7.237 -8.456 -1.219 27.42 85.15 -15.808 24.62 93.35 1.146 0.221
0.35 6.463 8.612 -13.204 -4.592 26.71 92.22 -20.846 23.12 101.35 1.160 0.239
0.45 6.915 10.220 -18.142 -7.922 25.85 99.75 -23.497 21.62 109.35 1.239 0.277
0.55 7.439 12.445 -23.436 -10.992 24.87 107.40 -25.260 20.12 117.03 1.340 0.387
0.65 8.023 15.161 -29.012 -13.850 23.80 112.91 -27.279 18.62 118.73 1.426 0.476
0.75 8.638 18.141 -34.794 -16.653 22.67 115.74 -30.000 17.25 118.73 1.496 0.521
0.85 9.244 21.296 -40.369 -19.073 21.55 117.19 -30.000 16.31 118.73 1.573 0.551
0.95 9.798 24.648 -45.701 -21.054 20.51 117.94 -30.000 15.67 118.73 1.664 0.585
1.05 10.259 28.229 -50.904 -22.675 19.57 118.32 -30.000 15.23 118.73 1.767 0.625
1.15 10.595 32.051 -56.054 -24.003 18.74 118.52 -30.000 14.89 118.73 1.876 0.667
1.25 10.780 36.091 -61.181 -25.090 18.00 118.62 -30.000 14.64 118.73 1.980 0.706
1.35 10.800 40.284 -66.264 -25.980 17.37 118.67 -30.000 14.45 118.73 2.067 0.733
1.45 10.659 44.527 -71.236 -26.709 16.82 118.70 -30.000 14.34 118.73 2.124 0.741
1.55 10.375 48.686 -75.991 -27.305 16.37 118.63 -30.000 14.30 118.47 2.137 0.727
1.65 9.979 52.610 -80.403 -27.794 15.99 118.22 -30.000 14.32 117.57 2.098 0.686
1.75 9.506 56.149 -84.342 -28.194 15.70 117.31 -30.000 14.43 115.98 2.002 0.619
1.85 8.991 59.173 -87.694 -28.521 15.50 115.79 -30.000 14.61 113.66 1.853 0.529
1.95 8.467 61.584 -90.373 -28.789 15.37 113.61 -30.000 14.87 110.64 1.659 0.421
2.05 7.956 63.321 -92.330 -29.009 15.32 110.77 -30.000 15.19 106.99 1.438 0.303
2.15 7.475 64.357 -93.546 -29.188 15.35 107.35 -30.000 15.57 102.86 1.210 0.181
2.25 7.032 64.691 -94.027 -29.336 15.45 103.46 -30.000 15.98 98.41 0.996 0.058
2.35 6.632 64.340 -93.796 -29.456 15.61 99.23 -30.000 16.42 93.78 0.813 -0.062
2.45 6.277 63.330 -92.884 -29.555 15.82 94.77 -30.000 16.89 89.08 0.669 -0.177
2.55 5.966 61.690 -91.326 -29.635 16.08 90.18 -30.000 17.37 84.36 0.565 -0.286
