t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 6.002 -0.043 -0.320 -0.363 2.80 62.65 -3.812 3.45 59.79 0.983 0.000
0.15 6.018 -0.488 -0.931 -1.419 3.12 58.26 -6.489 4.93 52.08 0.922 -0.074
0.25 6.056 -1.310 -1.342 -2.652 3.65 57.60 -8.501 6.43 58.53 0.912 -0.150
0.35 6.122 -1.954 -1.876 -3.830 4.36 60.80 -9.429 7.91 65.44 0.950 -0.116
0.45 6.216 -2.285 -2.676 -4.961 5.21 62.65 -10.128 9.40 63.80 0.970 -0.053
0.55 6.335 -2.619 -3.156 -5.775 6.18 61.21 -9.168 10.89 58.67 0.953 -0.056
0.65 6.474 -3.123 -3.093 -6.216 7.24 59.28 -7.891 12.38 57.31 0.936 -0.090
0.75 6.631 -3.625 -2.788 -6.413 8.38 59.20 -7.485 13.87 59.51 0.948 -0.089
0.85 6.804 -4.022 -2.648 -6.670 9.57 58.74 -7.872 15.31 57.74 0.955 -0.068
0.95 6.995 -4.415 -2.491 -6.905 10.81 57.14 -7.973 16.71 54.90 0.949 -0.068
1.05 7.202 -4.825 -2.243 -7.069 12.05 55.83 -7.822 17.92 54.35 0.949 -0.072
1.15 7.425 -5.221 -2.097 -7.318 13.19 54.37 -8.557 18.44 52.52 0.948 -0.069
1.25 7.662 -5.592 -1.971 -7.563 14.11 53.25 -8.777 18.15 51.99 0.953 -0.065
1.35 7.909 -5.900 -1.881 -7.781 14.76 52.34 -8.695 17.55 51.14 0.962 -0.053
1.45 8.163 -6.142 -1.778 -7.919 15.17 51.22 -8.513 16.85 49.72 0.969 -0.042
1.55 8.418 -6.329 -1.629 -7.957 15.39 49.91 -7.984 16.26 48.22 0.976 -0.032
1.65 8.671 -6.461 -1.410 -7.871 15.49 48.52 -7.290 15.83 46.76 0.984 -0.023
1.75 8.919 -6.530 -1.174 -7.704 15.51 47.22 -6.969 15.54 45.63 0.995 -0.012
1.85 9.161 -6.521 -1.004 -7.525 15.51 46.38 -6.623 15.55 45.52 1.010 0.001
