t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 13.415 -2.229 -2.111 -4.341 14.63 0.00 -0.782 13.96 0.00 0.836 -0.150
0.15 13.474 -2.681 0.056 -2.625 14.31 0.39 6.926 12.48 1.38 0.953 -0.082
0.25 13.515 -2.576 2.365 -0.211 13.77 2.01 11.324 10.99 4.15 1.091 0.018
0.35 13.526 -2.003 3.857 1.854 13.06 2.79 11.094 9.50 3.21 1.174 0.102
0.45 13.506 -1.213 4.707 3.494 12.21 1.84 10.607 8.02 0.21 1.198 0.140
0.55 13.460 -0.403 4.905 4.503 11.25 0.94 8.538 6.54 0.00 1.187 0.143
0.65 13.389 0.349 4.721 5.071 10.19 1.49 7.256 5.08 2.86 1.172 0.131
0.75 13.296 1.057 4.268 5.324 9.06 3.77 6.287 3.65 7.09 1.164 0.123
0.85 13.181 1.745 3.719 5.464 7.89 6.95 6.142 2.26 11.05 1.160 0.119
0.95 13.045 2.425 3.233 5.658 6.68 10.16 6.685 0.90 14.19 1.157 0.118
1.05 12.888 3.114 2.831 5.944 5.50 13.68 7.493 0.00 18.07 1.160 0.120
1.15 12.712 3.801 2.656 6.458 4.53 15.48 9.155 0.31 16.81 1.149 0.121
1.25 12.519 4.392 2.679 7.071 3.86 14.99 10.057 0.99 14.03 1.116 0.104
1.35 12.314 4.854 2.922 7.776 3.39 14.65 11.314 1.34 14.47 1.091 0.080
1.45 12.100 5.244 3.396 8.640 2.99 14.71 12.943 1.10 14.74 1.079 0.068
1.55 11.875 5.573 3.932 9.505 2.56 14.39 13.481 0.42 13.90 1.061 0.058
1.65 11.641 5.813 4.383 10.196 2.10 14.15 13.261 0.00 14.00 1.040 0.042
1.75 11.402 5.966 4.733 10.699 1.72 14.83 12.873 0.00 16.05 1.025 0.026
1.85 11.158 6.072 4.967 11.038 1.41 16.52 12.484 0.00 18.92 1.018 0.018
1.95 10.912 6.161 5.101 11.262 1.16 18.87 12.215 0.00 22.01 1.017 0.015
2.05 10.663 6.248 5.130 11.378 0.95 21.44 11.756 0.00 24.67 1.016 0.015
2.15 10.415 6.318 5.008 11.326 0.77 23.91 10.908 0.00 27.00 1.010 0.012
