t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 5.486 4.854 -1.457 3.396 28.32 72.22 -0.223 27.90 69.35 1.060 0.141
0.15 5.763 5.111 -3.471 1.640 28.21 67.74 -8.171 27.70 61.35 0.988 0.051
0.25 6.060 4.587 -4.520 0.067 28.21 61.55 -5.572 28.45 53.35 0.906 -0.092
0.35 6.368 3.410 -4.282 -0.872 28.38 54.48 -5.948 29.34 45.35 0.835 -0.203
0.45 6.691 1.655 -3.936 -2.281 28.69 46.97 -9.052 30.26 37.38 0.761 -0.305
0.55 7.037 -0.585 -3.501 -4.086 28.97 39.73 -13.139 30.26 30.99 0.697 -0.391
0.65 7.412 -3.047 -2.675 -5.722 29.20 35.24 -13.082 30.26 31.12 0.681 -0.435
0.75 7.815 -5.226 -1.847 -7.073 29.25 35.64 -13.132 29.12 37.48 0.735 -0.384
0.85 8.237 -6.759 -1.299 -8.058 29.02 39.12 -12.526 27.67 44.11 0.827 -0.269
0.95 8.667 -7.609 -1.109 -8.718 28.58 42.35 -11.191 26.21 45.59 0.911 -0.146
1.05 9.091 -8.004 -0.928 -8.931 27.94 42.78 -9.696 24.73 42.54 0.959 -0.067
1.15 9.502 -8.153 -0.800 -8.954 27.16 41.96 -8.750 23.25 41.00 0.992 -0.026
1.25 9.895 -8.094 -0.726 -8.820 26.24 41.78 -8.009 21.77 41.73 1.030 0.010
1.35 10.265 -7.833 -0.733 -8.566 25.23 41.44 -7.261 20.31 40.75 1.063 0.046
1.45 10.611 -7.449 -0.956 -8.405 24.14 40.56 -7.973 18.90 39.45 1.080 0.068
1.55 10.935 -7.013 -1.527 -8.540 23.00 40.13 -9.491 17.48 39.76 1.088 0.076
1.65 11.238 -6.559 -2.173 -8.732 21.79 39.71 -9.612 16.01 39.02 1.091 0.080
1.75 11.519 -6.140 -2.824 -8.963 20.54 38.35 -10.153 14.53 36.31 1.078 0.074
1.85 11.779 -5.789 -3.360 -9.149 19.25 37.26 -9.896 13.10 36.41 1.071 0.060
1.95 12.019 -5.442 -3.902 -9.344 18.01 37.41 -10.402 12.26 37.73 1.076 0.061
2.05 12.240 -5.101 -4.501 -9.602 16.99 37.10 -10.788 12.50 36.44 1.070 0.060
2.15 12.447 -4.801 -4.908 -9.709 16.26 36.25 -9.945 13.13 35.11 1.063 0.052
2.25 12.639 -4.520 -5.098 -9.618 15.78 35.42 -8.996 13.77 34.46 1.064 0.049
2.35 12.819 -4.225 -5.183 -9.408 15.51 34.90 -8.310 14.41 34.32 1.071 0.051
2.45 12.988 -3.907 -5.305 -9.212 15.36 34.21 -8.345 14.77 33.16 1.074 0.056
2.55 13.147 -3.605 -5.379 -8.984 15.25 32.72 -7.770 14.69 30.55 1.067 0.053
2.65 13.294 -3.340 -5.294 -8.634 15.12 30.57 -6.813 14.48 27.77 1.059 0.046
2.75 13.428 -3.100 -5.094 -8.195 15.01 28.56 -6.052 14.59 26.16 1.057 0.042
2.85 13.550 -2.860 -4.870 -7.730 15.00 26.86 -5.513 15.10 24.73 1.059 0.042
2.95 13.662 -2.618 -4.636 -7.254 15.11 24.93 -4.957 15.75 22.36 1.058 0.043
3.05 13.765 -2.385 -4.325 -6.710 15.31 22.67 -4.004 16.35 19.77 1.056 0.041
3.15 13.859 -2.160 -3.981 -6.141 15.56 20.31 -3.511 16.80 17.30 1.054 0.040
3.25 13.945 -1.956 -3.659 -5.615 15.84 17.63 -3.121 17.20 14.10 1.047 0.036
3.35 14.025 -1.797 -3.333 -5.129 16.13 14.45 -2.932 17.52 10.28 1.033 0.029
3.45 14.099 -1.691 -2.942 -4.633 16.39 11.24 -2.408 17.52 7.29 1.021 0.019
3.55 14.167 -1.620 -2.549 -4.169 16.55 8.41 -2.070 17.13 4.92 1.015 0.013
3.65 14.229 -1.580 -2.231 -3.811 16.58 5.73 -2.209 16.63 2.38 1.006 0.007
3.75 14.286 -1.575 -1.943 -3.518 16.54 3.23 -2.201 16.27 0.14 0.997 0.001
3.85 14.338 -1.590 -1.725 -3.315 16.46 1.66 -2.449 16.10 0.00 0.996 -0.003
3.95 14.387 -1.596 -1.570 -3.166 16.39 0.85 -2.488 16.07 0.00 1.001 -0.001
4.05 14.432 -1.577 -1.456 -3.033 16.33 0.44 -2.413 16.06 0.00 1.009 0.003
4.15 14.474 -1.529 -1.389 -2.918 16.28 0.22 -2.401 16.04 0.00 1.016 0.008
4.25 14.513 -1.457 -1.369 -2.827 16.23 0.12 -2.421 16.02 0.00 1.021 0.013
4.35 14.550 -1.370 -1.392 -2.762 16.19 0.06 -2.491 16.00 0.00 1.024 0.015
4.45 14.583 -1.276 -1.459 -2.735 16.15 0.03 -2.657 15.97 0.00 1.025 0.017
4.55 14.615 -1.184 -1.561 -2.745 16.11 0.02 -2.828 15.91 0.00 1.023 0.016
4.65 14.644 -1.101 -1.682 -2.783 16.07 0.01 -2.993 15.85 0.00 1.020 0.015
4.75 14.671 -1.030 -1.810 -2.841 16.02 0.00 -3.133 15.81 0.00 1.017 0.012
4.85 14.697 -0.974 -1.934 -2.908 15.98 0.00 -3.232 15.81 0.00 1.013 0.010
4.95 14.722 -0.930 -2.051 -2.982 15.95 0.00 -3.339 15.83 0.00 1.010 0.008
5.05 14.745 -0.899 -2.154 -3.053 15.94 0.00 -3.376 15.88 0.00 1.007 0.006
5.15 14.769 -0.874 -2.231 -3.105 15.93 0.00 -3.333 15.92 0.00 1.006 0.004
5.25 14.791 -0.853 -2.290 -3.142 15.94 0.00 -3.300 15.96 0.00 1.006 0.004
5.35 14.813 -0.831 -2.336 -3.167 15.95 0.00 -3.275 15.99 0.00 1.006 0.004
5.45 14.835 -0.807 -2.377 -3.185 15.96 0.00 -3.262 16.02 0.00 1.006 0.004
5.55 14.856 -0.782 -2.417 -3.199 15.97 0.00 -3.266 16.04 0.00 1.007 0.004
5.65 14.876 -0.755 -2.458 -3.213 15.99 0.00 -3.278 16.05 0.00 1.007 0.005
5.75 14.896 -0.726 -2.501 -3.227 16.00 0.00 -3.297 16.06 0.00 1.008 0.005
5.85 14.916 -0.698 -2.546 -3.243 16.01 0.00 -3.321 16.06 0.00 1.008 0.005
5.95 14.935 -0.669 -2.593 -3.263 16.02 0.00 -3.361 16.07 0.00 1.007 0.005
6.05 14.953 -0.643 -2.643 -3.285 16.03 0.00 -3.398 16.06 0.00 1.007 0.005
6.15 14.971 -0.618 -2.693 -3.311 16.03 0.00 -3.433 16.06 0.00 1.006 0.004
6.25 14.988 -0.595 -2.742 -3.337 16.04 0.00 -3.464 16.07 0.00 1.006 0.004
6.35 15.005 -0.575 -2.789 -3.364 16.05 0.00 -3.490 16.07 0.00 1.005 0.004
6.45 15.021 -0.556 -2.834 -3.390 16.05 0.00 -3.512 16.07 0.00 1.005 0.003
6.55 15.037 -0.539 -2.876 -3.414 16.05 0.00 -3.529 16.08 0.00 1.004 0.003
6.65 15.053 -0.522 -2.914 -3.437 16.06 0.00 -3.542 16.10 0.00 1.004 0.003
6.75 15.068 -0.507 -2.950 -3.457 16.07 0.00 -3.548 16.12 0.00 1.004 0.003
6.85 15.083 -0.491 -2.983 -3.474 16.08 0.00 -3.554 16.15 0.00 1.004 0.003
6.95 15.098 -0.475 -3.014 -3.490 16.10 0.00 -3.561 16.17 0.00 1.004 0.003
7.05 15.113 -0.459 -3.045 -3.504 16.11 0.00 -3.570 16.19 0.00 1.004 0.003
7.15 15.127 -0.443 -3.075 -3.517 16.13 0.00 -3.581 16.21 0.00 1.004 0.003
7.25 15.141 -0.426 -3.104 -3.530 16.15 0.00 -3.586 16.22 0.00 1.005 0.003
7.35 15.154 -0.409 -3.132 -3.541 16.16 0.00 -3.593 16.24 0.00 1.005 0.003
7.45 15.168 -0.391 -3.160 -3.551 16.18 0.00 -3.601 16.26 0.00 1.005 0.003
7.55 15.181 -0.373 -3.188 -3.561 16.19 0.00 -3.609 16.27 0.00 1.005 0.003
7.65 15.194 -0.355 -3.216 -3.571 16.21 0.00 -3.618 16.28 0.00 1.005 0.003
7.75 15.207 -0.337 -3.244 -3.581 16.23 0.00 -3.626 16.30 0.00 1.005 0.003
7.85 15.219 -0.319 -3.271 -3.590 16.24 0.00 -3.635 16.31 0.00 1.005 0.003
7.95 15.231 -0.301 -3.298 -3.599 16.26 0.00 -3.643 16.33 0.00 1.005 0.003
8.05 15.243 -0.284 -3.324 -3.608 16.27 0.00 -3.647 16.34 0.00 1.005 0.003
8.15 15.255 -0.266 -3.349 -3.615 16.28 0.00 -3.650 16.34 0.00 1.005 0.003
8.25 15.266 -0.249 -3.373 -3.622 16.29 0.00 -3.652 16.35 0.00 1.005 0.003
8.35 15.277 -0.231 -3.397 -3.628 16.30 0.00 -3.655 16.35 0.00 1.005 0.003
8.45 15.288 -0.213 -3.420 -3.633 16.31 0.00 -3.658 16.36 0.00 1.005 0.003
8.55 15.298 -0.196 -3.442 -3.638 16.32 0.00 -3.661 16.36 0.00 1.005 0.003
8.65 15.308 -0.178 -3.464 -3.643 16.33 0.00 -3.663 16.36 0.00 1.005 0.003
8.75 15.318 -0.161 -3.486 -3.647 16.34 0.00 -3.666 16.37 0.00 1.005 0.003
8.85 15.327 -0.144 -3.507 -3.651 16.34 0.00 -3.669 16.37 0.00 1.005 0.003
8.95 15.336 -0.127 -3.527 -3.654 16.35 0.00 -3.672 16.37 0.00 1.005 0.003
9.05 15.345 -0.110 -3.548 -3.658 16.35 0.00 -3.674 16.38 0.00 1.004 0.003
9.15 15.354 -0.094 -3.567 -3.661 16.36 0.00 -3.677 16.38 0.00 1.004 0.003
9.25 15.362 -0.078 -3.586 -3.664 16.36 0.00 -3.679 16.38 0.00 1.004 0.003
9.35 15.370 -0.063 -3.604 -3.667 16.37 0.00 -3.681 16.39 0.00 1.004 0.003
9.45 15.377 -0.048 -3.622 -3.670 16.37 0.00 -3.685 16.39 0.00 1.004 0.003
9.55 15.384 -0.033 -3.640 -3.673 16.37 0.00 -3.687 16.39 0.00 1.004 0.003
9.65 15.391 -0.019 -3.657 -3.676 16.37 0.00 -3.690 16.38 0.00 1.004 0.002
9.75 15.398 -0.006 -3.673 -3.679 16.38 0.00 -3.692 16.38 0.00 1.004 0.002
9.85 15.404 0.007 -3.689 -3.682 16.38 0.00 -3.694 16.38 0.00 1.003 0.002
9.95 15.410 0.019 -3.704 -3.684 16.38 0.00 -3.696 16.38 0.00 1.003 0.002
10.05 15.416 0.031 -3.718 -3.687 16.38 0.00 -3.698 16.38 0.00 1.003 0.002
10.15 15.422 0.043 -3.732 -3.689 16.38 0.00 -3.699 16.38 0.00 1.003 0.002
10.25 15.427 0.054 -3.745 -3.691 16.38 0.00 -3.701 16.38 0.00 1.003 0.002
10.35 15.432 0.065 -3.758 -3.693 16.38 0.00 -3.702 16.38 0.00 1.003 0.002
10.45 15.437 0.075 -3.770 -3.695 16.38 0.00 -3.703 16.38 0.00 1.003 0.002
10.55 15.442 0.085 -3.781 -3.696 16.38 0.00 -3.704 16.38 0.00 1.003 0.002
10.65 15.446 0.094 -3.792 -3.698 16.38 0.00 -3.705 16.38 0.00 1.003 0.002
10.75 15.451 0.103 -3.803 -3.699 16.38 0.00 -3.706 16.37 0.00 1.002 0.002
10.85 15.455 0.112 -3.813 -3.701 16.38 0.00 -3.707 16.37 0.00 1.002 0.002
10.95 15.459 0.120 -3.823 -3.702 16.38 0.00 -3.708 16.37 0.00 1.002 0.001
11.05 15.462 0.128 -3.832 -3.703 16.38 0.00 -3.709 16.37 0.00 1.002 0.001
11.15 15.466 0.136 -3.841 -3.705 16.37 0.00 -3.710 16.37 0.00 1.002 0.001
11.25 15.469 0.143 -3.849 -3.706 16.37 0.00 -3.711 16.37 0.00 1.002 0.001
11.35 15.472 0.150 -3.857 -3.707 16.37 0.00 -3.712 16.37 0.00 1.002 0.001
11.45 15.475 0.157 -3.865 -3.708 16.37 0.00 -3.712 16.37 0.00 1.002 0.001
11.55 15.478 0.163 -3.872 -3.709 16.37 0.00 -3.713 16.37 0.00 1.002 0.001
11.65 15.481 0.169 -3.879 -3.709 16.37 0.00 -3.713 16.37 0.00 1.002 0.001
11.75 15.483 0.175 -3.885 -3.710 16.37 0.00 -3.712 16.37 0.00 1.002 0.001
11.85 15.486 0.181 -3.891 -3.710 16.37 0.00 -3.712 16.37 0.00 1.002 0.001
11.95 15.488 0.186 -3.897 -3.711 16.37 0.00 -3.711 16.37 0.00 1.001 0.001
12.05 15.490 0.191 -3.902 -3.711 16.37 0.00 -3.711 16.36 0.00 1.001 0.001
12.15 15.493 0.196 -3.907 -3.711 16.37 0.00 -3.711 16.36 0.00 1.001 0.001
12.25 15.495 0.201 -3.912 -3.711 16.37 0.00 -3.711 16.36 0.00 1.001 0.001
12.35 15.496 0.206 -3.917 -3.711 16.37 0.00 -3.710 16.36 0.00 1.001 0.001
