t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 6.000 0.000 -0.000 0.000 2.80 63.78 0.000 3.48 63.78 1.000 0.000
0.15 6.003 0.001 -0.001 0.000 3.13 63.78 0.000 4.98 63.78 1.000 0.000
0.25 6.011 0.003 -0.003 0.000 3.67 63.77 0.000 6.48 63.74 1.000 0.000
0.35 6.027 0.009 -0.009 0.000 4.39 63.72 0.000 7.98 63.66 1.001 0.001
0.45 6.053 0.019 -0.019 0.000 5.25 63.64 0.000 9.48 63.53 1.001 0.002
0.55 6.089 0.033 -0.033 0.000 6.22 63.52 0.000 10.98 63.34 1.002 0.003
0.65 6.138 0.053 -0.053 0.000 7.29 63.34 0.000 12.48 63.09 1.002 0.003
0.75 6.201 0.077 -0.077 0.000 8.44 63.10 0.000 13.98 62.77 1.003 0.004
0.85 6.277 0.107 -0.107 0.000 9.65 62.79 0.000 15.48 62.37 1.004 0.005
0.95 6.367 0.141 -0.141 0.000 10.91 62.40 0.000 16.98 61.89 1.004 0.006
1.05 6.472 0.180 -0.180 0.000 12.22 61.94 0.000 18.48 61.33 1.005 0.007
1.15 6.593 0.223 -0.223 0.000 13.56 61.40 0.000 19.98 60.68 1.005 0.008
1.25 6.728 0.269 -0.269 0.000 14.93 60.77 0.000 21.48 59.94 1.006 0.008
1.35 6.879 0.318 -0.318 0.000 16.33 60.04 0.000 22.98 59.10 1.006 0.009
1.45 7.045 0.370 -0.370 0.000 17.74 59.22 0.000 24.48 58.16 1.007 0.009
1.55 7.227 0.423 -0.423 0.000 19.17 58.30 0.000 25.98 57.10 1.007 0.010
1.65 7.423 0.479 -0.479 0.000 20.61 57.27 0.000 27.48 55.93 1.008 0.010
1.75 7.635 0.536 -0.536 0.000 22.06 56.13 0.000 28.98 54.65 1.008 0.010
1.85 7.860 0.593 -0.593 0.000 23.28 54.87 0.000 28.71 53.23 1.008 0.010
1.95 8.095 0.650 -0.650 0.000 24.21 53.49 0.000 28.29 51.71 1.008 0.010
2.05 8.336 0.704 -0.704 0.000 24.89 52.01 0.000 27.87 50.11 1.008 0.010
2.15 8.580 0.755 -0.755 0.000 25.37 50.44 0.000 27.45 48.43 1.008 0.009
2.25 8.824 0.799 -0.799 0.000 25.69 48.80 0.000 27.03 46.71 1.007 0.008
2.35 9.068 0.838 -0.838 0.000 25.88 47.11 0.000 26.62 44.95 1.006 0.007
2.45 9.308 0.870 -0.870 0.000 25.96 45.37 0.000 26.23 43.17 1.005 0.006
2.55 9.544 0.896 -0.896 0.000 25.95 43.61 0.000 25.85 41.37 1.004 0.005
2.65 9.776 0.915 -0.915 0.000 25.89 41.82 0.000 25.49 39.56 1.003 0.004
