t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 13.416 -2.216 -2.169 -4.385 14.63 1.13 -1.250 13.95 4.00 0.847 -0.150
0.15 13.478 -2.617 -1.224 -3.841 14.30 5.61 -1.423 12.45 12.00 0.958 -0.071
0.25 13.533 -2.623 -0.802 -3.425 13.76 8.93 -1.585 10.95 12.05 1.029 0.001
0.35 13.576 -2.442 -0.669 -3.110 13.04 10.03 -1.718 9.45 11.02 1.055 0.033
0.45 13.604 -2.196 -0.675 -2.871 12.19 10.31 -1.813 7.95 10.53 1.062 0.043
0.55 13.617 -1.942 -0.746 -2.687 11.21 10.32 -1.866 6.45 10.29 1.060 0.045
0.65 13.612 -1.704 -0.837 -2.540 10.14 10.26 -1.877 4.95 10.18 1.055 0.042
0.75 13.591 -1.493 -0.923 -2.416 8.99 10.21 -1.843 3.45 10.15 1.047 0.037
0.85 13.554 -1.315 -0.987 -2.302 7.78 10.19 -1.766 1.95 10.17 1.039 0.031
0.95 13.499 -1.171 -1.017 -2.188 6.52 10.20 -1.643 0.45 10.22 1.030 0.025
1.05 13.429 -1.061 -1.005 -2.066 5.34 10.24 -1.474 0.00 10.30 1.022 0.019
1.15 13.345 -0.983 -0.947 -1.930 4.37 10.30 -1.261 0.00 10.39 1.015 0.014
1.25 13.250 -0.934 -0.841 -1.775 3.58 10.39 -1.012 0.00 10.50 1.008 0.008
1.35 13.148 -0.910 -0.688 -1.598 2.93 10.48 -0.731 0.00 10.60 1.003 0.004
1.45 13.039 -0.908 -0.491 -1.399 2.40 10.58 -0.424 0.00 10.70 0.998 0.000
1.55 12.925 -0.923 -0.253 -1.176 1.96 10.68 -0.092 0.00 10.80 0.995 -0.003
1.65 12.808 -0.949 -0.014 -0.963 1.61 11.08 0.000 0.00 11.78 0.994 -0.005
1.75 12.688 -0.970 0.182 -0.788 1.32 11.90 0.000 0.00 13.01 0.996 -0.004
1.85 12.566 -0.979 0.334 -0.646 1.08 12.90 0.000 0.00 14.21 0.999 -0.002
1.95 12.444 -0.977 0.449 -0.529 0.88 14.00 0.000 0.00 15.41 1.001 0.000
2.05 12.321 -0.966 0.534 -0.433 0.72 15.14 0.000 0.00 16.60 1.003 0.002
2.15 12.199 -0.949 0.595 -0.354 0.59 16.31 0.000 0.00 17.79 1.004 0.003
2.25 12.077 -0.928 0.638 -0.290 0.48 17.49 0.000 0.00 18.97 1.005 0.004
