t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 5.487 4.854 -1.437 3.418 28.44 72.22 0.000 29.12 69.35 1.061 0.141
0.15 5.759 5.182 -2.384 2.798 28.73 67.74 0.000 30.26 61.35 1.004 0.061
0.25 6.039 5.034 -2.743 2.291 29.01 64.43 0.000 30.26 61.12 0.971 -0.029
0.35 6.325 4.721 -2.846 1.876 29.23 62.68 0.000 30.26 60.70 0.962 -0.055
0.45 6.616 4.385 -2.849 1.536 29.42 61.29 0.000 30.26 59.57 0.961 -0.059
0.55 6.910 4.062 -2.804 1.257 29.57 59.92 0.000 30.26 58.18 0.962 -0.056
0.65 7.206 3.761 -2.732 1.029 29.67 58.48 0.000 30.00 56.63 0.963 -0.052
0.75 7.502 3.486 -2.643 0.843 29.65 56.95 0.000 29.43 54.99 0.965 -0.048
0.85 7.795 3.234 -2.544 0.690 29.54 55.33 0.000 28.88 53.27 0.967 -0.044
0.95 8.085 3.004 -2.439 0.565 29.35 53.64 0.000 28.35 51.48 0.969 -0.040
1.05 8.368 2.794 -2.332 0.463 29.09 51.89 0.000 27.85 49.66 0.970 -0.036
1.15 8.646 2.603 -2.224 0.379 28.80 50.09 0.000 27.36 47.81 0.972 -0.033
1.25 8.916 2.427 -2.117 0.310 28.48 48.26 0.000 26.90 45.93 0.974 -0.030
1.35 9.179 2.266 -2.012 0.254 28.13 46.40 0.000 26.46 44.05 0.975 -0.028
1.45 9.433 2.119 -1.911 0.208 27.77 44.53 0.000 26.04 42.16 0.977 -0.025
1.55 9.679 1.983 -1.813 0.170 27.40 42.65 0.000 25.65 40.28 0.978 -0.023
1.65 9.917 1.858 -1.719 0.139 27.03 40.78 0.000 25.28 38.42 0.979 -0.021
1.75 10.146 1.743 -1.629 0.114 26.66 38.92 0.000 24.93 36.57 0.980 -0.020
1.85 10.367 1.637 -1.543 0.093 26.30 37.07 0.000 24.60 34.75 0.981 -0.018
1.95 10.580 1.538 -1.462 0.076 25.95 35.25 0.000 24.29 32.95 0.983 -0.017
2.05 10.784 1.447 -1.385 0.063 25.61 33.45 0.000 24.00 31.19 0.983 -0.016
2.15 10.981 1.363 -1.312 0.051 25.28 31.68 0.000 23.72 29.46 0.984 -0.014
2.25 11.169 1.285 -1.243 0.042 24.96 29.95 0.000 23.47 27.76 0.985 -0.013
2.35 11.351 1.212 -1.177 0.034 24.66 28.25 0.000 23.22 26.11 0.986 -0.012
2.45 11.525 1.144 -1.116 0.028 24.36 26.58 0.000 23.00 24.49 0.987 -0.012
2.55 11.692 1.081 -1.058 0.023 24.09 24.96 0.000 22.78 22.92 0.988 -0.011
2.65 11.852 1.022 -1.003 0.019 23.82 23.37 0.000 22.58 21.38 0.988 -0.010
2.75 12.006 0.967 -0.951 0.015 23.57 21.83 0.000 22.39 19.89 0.989 -0.009
2.85 12.153 0.915 -0.903 0.013 23.33 20.32 0.000 22.21 18.43 0.990 -0.009
2.95 12.295 0.867 -0.857 0.010 23.11 18.86 0.000 22.05 17.02 0.990 -0.008
3.05 12.430 0.822 -0.814 0.008 22.89 17.44 0.000 21.89 15.65 0.991 -0.008
3.15 12.561 0.780 -0.773 0.007 22.69 16.06 0.000 21.74 14.32 0.991 -0.007
3.25 12.686 0.740 -0.735 0.006 22.50 14.71 0.000 21.60 13.03 0.992 -0.007
3.35 12.806 0.703 -0.699 0.005 22.32 13.41 0.000 21.47 11.78 0.992 -0.006
3.45 12.921 0.668 -0.665 0.004 22.15 12.15 0.000 21.34 10.57 0.992 -0.006
3.55 13.031 0.636 -0.640 -0.004 21.98 11.00 -0.073 21.18 9.66 0.993 -0.006
3.65 13.137 0.615 -0.676 -0.061 21.79 10.34 -0.396 20.87 9.62 0.997 -0.004
3.75 13.239 0.611 -0.775 -0.164 21.58 9.96 -0.698 20.57 9.54 1.001 -0.001
3.85 13.336 0.622 -0.922 -0.300 21.36 9.72 -0.981 20.29 9.46 1.004 0.002
3.95 13.429 0.642 -1.102 -0.460 21.13 9.57 -1.247 20.02 9.40 1.005 0.004
4.05 13.518 0.666 -1.303 -0.638 20.89 9.47 -1.496 19.77 9.36 1.006 0.004
4.15 13.603 0.690 -1.516 -0.826 20.66 9.41 -1.730 19.53 9.34 1.006 0.004
4.25 13.685 0.713 -1.733 -1.020 20.42 9.37 -1.950 19.31 9.33 1.005 0.004
4.35 13.763 0.731 -1.949 -1.217 20.19 9.35 -2.157 19.09 9.33 1.004 0.003
4.45 13.837 0.745 -2.160 -1.415 19.96 9.35 -2.351 18.89 9.35 1.003 0.002
4.55 13.908 0.753 -2.363 -1.610 19.74 9.36 -2.534 18.70 9.37 1.001 0.002
4.65 13.977 0.757 -2.558 -1.801 19.53 9.37 -2.707 18.52 9.39 1.000 0.001
4.75 14.042 0.755 -2.743 -1.988 19.32 9.39 -2.871 18.35 9.41 0.999 -0.000
4.85 14.105 0.749 -2.919 -2.170 19.12 9.41 -3.025 18.18 9.44 0.998 -0.001
4.95 14.166 0.740 -3.085 -2.345 18.93 9.43 -3.172 18.02 9.46 0.997 -0.002
5.05 14.224 0.727 -3.241 -2.514 18.74 9.46 -3.311 17.87 9.49 0.996 -0.002
5.15 14.279 0.711 -3.388 -2.677 18.57 9.48 -3.443 17.73 9.52 0.996 -0.003
5.25 14.333 0.693 -3.527 -2.833 18.40 9.51 -3.569 17.59 9.54 0.995 -0.003
5.35 14.385 0.674 -3.657 -2.983 18.23 9.53 -3.689 17.46 9.56 0.995 -0.003
5.45 14.435 0.653 -3.780 -3.127 18.08 9.56 -3.803 17.34 9.59 0.995 -0.004
5.55 14.483 0.632 -3.896 -3.265 17.93 9.58 -3.912 17.22 9.61 0.994 -0.004
5.65 14.529 0.610 -4.006 -3.396 17.78 9.60 -4.016 17.10 9.63 0.994 -0.004
5.75 14.574 0.587 -4.110 -3.522 17.64 9.62 -4.115 16.99 9.65 0.994 -0.004
5.85 14.617 0.565 -4.208 -3.643 17.51 9.64 -4.210 16.89 9.66 0.994 -0.004
5.95 14.658 0.543 -4.301 -3.758 17.38 9.66 -4.301 16.79 9.68 0.994 -0.004
6.05 14.698 0.521 -4.390 -3.869 17.26 9.68 -4.388 16.69 9.70 0.994 -0.004
6.15 14.737 0.500 -4.474 -3.974 17.14 9.69 -4.471 16.59 9.71 0.994 -0.004
6.25 14.774 0.479 -4.554 -4.075 17.03 9.71 -4.551 16.50 9.72 0.995 -0.004
6.35 14.810 0.459 -4.631 -4.172 16.92 9.72 -4.627 16.42 9.74 0.995 -0.004
6.45 14.845 0.439 -4.704 -4.265 16.82 9.73 -4.700 16.33 9.75 0.995 -0.003
6.55 14.879 0.420 -4.774 -4.353 16.72 9.75 -4.770 16.25 9.76 0.995 -0.003
6.65 14.911 0.402 -4.840 -4.438 16.63 9.76 -4.838 16.18 9.77 0.995 -0.003
6.75 14.943 0.385 -4.904 -4.520 16.53 9.77 -4.902 16.10 9.78 0.995 -0.003
6.85 14.973 0.368 -4.966 -4.598 16.45 9.78 -4.964 16.03 9.79 0.996 -0.003
6.95 15.002 0.352 -5.025 -4.672 16.36 9.79 -5.024 15.96 9.80 0.996 -0.003
7.05 15.030 0.337 -5.081 -4.744 16.28 9.80 -5.081 15.90 9.81 0.996 -0.003
7.15 15.058 0.322 -5.135 -4.813 16.20 9.81 -5.136 15.83 9.82 0.996 -0.003
7.25 15.084 0.308 -5.187 -4.879 16.12 9.81 -5.189 15.76 9.82 0.996 -0.002
7.35 15.109 0.295 -5.237 -4.942 16.05 9.82 -5.239 15.70 9.83 0.997 -0.002
7.45 15.134 0.283 -5.285 -5.003 15.98 9.83 -5.288 15.63 9.84 0.997 -0.002
7.55 15.157 0.270 -5.331 -5.061 15.91 9.84 -5.334 15.57 9.85 0.997 -0.002
7.65 15.180 0.259 -5.375 -5.117 15.84 9.84 -5.379 15.50 9.85 0.997 -0.002
7.75 15.202 0.248 -5.418 -5.170 15.77 9.85 -5.422 15.44 9.86 0.997 -0.002
7.85 15.222 0.237 -5.459 -5.221 15.70 9.86 -5.463 15.37 9.86 0.997 -0.002
7.95 15.243 0.227 -5.498 -5.270 15.63 9.86 -5.502 15.31 9.87 0.997 -0.002
8.05 15.262 0.217 -5.535 -5.318 15.56 9.87 -5.539 15.24 9.88 0.997 -0.002
8.15 15.280 0.208 -5.571 -5.363 15.50 9.87 -5.575 15.18 9.88 0.998 -0.002
8.25 15.298 0.199 -5.605 -5.406 15.43 9.88 -5.608 15.12 9.89 0.998 -0.002
