t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 6.000 0.000 -0.000 0.000 2.80 63.78 0.000 3.48 63.78 1.000 0.000
0.15 6.003 0.001 -0.001 0.000 3.13 63.78 0.000 4.98 63.78 1.000 0.000
0.25 6.011 0.003 -0.003 0.000 3.67 63.77 0.000 6.48 63.75 1.000 0.000
0.35 6.027 0.009 -0.009 0.000 4.39 63.73 0.000 7.98 63.66 1.001 0.001
0.45 6.053 0.019 -0.019 0.000 5.25 63.63 0.000 9.48 63.50 1.001 0.002
0.55 6.089 0.031 -0.031 0.000 6.22 63.48 0.000 10.98 63.27 1.001 0.002
0.65 6.138 0.044 -0.044 0.000 7.29 63.27 0.000 12.48 62.97 1.002 0.002
0.75 6.201 0.060 -0.060 0.000 8.44 62.98 0.000 13.98 62.61 1.002 0.003
0.85 6.277 0.077 -0.077 0.000 9.65 62.63 0.000 15.48 62.17 1.002 0.003
0.95 6.367 0.095 -0.095 0.000 10.91 62.21 0.000 16.98 61.64 1.002 0.003
1.05 6.473 0.116 -0.116 0.000 12.22 61.70 0.000 18.48 61.03 1.003 0.004
1.15 6.593 0.137 -0.137 0.000 13.56 61.10 0.000 19.98 60.32 1.003 0.004
1.25 6.729 0.160 -0.160 0.000 14.93 60.42 0.000 21.48 59.52 1.003 0.004
1.35 6.880 0.185 -0.185 0.000 16.33 59.63 0.000 22.98 58.61 1.003 0.004
1.45 7.046 0.210 -0.210 0.000 17.74 58.75 0.000 24.48 57.60 1.003 0.005
1.55 7.228 0.236 -0.236 0.000 19.17 57.76 0.000 25.98 56.48 1.004 0.005
1.65 7.425 0.264 -0.264 0.000 20.61 56.66 0.000 27.48 55.23 1.004 0.005
1.75 7.638 0.293 -0.293 0.000 22.06 55.44 0.000 28.98 53.87 1.004 0.005
1.85 7.865 0.322 -0.322 0.000 23.50 54.10 0.000 30.26 52.37 1.005 0.006
1.95 8.105 0.353 -0.353 0.000 24.73 52.64 0.000 30.26 50.74 1.005 0.006
2.05 8.355 0.383 -0.383 0.000 25.73 51.04 0.000 30.26 48.99 1.005 0.006
2.15 8.612 0.411 -0.411 0.000 26.55 49.33 0.000 30.26 47.13 1.004 0.005
2.25 8.874 0.436 -0.436 0.000 27.22 47.52 0.000 30.26 45.20 1.004 0.005
2.35 9.139 0.457 -0.457 0.000 27.77 45.62 0.000 30.26 43.20 1.004 0.004
2.45 9.406 0.475 -0.475 0.000 28.22 43.66 0.000 30.26 41.15 1.003 0.003
2.55 9.673 0.489 -0.489 0.000 28.59 41.63 0.000 30.26 39.04 1.003 0.003
2.65 9.938 0.501 -0.501 0.000 28.89 39.54 0.000 30.26 36.89 1.002 0.002
