t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 13.416 -2.245 -2.423 -4.669 14.63 0.00 -4.231 13.95 0.00 0.821 -0.150
0.15 13.482 -2.899 -1.695 -4.594 14.30 0.00 -4.268 12.45 0.00 0.865 -0.114
0.25 13.546 -3.386 -1.155 -4.540 13.76 0.00 -4.305 10.95 0.00 0.900 -0.085
0.35 13.606 -3.740 -0.763 -4.503 13.04 0.00 -4.341 9.45 0.00 0.928 -0.062
0.45 13.658 -3.992 -0.486 -4.478 12.19 0.00 -4.374 7.95 0.00 0.949 -0.044
0.55 13.699 -4.168 -0.295 -4.463 11.21 0.00 -4.400 6.45 0.00 0.964 -0.031
0.65 13.729 -4.291 -0.164 -4.454 10.14 0.00 -4.421 4.95 0.00 0.975 -0.021
0.75 13.744 -4.377 -0.073 -4.450 8.99 0.00 -4.434 3.45 0.00 0.982 -0.015
0.85 13.746 -4.443 -0.005 -4.448 7.78 0.00 -4.439 1.95 0.00 0.986 -0.011
0.95 13.733 -4.499 0.053 -4.446 6.52 0.00 -4.435 0.45 0.00 0.987 -0.010
1.05 13.705 -4.555 0.113 -4.443 5.34 0.00 -4.424 0.00 0.00 0.986 -0.010
1.15 13.666 -4.619 0.182 -4.437 4.37 0.00 -4.404 0.00 0.00 0.983 -0.011
1.25 13.618 -4.693 0.266 -4.427 3.58 0.00 -4.379 0.00 0.00 0.980 -0.013
1.35 13.562 -4.781 0.367 -4.414 2.93 0.00 -4.349 0.00 0.00 0.977 -0.015
1.45 13.502 -4.882 0.484 -4.398 2.40 0.00 -4.316 0.00 0.00 0.974 -0.018
1.55 13.438 -4.997 0.619 -4.378 1.96 0.00 -4.280 0.00 0.00 0.971 -0.020
1.65 13.373 -5.123 0.768 -4.355 1.61 0.00 -4.243 0.00 0.00 0.968 -0.022
1.75 13.306 -5.261 0.931 -4.330 1.32 0.00 -4.205 0.00 0.00 0.966 -0.024
1.85 13.239 -5.407 1.105 -4.302 1.08 0.00 -4.167 0.00 0.00 0.964 -0.026
1.95 13.173 -5.561 1.289 -4.272 0.88 0.00 -4.129 0.00 0.00 0.963 -0.027
2.05 13.107 -5.722 1.481 -4.241 0.72 0.00 -4.091 0.00 0.00 0.962 -0.028
2.15 13.044 -5.887 1.678 -4.209 0.59 0.00 -4.054 0.00 0.00 0.961 -0.029
2.25 12.981 -6.055 1.879 -4.176 0.48 0.00 -4.018 0.00 0.00 0.961 -0.029
2.35 12.921 -6.224 2.082 -4.142 0.40 0.00 -3.983 0.00 0.00 0.961 -0.030
2.45 12.863 -6.395 2.286 -4.108 0.32 0.00 -3.949 0.00 0.00 0.961 -0.030
2.55 12.808 -6.565 2.490 -4.075 0.27 0.00 -3.916 0.00 0.00 0.961 -0.030
2.65 12.755 -6.733 2.692 -4.042 0.22 0.00 -3.885 0.00 0.00 0.962 -0.029
2.75 12.704 -6.900 2.891 -4.009 0.18 0.00 -3.855 0.00 0.00 0.962 -0.029
2.85 12.656 -7.064 3.086 -3.978 0.15 0.00 -3.827 0.00 0.00 0.963 -0.029
2.95 12.610 -7.224 3.277 -3.947 0.12 0.00 -3.800 0.00 0.00 0.964 -0.028
3.05 12.567 -7.380 3.463 -3.916 0.10 0.00 -3.775 0.00 0.00 0.965 -0.027
3.15 12.526 -7.532 3.644 -3.887 0.08 0.00 -3.750 0.00 0.00 0.966 -0.026
3.25 12.487 -7.678 3.819 -3.859 0.07 0.00 -3.728 0.00 0.00 0.968 -0.026
3.35 12.450 -7.820 3.988 -3.833 0.05 0.00 -3.706 0.00 0.00 0.969 -0.025
3.45 12.416 -7.957 4.150 -3.807 0.04 0.00 -3.686 0.00 0.00 0.970 -0.024
3.55 12.384 -8.088 4.306 -3.782 0.04 0.00 -3.667 0.00 0.00 0.971 -0.023
3.65 12.354 -8.214 4.455 -3.759 0.03 0.00 -3.649 0.00 0.00 0.973 -0.022
3.75 12.325 -8.334 4.598 -3.737 0.02 0.00 -3.632 0.00 0.00 0.974 -0.021
3.85 12.299 -8.449 4.734 -3.715 0.02 0.00 -3.616 0.00 0.00 0.975 -0.020
3.95 12.274 -8.559 4.863 -3.695 0.02 0.00 -3.602 0.00 0.00 0.976 -0.019
4.05 12.251 -8.662 4.986 -3.677 0.01 0.00 -3.588 0.00 0.00 0.978 -0.018
4.15 12.230 -8.761 5.102 -3.659 0.01 0.00 -3.575 0.00 0.00 0.979 -0.017
4.25 12.210 -8.854 5.212 -3.642 0.01 0.00 -3.563 0.00 0.00 0.980 -0.016
4.35 12.191 -8.943 5.317 -3.626 0.01 0.00 -3.552 0.00 0.00 0.981 -0.015
4.45 12.173 -9.026 5.415 -3.611 0.01 0.00 -3.542 0.00 0.00 0.982 -0.015
4.55 12.157 -9.105 5.507 -3.597 0.00 0.00 -3.532 0.00 0.00 0.983 -0.014
4.65 12.142 -9.179 5.594 -3.584 0.00 0.00 -3.523 0.00 0.00 0.984 -0.013
4.75 12.128 -9.248 5.676 -3.572 0.00 0.00 -3.515 0.00 0.00 0.985 -0.012
4.85 12.115 -9.314 5.753 -3.561 0.00 0.00 -3.508 0.00 0.00 0.986 -0.011
4.95 12.104 -9.375 5.825 -3.550 0.00 0.00 -3.500 0.00 0.00 0.987 -0.011
5.05 12.092 -9.432 5.892 -3.540 0.00 0.00 -3.494 0.00 0.00 0.988 -0.010
5.15 12.082 -9.486 5.955 -3.531 0.00 0.00 -3.488 0.00 0.00 0.989 -0.009
5.25 12.073 -9.536 6.014 -3.522 0.00 0.00 -3.482 0.00 0.00 0.989 -0.009
5.35 12.064 -9.583 6.069 -3.514 0.00 0.00 -3.477 0.00 0.00 0.990 -0.008
5.45 12.056 -9.627 6.120 -3.507 0.00 0.00 -3.472 0.00 0.00 0.991 -0.008
5.55 12.048 -9.667 6.167 -3.500 0.00 0.00 -3.468 0.00 0.00 0.991 -0.007
5.65 12.042 -9.705 6.212 -3.493 0.00 0.00 -3.463 0.00 0.00 0.992 -0.007
5.75 12.035 -9.740 6.253 -3.488 0.00 0.00 -3.460 0.00 0.00 0.993 -0.006
5.85 12.029 -9.773 6.291 -3.482 0.00 0.00 -3.456 0.00 0.00 0.993 -0.006
5.95 12.024 -9.804 6.327 -3.477 0.00 0.00 -3.453 0.00 0.00 0.994 -0.005
6.05 12.019 -9.832 6.360 -3.472 0.00 0.00 -3.450 0.00 0.00 0.994 -0.005
6.15 12.014 -9.858 6.390 -3.468 0.00 0.00 -3.447 0.00 0.00 0.995 -0.005
6.25 12.010 -9.882 6.419 -3.464 0.00 0.00 -3.445 0.00 0.00 0.995 -0.004
6.35 12.006 -9.905 6.445 -3.460 0.00 0.00 -3.442 0.00 0.00 0.995 -0.004
6.45 12.003 -9.926 6.469 -3.456 0.00 0.00 -3.440 0.00 0.00 0.996 -0.004
6.55 11.999 -9.945 6.492 -3.453 0.00 0.00 -3.438 0.00 0.00 0.996 -0.003
6.65 11.992 -9.836 7.008 -2.827 0.00 3.08 0.000 0.00 8.00 1.053 0.017
6.75 11.972 -9.426 7.112 -2.315 0.00 8.55 0.000 0.00 16.00 1.122 0.070
6.85 11.934 -8.697 6.802 -1.895 0.00 15.26 0.000 0.00 24.00 1.188 0.126
6.95 11.877 -7.679 6.128 -1.552 0.00 22.24 0.000 0.00 30.77 1.241 0.178
7.05 11.805 -6.486 5.215 -1.270 0.00 27.17 0.000 0.00 32.49 1.258 0.210
7.15 11.720 -5.300 4.260 -1.040 0.00 29.22 0.000 0.00 30.95 1.236 0.208
7.25 11.629 -4.269 3.418 -0.852 0.00 29.12 0.000 0.00 28.53 1.192 0.181
7.35 11.534 -3.460 2.763 -0.697 0.00 28.15 0.000 0.00 26.85 1.144 0.141
7.45 11.436 -2.859 2.289 -0.571 0.00 27.36 0.000 0.00 26.52 1.104 0.104
7.55 11.336 -2.413 1.946 -0.467 0.00 27.25 0.000 0.00 27.36 1.079 0.077
7.65 11.235 -2.060 1.677 -0.383 0.00 27.86 0.000 0.00 28.81 1.065 0.061
7.75 11.132 -1.754 1.441 -0.313 0.00 28.90 0.000 0.00 30.31 1.058 0.053
7.85 11.029 -1.473 1.216 -0.256 0.00 30.08 0.000 0.00 31.56 1.053 0.049
7.95 10.926 -1.213 1.003 -0.210 0.00 31.17 0.000 0.00 32.49 1.048 0.045
8.05 10.823 -0.980 0.808 -0.172 0.00 32.08 0.000 0.00 33.19 1.042 0.041
8.15 10.720 -0.780 0.639 -0.141 0.00 32.86 0.000 0.00 33.81 1.035 0.035
8.25 10.618 -0.613 0.498 -0.115 0.00 33.57 0.000 0.00 34.46 1.028 0.029
8.35 10.517 -0.478 0.384 -0.094 0.00 34.28 0.000 0.00 35.19 1.023 0.023
8.45 10.416 -0.367 0.290 -0.077 0.00 35.03 0.000 0.00 35.98 1.019 0.019
8.55 10.317 -0.275 0.211 -0.063 0.00 35.80 0.000 0.00 36.79 1.016 0.016
8.65 10.220 -0.195 0.144 -0.052 0.00 36.59 0.000 0.00 37.59 1.013 0.014
8.75 10.123 -0.127 0.084 -0.042 0.00 37.37 0.000 0.00 38.35 1.011 0.012
8.85 10.028 -0.067 0.033 -0.035 0.00 38.13 0.000 0.00 39.08 1.010 0.010
