t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 5.487 4.854 -1.437 3.418 28.44 72.22 0.000 29.12 69.35 1.061 0.141
0.15 5.759 5.182 -2.384 2.798 28.73 67.74 0.000 30.26 61.35 1.004 0.061
0.25 6.039 4.892 -2.601 2.291 29.01 61.55 0.000 30.26 53.35 0.936 -0.048
0.35 6.323 4.090 -2.215 1.876 29.23 56.64 0.000 30.26 51.49 0.895 -0.144
0.45 6.614 3.195 -1.659 1.536 29.42 55.31 0.000 30.26 54.65 0.904 -0.160
0.55 6.910 2.542 -1.285 1.257 29.57 56.01 0.000 30.26 57.14 0.939 -0.115
0.65 7.210 2.180 -1.151 1.029 29.70 56.43 0.000 30.26 56.61 0.968 -0.062
0.75 7.511 1.978 -1.135 0.843 29.80 55.50 0.000 30.26 53.86 0.978 -0.034
0.85 7.812 1.803 -1.113 0.690 29.88 53.46 0.000 30.26 50.67 0.975 -0.029
0.95 8.111 1.603 -1.038 0.565 29.95 51.09 0.000 30.26 48.10 0.970 -0.035
1.05 8.408 1.388 -0.925 0.463 30.00 48.91 0.000 30.26 46.25 0.969 -0.037
1.15 8.703 1.191 -0.813 0.379 30.05 47.02 0.000 30.26 44.70 0.973 -0.034
1.25 8.996 1.033 -0.723 0.310 30.09 45.26 0.000 30.26 43.05 0.978 -0.027
1.35 9.285 0.915 -0.661 0.254 30.12 43.45 0.000 30.26 41.12 0.984 -0.020
1.45 9.570 0.825 -0.617 0.208 30.14 41.48 0.000 30.26 38.94 0.987 -0.015
1.55 9.851 0.752 -0.582 0.170 30.16 39.36 0.000 30.26 36.64 0.988 -0.012
1.65 10.128 0.687 -0.548 0.139 30.18 37.14 0.000 30.26 34.32 0.989 -0.011
1.75 10.401 0.628 -0.514 0.114 30.19 34.88 0.000 30.26 32.02 0.990 -0.010
1.85 10.668 0.574 -0.480 0.093 30.21 32.61 0.000 30.26 29.74 0.991 -0.009
1.95 10.931 0.526 -0.449 0.076 30.21 30.34 0.000 30.26 27.46 0.992 -0.008
2.05 11.189 0.484 -0.422 0.063 30.22 28.06 0.000 30.26 25.17 0.993 -0.007
2.15 11.441 0.448 -0.397 0.051 30.23 25.76 0.000 30.26 22.85 0.994 -0.006
2.25 11.689 0.417 -0.375 0.042 30.23 23.45 0.000 30.26 20.52 0.994 -0.005
2.35 11.931 0.389 -0.354 0.034 30.24 21.12 0.000 30.26 18.18 0.995 -0.005
2.45 12.170 0.332 -0.685 -0.353 30.24 17.98 -4.000 30.26 13.00 0.970 -0.004
2.55 12.409 0.036 -1.259 -1.223 30.24 12.48 -5.157 30.26 5.00 0.903 -0.051
2.65 12.652 -0.533 -1.403 -1.936 30.25 6.61 -5.157 30.26 0.00 0.852 -0.101
2.75 12.899 -1.211 -1.309 -2.520 30.25 3.39 -5.157 30.26 0.00 0.846 -0.119
2.85 13.150 -1.841 -1.157 -2.998 30.25 1.74 -5.157 30.26 0.00 0.865 -0.110
2.95 13.404 -2.354 -1.035 -3.389 30.25 0.89 -5.157 30.26 0.00 0.894 -0.090
3.05 13.659 -2.731 -0.979 -3.710 30.25 0.46 -5.157 30.26 0.00 0.925 -0.066
3.15 13.912 -2.971 -1.001 -3.972 30.25 0.24 -5.157 30.26 0.00 0.956 -0.042
3.25 14.162 -3.090 -1.097 -4.187 30.25 0.12 -5.157 30.26 0.00 0.984 -0.021
3.35 14.408 -3.103 -1.260 -4.363 30.25 0.06 -5.157 30.26 0.00 1.009 -0.002
3.45 14.648 -3.028 -1.478 -4.506 30.25 0.03 -5.157 30.26 0.00 1.029 0.013
3.55 14.882 -2.884 -1.740 -4.624 30.25 0.02 -5.157 30.26 0.00 1.046 0.025
3.65 15.108 -2.686 -2.035 -4.721 30.25 0.01 -5.157 30.26 0.00 1.059 0.035
3.75 15.326 -2.446 -2.354 -4.800 30.05 0.00 -5.157 28.76 0.00 1.070 0.042
3.85 15.531 -2.178 -2.686 -4.864 29.61 0.00 -5.157 27.26 0.00 1.077 0.047
3.95 15.723 -1.893 -3.024 -4.917 28.97 0.00 -5.157 25.76 0.00 1.081 0.050
4.05 15.897 -1.600 -3.360 -4.961 28.18 0.00 -5.157 24.26 0.00 1.083 0.051
4.15 16.054 -1.309 -3.688 -4.996 27.26 0.00 -5.157 22.76 0.00 1.083 0.051
4.25 16.192 -1.025 -4.001 -5.025 26.24 0.00 -5.157 21.26 0.00 1.080 0.050
4.35 16.310 -0.754 -4.295 -5.049 25.13 0.00 -5.157 19.76 0.00 1.076 0.047
4.45 16.409 -0.501 -4.567 -5.069 23.95 0.00 -5.157 18.26 0.00 1.071 0.044
4.55 16.488 -0.269 -4.815 -5.085 22.71 0.00 -5.157 16.76 0.00 1.065 0.040
4.65 16.547 -0.061 -5.037 -5.098 21.42 0.00 -5.157 15.26 0.00 1.058 0.036
4.75 16.586 0.122 -5.231 -5.108 20.10 0.00 -5.157 13.76 0.00 1.050 0.032
4.85 16.606 0.279 -5.397 -5.117 18.74 0.00 -5.157 12.26 0.00 1.042 0.027
4.95 16.608 0.409 -5.534 -5.124 17.36 0.00 -5.157 10.76 0.00 1.034 0.023
5.05 16.591 0.512 -5.642 -5.130 15.95 0.00 -5.157 9.26 0.00 1.026 0.018
5.15 16.556 0.587 -5.722 -5.135 14.53 0.00 -5.157 7.76 0.00 1.018 0.013
5.25 16.504 0.633 -5.772 -5.139 13.10 0.00 -5.157 6.26 0.00 1.010 0.008
5.35 16.435 0.652 -5.794 -5.142 11.65 0.00 -5.157 4.76 0.00 1.001 0.003
5.45 16.351 0.643 -5.788 -5.145 10.19 0.00 -5.157 3.26 0.00 0.993 -0.002
5.55 16.250 0.606 -5.753 -5.147 8.73 0.00 -5.157 1.76 0.00 0.985 -0.006
5.65 16.135 0.541 -5.690 -5.149 7.26 0.00 -5.157 0.26 0.00 0.977 -0.011
5.75 16.006 0.447 -5.597 -5.150 5.94 0.00 -5.157 0.00 0.00 0.969 -0.016
5.85 15.867 0.324 -5.475 -5.151 4.86 0.00 -5.157 0.00 0.00 0.961 -0.021
5.95 15.720 0.173 -5.325 -5.152 3.98 0.00 -5.157 0.00 0.00 0.954 -0.026
6.05 15.570 -0.005 -5.148 -5.153 3.26 0.00 -5.157 0.00 0.00 0.947 -0.031
6.15 15.417 -0.207 -4.947 -5.154 2.67 0.00 -5.157 0.00 0.00 0.941 -0.035
6.25 15.263 -0.431 -4.723 -5.154 2.19 0.00 -5.157 0.00 0.00 0.936 -0.039
6.35 15.111 -0.675 -4.479 -5.155 1.79 0.00 -5.157 0.00 0.00 0.932 -0.043
6.45 14.960 -0.936 -4.219 -5.155 1.47 0.00 -5.157 0.00 0.00 0.928 -0.046
6.55 14.813 -1.212 -3.943 -5.155 1.23 0.00 -5.157 0.23 0.00 0.926 -0.048
6.65 14.670 -1.500 -3.655 -5.156 1.13 0.00 -5.157 0.90 0.00 0.923 -0.050
6.75 14.534 -1.797 -3.358 -5.156 1.24 0.00 -5.157 1.99 0.00 0.922 -0.052
6.85 14.407 -2.101 -3.055 -5.156 1.57 0.00 -5.157 3.44 0.00 0.922 -0.053
6.95 14.293 -2.406 -2.750 -5.156 2.12 0.00 -5.157 4.94 0.00 0.923 -0.053
7.05 14.192 -2.708 -2.448 -5.156 2.84 0.00 -5.157 6.44 0.00 0.925 -0.053
7.15 14.106 -3.000 -2.156 -5.156 3.70 0.00 -5.157 7.94 0.00 0.928 -0.051
7.25 14.038 -3.279 -1.878 -5.156 4.68 0.00 -5.157 9.44 0.00 0.933 -0.049
7.35 13.986 -3.537 -1.620 -5.156 5.75 0.00 -5.157 10.94 0.00 0.939 -0.045
7.45 13.953 -3.770 -1.386 -5.156 6.90 0.00 -5.157 12.44 0.00 0.945 -0.041
7.55 13.937 -3.974 -1.183 -5.156 8.11 0.00 -5.157 13.94 0.00 0.953 -0.036
7.65 13.938 -4.144 -1.013 -5.156 9.37 0.00 -5.157 15.44 0.00 0.962 -0.030
7.75 13.958 -4.278 -0.879 -5.157 10.68 0.00 -5.157 16.94 0.00 0.971 -0.023
7.85 13.994 -4.373 -0.784 -5.157 12.02 0.00 -5.157 18.44 0.00 0.981 -0.017
7.95 14.047 -4.427 -0.729 -5.157 13.39 0.00 -5.157 19.94 0.00 0.991 -0.010
8.05 14.116 -4.441 -0.716 -5.157 14.79 0.00 -5.157 21.44 0.00 1.002 -0.002
8.15 14.201 -4.414 -0.743 -5.157 16.20 0.00 -5.157 22.94 0.00 1.012 0.005
